"Season","Team","G","PA","AB","HR","R","SB","CS","BABIP","AVG","OBP","SLG","wOBA","wRC+","WAR","H","2B","3B","HR","BB","HBP","wRC","WPA"
"1911","Athletics","1568","5920","5199","35","861","226","","",".296",".357",".398",".362","112","33.1","1540","237","93","35","424","65","818",""
"1951","Dodgers","1928","6214","5492","184","855","89","70",".285",".275",".352",".434",".362","109","34.5","1511","249","37","184","603","44","850",""
"1895","Colts","1226","5252","4708","55","866","260","",".312",".298",".361",".405",".362","93","12.4","1401","171","85","55","422","42","873",""
"1929","Giants","1756","6060","5388","136","897","85","",".301",".296",".358",".436",".362","97","25.5","1594","251","47","136","482","36","847",""
"1950","Dodgers","1814","6086","5364","194","847","77","",".279",".272",".349",".444",".362","105","30.6","1461","247","46","194","607","27","833",""
"1931","Cubs","1748","6178","5451","84","828","49","",".316",".289",".360",".422",".362","110","30.5","1578","340","66","84","577","25","874",""
"1896","Senators","1280","5315","4639","45","818","258","",".303",".286",".365",".388",".362","99","13.5","1328","179","79","45","516","61","851",""
"1936","White Sox","1616","6283","5466","60","920","66","29",".308",".292",".374",".397",".362","91","20.9","1597","282","56","60","684","26","888",""
"1890","Infants","1207","5362","4804","27","849","180","",".303",".285",".360",".386",".362","103","15.6","1370","213","94","27","509","49","933",""
"1949","Dodgers","1832","6173","5400","152","879","117","0",".283",".274",".354",".419",".362","105","33.4","1477","236","47","152","638","33","817",""
"1936","Senators","1660","6095","5433","62","889","104","42",".310",".295",".365",".414",".362","95","22.4","1601","293","84","62","577","24","859",""
"1911","Giants","1671","5781","5006","41","756","347","",".305",".279",".358",".390",".361","111","32.9","1399","225","103","41","530","85","794",""
"1889","Giants","1205","5236","4671","52","935","292","",".299",".282",".360",".393",".361","110","28.7","1319","208","77","52","538","27","926",""
"2007","Yankees","2366","6528","5717","201","968","123","40",".318",".290",".366",".463",".361","119","33.9","1656","326","32","201","637","78","973","12.65"
"1895","Beaneaters","1232","5391","4715","54","907","199","",".297",".290",".365",".391",".361","92","12.5","1369","197","57","54","500","51","892",""
"1927","Tigers","1773","6113","5300","51","845","139","73",".307",".289",".363",".409",".361","99","21.7","1532","281","101","51","590","25","827",""
"1896","Beaneaters","1243","5300","4717","36","860","241","",".313",".300",".363",".392",".361","95","17.3","1416","175","74","36","414","51","844",""
"1896","Spiders","1260","5435","4856","28","840","175","",".318",".301",".363",".391",".361","96","17.6","1463","207","72","28","436","37","866",""
"1897","Spiders","1214","5175","4604","16","773","181","","",".298",".364",".389",".361","99","19.3","1374","192","88","16","435","38","810",""
"1954","Dodgers","1865","6058","5251","186","778","46","39",".274",".270",".349",".444",".361","104","28.3","1418","246","56","186","634","35","812",""
"1939","Tigers","1758","6106","5326","124","849","88","38",".296",".279",".356",".426",".361","93","20.4","1487","277","67","124","619","16","837",""
"1930","Senators","1689","6113","5369","57","892","101","68",".321",".302",".369",".425",".361","103","31.0","1620","297","98","57","533","38","888",""
"1939","Cardinals","1944","6116","5447","98","779","44","",".314",".294",".354",".432",".361","104","27.8","1601","332","62","98","475","27","838",""
"1922","Pirates","1637","6151","5521","52","865","145","59",".320",".308",".360",".419",".361","100","21.9","1698","239","110","52","423","32","832",""
"1921","Giants","1756","5946","5278","75","840","137","114",".312",".298",".359",".421",".361","108","34.0","1575","237","93","75","469","33","804",""
"2000","Astros","2303","6444","5570","249","938","114","52",".305",".278",".361",".477",".361","105","23.0","1547","289","36","249","673","83","952","-3.42"
"1926","Tigers","1881","6182","5313","36","793","88","71",".311",".291",".366",".398",".361","99","19.6","1547","281","90","36","598","33","822",""
"1923","Giants","1798","6083","5452","85","854","106","70",".307",".295",".356",".415",".361","106","32.3","1610","248","76","85","487","31","817",""
"1938","Senators","1732","6158","5474","85","814","65","37",".302",".293",".362",".416",".360","99","25.5","1602","278","72","85","573","18","857",""
"1929","Cardinals","1678","6030","5364","100","831","72","",".305",".293",".354",".438",".360","93","16.5","1569","310","84","100","490","22","833",""
"1899","Orioles","1444","5707","5073","17","827","364","","",".297",".365",".376",".360","104","29.6","1509","204","71","17","418","122","864",""
"1897","Giants","1282","5360","4844","31","895","328","","",".299",".361",".392",".360","102","23.2","1449","188","84","31","404","67","836",""
"1950","Indians","1831","6080","5263","164","806","40","34",".280",".269",".358",".422",".360","104","29.8","1417","222","46","164","693","38","824",""
"1927","Pirates","1710","6077","5397","54","817","65","",".320",".305",".361",".412",".360","103","27.3","1648","258","78","54","437","29","820",""
"1998","Yankees","1962","6444","5643","207","965","153","63",".317",".288",".364",".460",".360","116","36.1","1625","290","31","207","653","57","951","16.58"
"1926","Senators","1792","6009","5223","43","802","117","90",".308",".292",".364",".401",".360","102","22.7","1526","244","97","43","555","37","795",""
"1997","Indians","1917","6304","5556","220","868","118","59",".309",".286",".358",".467",".360","113","31.3","1589","301","22","220","617","37","920","9.11"
"1949","Yankees","1890","6041","5196","115","829","58","30",".282",".269",".362",".400",".360","105","30.3","1396","215","60","115","729","32","792",""
"1938","Indians","1681","6001","5356","113","847","83","36",".300",".281",".350",".434",".360","95","20.0","1506","300","89","113","551","16","830",""
"1921","Browns","1714","6103","5446","67","835","91","71",".318",".303",".357",".424",".360","94","16.8","1651","246","105","67","415","37","819",""
"1946","Red Sox","1753","6126","5318","109","792","45","36",".293",".271",".356",".402",".360","109","34.3","1441","268","50","109","687","15","776",""
"1928","Cardinals","1725","6144","5357","113","807","82","",".290",".281",".353",".425",".359","102","26.9","1505","292","70","113","568","32","824",""
"1930","Indians","1759","6120","5439","72","890","51","47",".322",".304",".363",".431",".359","96","16.4","1654","356","60","72","481","26","880",""
"1942","Red Sox","1625","5984","5248","103","761","68","61",".291",".276",".352",".403",".359","109","34.2","1451","244","55","103","591","22","785",""
"2000","Giants","2123","6418","5519","226","925","79","39",".303",".278",".362",".472",".359","112","34.7","1535","304","44","226","709","51","942","11.74"
"1994","Indians","1189","4493","4022","167","679","131","48",".306",".290",".351",".484",".359","111","19.7","1165","240","20","167","382","18","666","5.23"
"1924","Indians","1781","6027","5329","41","756","85","57",".314",".298",".362",".402",".359","96","17.9","1588","309","60","41","491","47","793",""
"1925","Phillies","1854","6035","5412","100","812","48","59",".314",".295",".354",".425",".359","88","6.5","1598","288","58","100","456","34","812",""
"1928","Giants","1771","6103","5459","118","807","62","",".298",".293",".349",".430",".359","103","30.7","1600","276","59","118","444","27","814",""
"1897","Senators","1281","5141","4636","36","781","208","","",".297",".357",".395",".359","97","15.2","1376","194","77","36","374","59","794",""
"1873","Red Stockings","540","2817","2755","12","739","39","27",".338",".338",".352",".436",".358","120","15.3","930","146","44","12","62","","735",""
"2004","Red Sox","2417","6515","5720","222","949","68","30",".319",".282",".360",".472",".358","114","24.7","1613","373","25","222","659","69","964","9.48"
"1938","Tigers","1678","6060","5270","137","862","76","41",".285",".272",".359",".411",".358","90","17.2","1434","219","52","137","693","22","830",""
"1996","Rockies","2319","6333","5590","221","961","201","66",".321",".287",".355",".472",".358","93","17.6","1607","297","37","221","527","82","935","10.85"
"1920","White Sox","1568","6030","5330","37","794","109","94",".311",".295",".357",".402",".358","101","25.5","1574","263","98","37","474","38","792",""
"1999","Yankees","1891","6416","5568","193","900","104","57",".309",".282",".366",".453",".358","111","25.9","1568","302","36","193","718","55","932","9.71"
"1911","Tigers","1602","5995","5294","30","831","276","","",".292",".355",".388",".358","102","23.0","1544","230","96","30","471","49","807",""
"1935","Yankees","1610","5917","5214","104","818","68","46",".293",".280",".358",".416",".358","105","30.3","1462","255","70","104","604","28","816",""
"1996","Rangers","1706","6494","5702","221","928","83","26",".311",".284",".358",".469",".358","104","27.0","1622","323","32","221","660","31","961","1.47"
