"Season","Team","G","PA","AB","HR","R","SB","CS","BABIP","AVG","OBP","SLG","wOBA","wRC+","WAR","H","2B","3B","HR","BB","HBP","wRC","WPA"
"1939","Senators","1656","6026","5334","44","702","94","47",".298",".278",".346",".379",".339","90","17.7","1483","249","79","44","547","11","721",""
"1890","Pirates","1272","5503","4968","31","886","276","",".283",".264",".335",".361",".339","88","13.3","1311","200","95","31","492","43","853",""
"1924","Athletics","1694","5767","5187","63","683","77","68",".301",".281",".336",".389",".339","82","7.0","1460","250","59","63","384","39","668",""
"1983","Orioles","1892","6273","5546","168","799","61","33",".286",".269",".340",".421",".339","111","28.0","1492","283","27","168","601","23","804","8.71"
"1977","Twins","1828","6382","5639","123","867","105","65",".304",".282",".348",".417",".339","106","23.7","1588","273","60","123","563","43","818","5.11"
"1971","Orioles","1829","6143","5303","158","742","66","38",".282",".261",".347",".398",".339","112","39.3","1382","207","25","158","672","46","755",""
"1949","Browns","1956","5847","5112","117","666","38","39",".276",".254",".339",".377",".339","83","-1.8","1301","213","30","117","631","21","671",""
"2016","Rockies","2369","6236","5614","204","845","66","39",".326",".275",".336",".457",".339","94","18.5","1544","318","47","204","494","40","836","0.79"
"1982","Orioles","1856","6325","5557","179","774","49","38",".280",".266",".341",".419",".339","110","30.5","1478","259","27","179","634","25","811","8.91"
"1948","Pirates","1882","5943","5286","108","706","68","",".278",".263",".338",".380",".339","91","20.1","1388","191","54","108","580","21","689",""
"2004","Tigers","2255","6285","5623","201","827","86","50",".308",".272",".337",".449",".339","106","21.7","1531","284","54","201","518","50","823","-2.13"
"1979","Royals","1762","6350","5653","116","851","207","76",".300",".282",".343",".422",".339","104","27.4","1596","286","79","116","528","35","814","2.94"
"1935","Browns","1814","6086","5365","73","718","45","25",".290",".270",".344",".384",".339","82","3.8","1446","291","51","73","591","14","743",""
"1954","Redlegs","1955","5972","5234","147","729","47","30",".272",".262",".333",".406",".339","89","13.3","1369","221","46","147","557","29","696",""
"1994","Expos","1576","4514","4000","108","585","137","36",".307",".278",".343",".435",".339","99","20.6","1111","246","30","108","379","40","587","7.75"
"1983","Tigers","1850","6246","5592","156","789","93","53",".295",".274",".335",".427",".339","110","34.3","1530","283","53","156","508","39","800","8.90"
"1995","Twins","1563","5588","5006","120","703","105","57",".319",".279",".346",".419",".339","97","14.5","1398","270","34","120","471","58","723","-5.49"
"1895","Browns","1267","5257","4781","38","747","205","",".293",".281",".338",".374",".339","85","2.8","1344","155","88","38","384","28","759",""
"2000","Royals","1875","6394","5709","150","879","121","35",".312",".288",".348",".425",".338","89","17.1","1644","281","27","150","511","48","826","1.18"
"1913","Giants","1741","5837","5218","31","684","296","",".298",".273",".338",".362",".338","102","29.2","1427","226","71","31","444","63","688",""
"2019","Dodgers","2413","6281","5493","279","886","57","10",".291",".257",".338",".472",".338","111","34.8","1414","302","20","279","607","81","885","14.16"
"1891","Brewers","329","1407","1271","13","227","47","",".279",".261",".333",".361",".338","88","4.0","332","58","15","13","107","29","213",""
"1938","Pirates","1696","6007","5422","65","707","47","",".292",".279",".340",".388",".338","101","26.8","1511","265","66","65","485","19","727",""
"1924","Cubs","1668","5796","5134","66","698","137","149",".298",".276",".340",".378",".338","93","16.4","1419","207","59","66","469","30","668",""
"1938","Giants","1682","5841","5255","125","705","31","",".282",".271",".334",".396",".338","100","23.9","1424","210","36","125","465","33","704",""
"1986","Tigers","1729","6269","5512","198","798","138","58",".279",".263",".338",".424",".338","110","32.8","1447","234","30","198","613","43","810","6.15"
"1897","Pirates","1262","5114","4590","25","676","170","","",".276",".337",".370",".338","90","7.8","1266","140","108","25","359","67","701",""
"1901","Tigers","1281","5245","4676","29","742","204","","",".279",".340",".370",".338","97","19.1","1303","180","80","29","380","54","728",""
"2002","Giants","2263","6298","5497","198","783","74","21",".289",".267",".344",".442",".338","109","35.1","1465","300","35","198","616","65","826","6.66"
"1962","Yankees","2053","6393","5644","199","817","42","29",".281",".267",".337",".426",".338","107","32.0","1509","240","29","199","584","32","822",""
"1921","Senators","1627","5992","5292","42","703","112","66",".298",".278",".342",".384",".338","89","14.3","1470","242","97","42","457","58","704",""
"1987","Brewers","1694","6370","5625","163","862","176","74",".311",".276",".346",".428",".338","103","17.8","1552","272","46","163","598","32","847","3.81"
"1975","Phillies","2206","6367","5592","125","735","126","56",".304",".269",".342",".402",".338","103","32.0","1506","283","42","125","610","31","776","2.35"
"1887","Beaneaters","1155","4908","4531","53","831","373","",".294",".277",".333",".394",".338","104","18.8","1255","185","94","53","340","37","835",""
"1951","Indians","1799","5945","5250","140","696","52","35",".269",".256",".336",".389",".338","101","24.0","1346","208","35","140","605","27","703",""
"1923","Senators","1690","6053","5243","26","719","102","64",".296",".274",".346",".367",".338","93","18.7","1435","224","93","26","529","50","704",""
"1937","Cardinals","1740","5966","5476","94","789","78","",".301",".282",".331",".406",".338","95","17.2","1543","264","67","94","385","16","718",""
"1999","Braves","2204","6351","5569","197","840","148","66",".288",".266",".341",".436",".338","95","23.8","1481","309","23","197","608","53","808","8.53"
"1997","Orioles","2003","6340","5584","196","812","63","26",".290",".268",".341",".429",".338","102","23.2","1498","264","22","196","586","65","809","3.22"
"2019","Red Sox","2455","6475","5770","245","901","68","30",".313",".269",".340",".466",".338","106","27.5","1554","345","27","245","590","49","915","-0.21"
"1997","Braves","2208","6315","5528","174","791","108","58",".310",".270",".343",".426",".338","101","31.8","1490","268","37","174","597","52","803","8.26"
"2009","Twins","2315","6346","5608","172","817","85","32",".306",".274",".345",".429",".338","104","22.4","1539","271","40","172","585","45","808","3.60"
"1911","Rustlers","1656","6044","5308","37","699","169","",".294",".267",".340",".355",".338","89","5.6","1417","249","54","37","554","31","725",""
"1941","Cardinals","1809","6152","5457","70","734","47","",".291",".272",".340",".377",".338","99","26.5","1482","254","56","70","541","28","727",""
"1921","White Sox","1627","5991","5319","35","677","94","93",".307",".284",".344",".380",".338","85","10.8","1509","242","82","35","446","43","700",""
"1986","Red Sox","1722","6255","5498","144","794","41","34",".286",".271",".346",".415",".338","103","21.6","1488","320","21","144","595","66","807","8.59"
"1981","Red Sox","1113","4281","3820","90","519","32","31",".297",".275",".340",".399",".338","110","17.9","1052","168","17","90","378","13","524","4.71"
"2003","Rangers","2311","6293","5664","239","826","65","25",".287",".266",".330",".454",".338","99","20.2","1506","274","36","239","488","75","824","-2.36"
"2001","Athletics","1830","6385","5573","199","884","68","29",".288",".264",".345",".439",".338","108","28.0","1469","334","22","199","640","88","852","10.75"
"1993","Orioles","1687","6310","5508","157","786","73","54",".293",".267",".346",".413",".338","104","27.8","1470","287","24","157","655","41","811","-1.75"
"1913","Red Sox","1591","5641","4969","17","630","189","",".298",".268",".336",".364",".338","105","20.7","1334","220","101","17","466","39","662",""
"2000","Orioles","1901","6238","5549","184","794","126","65",".293",".272",".341",".435",".338","98","15.3","1508","310","22","184","558","49","802","-4.22"
"1890","Colts","1261","5453","4891","67","847","329","",".279",".260",".336",".356",".338","94","23.9","1271","147","60","67","516","46","841",""
"1959","Redlegs","1946","5922","5288","161","764","65","28",".292",".274",".337",".427",".338","99","23.7","1448","258","34","161","499","32","764",""
"1927","Browns","1745","5900","5217","55","724","90","66",".292",".276",".339",".381",".338","82","6.3","1442","263","59","55","449","42","689",""
"1914","Terrapins","1694","5834","5120","32","645","152","",".297",".268",".337",".357",".338","95","17.3","1374","222","67","32","487","46","676",""
"1924","Phillies","1780","5855","5306","94","676","57","67",".287",".275",".328",".397",".338","79","2.3","1459","256","56","94","382","36","671",""
"2008","Yankees","2330","6257","5572","180","789","118","39",".302",".271",".342",".427",".338","104","21.3","1512","289","20","180","535","80","800","2.10"
"1895","Colonels","1251","5205","4724","34","698","156","",".294",".279",".339",".368",".337","87","2.4","1320","171","73","34","346","77","746",""
"1957","Braves","1880","6050","5458","199","772","35","16",".278",".269",".327",".442",".337","111","35.1","1469","221","62","199","461","30","762",""
"1969","Twins","2217","6424","5677","163","790","115","70",".292",".268",".340",".408",".337","106","30.8","1520","246","32","163","599","43","801",""
"1969","Red Sox","2053","6294","5494","197","743","41","47",".268",".251",".333",".415",".337","101","23.6","1381","234","37","197","658","32","783",""
"2007","Brewers","2330","6238","5554","231","801","96","32",".289",".262",".329",".456",".337","100","25.1","1455","310","37","231","501","76","800","1.80"
"1899","Orphans","1417","5766","5148","27","812","247","","",".277",".338",".359",".337","93","20.1","1428","173","82","27","406","64","767",""
"2006","Rangers","2227","6273","5659","183","835","53","24",".311",".278",".338",".446",".337","97","15.9","1571","357","23","183","505","40","818","-0.64"
"1890","Beaneaters","1212","5321","4722","31","763","285","",".285",".258",".342",".341",".337","96","17.3","1220","175","62","31","530","69","819",""
"1951","Pirates","2050","5973","5318","137","689","29","27",".270",".258",".331",".397",".337","90","12.9","1372","218","56","137","557","22","702",""
"1955","Indians","2049","6050","5146","148","698","28","24",".271",".257",".349",".394",".337","101","20.4","1325","195","31","148","723","35","751",""
"1911","Naps","1640","5885","5321","20","691","209","","",".282",".333",".369",".337","92","18.3","1501","238","81","20","354","50","702",""
"2014","Rockies","2387","6164","5612","186","755","85","48",".326",".276",".327",".445",".337","97","17.0","1551","307","41","186","397","48","787","-2.69"
"1937","Pirates","1681","5996","5433","47","704","32","",".306",".285",".343",".384",".337","97","22.7","1550","223","86","47","463","11","722",""
"1941","Tigers","1773","6077","5370","81","686","43","28",".283",".263",".340",".375",".337","83","7.4","1412","247","55","81","602","23","715",""
"1939","Cubs","1715","5990","5293","91","724","61","",".283",".266",".336",".391",".337","94","15.2","1407","263","62","91","523","34","709",""
"1912","Phillies","1635","5754","5077","43","670","159","",".297",".267",".332",".367",".337","89","12.9","1354","244","68","43","464","34","691",""
"1994","Rockies","1604","4493","4006","125","573","91","53",".308",".274",".337",".439",".337","87","6.2","1098","206","39","125","378","23","580","-2.65"
"2009","Blue Jays","2202","6362","5696","209","798","73","23",".290",".266",".333",".440",".337","101","19.5","1516","339","13","209","548","45","806","-3.65"
"1934","Giants","1777","5934","5396","126","760","19","",".286",".275",".329",".405",".337","97","26.4","1485","240","41","126","406","24","721",""
"2006","Dodgers","2384","6394","5628","153","820","128","49",".307",".276",".348",".432",".337","101","20.7","1552","307","58","153","601","51","828","1.57"
"2011","Tigers","2309","6231","5563","169","787","49","20",".318",".277",".340",".434",".337","109","23.1","1540","297","34","169","521","39","805","6.81"
"1995","Athletics","1577","5617","4915","169","730","112","46",".289",".264",".341",".421",".337","101","13.9","1296","228","18","169","565","45","719","5.81"
"1940","Browns","1860","6051","5416","118","757","51","40",".280",".263",".333",".401",".337","86","10.6","1423","278","58","118","556","16","741",""
"1938","Reds","1670","5878","5391","110","723","19","",".291",".277",".327",".406",".337","102","26.0","1495","251","57","110","366","32","705",""
"2007","Braves","2398","6374","5689","176","810","64","30",".314",".275",".339",".435",".337","99","27.2","1562","328","27","176","534","49","814","0.55"
"1954","White Sox","1878","5972","5168","94","711","98","58",".281",".267",".347",".379",".337","99","28.9","1382","203","47","94","604","51","690",""
"2001","White Sox","1906","6151","5464","214","798","123","59",".290",".268",".334",".451",".337","104","23.0","1463","300","29","214","520","52","814","1.60"
"1925","Reds","1728","5838","5233","44","690","108","107",".297",".285",".339",".387",".337","88","18.6","1490","221","90","44","409","23","680",""
"1950","Phillies","1839","6051","5426","125","722","33","",".278",".265",".334",".396",".337","93","20.6","1440","225","55","125","535","24","704",""
"1950","Cardinals","1840","5917","5215","102","693","23","",".277",".259",".339",".386",".337","89","15.3","1353","255","50","102","606","23","690",""
"1992","Blue Jays","1645","6224","5536","163","780","129","39",".288",".263",".333",".414",".337","108","29.1","1458","265","40","163","561","47","767","4.84"
"1922","Robins","1728","5955","5413","56","743","79","60",".300",".290",".335",".392",".337","86","11.6","1569","235","76","56","339","25","690",""
"1979","Tigers","1755","6081","5375","164","770","176","86",".288",".269",".339",".415",".337","101","19.2","1446","221","35","164","575","22","771","2.79"
"1893","Browns","1262","5466","4879","10","745","250","",".277",".264",".343",".341",".337","86","8.5","1288","152","98","10","524","63","791",""
"1949","Pirates","1886","5870","5214","126","681","48","0",".270",".259",".332",".384",".337","87","12.7","1350","191","41","126","548","22","663",""
"2004","Athletics","2217","6459","5728","189","793","47","22",".300",".270",".343",".433",".337","102","20.6","1545","336","15","189","608","55","837","1.17"
"1992","Tigers","1671","6310","5515","182","791","66","45",".284",".256",".337",".407",".337","108","27.4","1411","256","16","182","675","24","777","1.95"
"2004","Orioles","2278","6431","5736","169","842","101","41",".309",".281",".345",".432",".337","103","22.0","1614","319","18","169","528","57","833","-3.57"
"1912","Tigers","1570","5885","5143","19","721","270","","",".267",".343",".349",".337","96","19.1","1375","189","86","19","530","58","705",""
"1922","White Sox","1596","6024","5267","45","691","109","84",".298",".278",".343",".374",".337","88","16.1","1464","245","63","45","482","43","697",""
"1954","Cubs","1865","5965","5359","159","700","46","31",".276",".263",".325",".412",".337","89","12.0","1412","229","45","159","478","32","691",""
"2020","Giants","974","2259","2019","81","299","19","8",".311",".263",".335",".451",".337","114","9.8","532","107","14","81","195","27","316","3.63"
"1974","Dodgers","2024","6332","5557","139","798","149","75",".294",".272",".342",".401",".337","111","37.4","1511","231","34","139","597","28","765","14.62"
"1929","Senators","1731","5997","5237","48","732","87","61",".292",".276",".347",".375",".337","88","15.8","1445","244","66","48","554","19","709",""
"1996","Angels","1772","6320","5686","192","762","53","39",".303",".276",".339",".431",".337","94","13.9","1571","256","24","192","527","29","820","-9.79"
"2002","Athletics","2312","6291","5558","205","800","46","20",".284",".261",".339",".432",".337","106","23.1","1450","279","28","205","609","68","810","8.85"
"1891","Colts","1267","5449","4873","60","832","238","",".269",".253",".332",".358",".337","99","21.2","1231","159","88","60","526","50","817",""
"1956","Dodgers","1885","5884","5098","179","720","65","37",".270",".258",".342",".419",".337","100","29.2","1315","212","36","179","649","17","732",""
"2000","Dodgers","2057","6312","5481","211","798","95","42",".283",".257",".341",".431",".337","99","23.7","1408","265","28","211","668","51","799","5.69"
"1910","Pirates","1603","5794","5125","33","655","148","",".291",".266",".328",".360",".337","100","22.9","1364","214","83","33","437","34","669",""
"1983","Yankees","1697","6279","5631","153","770","84","42",".286",".273",".337",".416",".337","111","24.1","1535","269","40","153","533","37","795","9.02"
"1997","Rangers","1921","6266","5651","187","807","72","37",".309",".274",".334",".438",".337","95","17.3","1547","311","27","187","500","34","793","1.40"
"1993","Giants","2229","6271","5557","168","808","120","65",".303",".276",".340",".427",".337","107","35.3","1534","269","33","168","516","46","797","9.96"
"1912","Braves","1625","6031","5361","35","693","137","",".308",".273",".335",".361",".336","85","5.2","1465","227","68","35","454","48","722",""
"1956","White Sox","1942","6122","5286","128","776","70","33",".282",".267",".349",".397",".336","99","25.4","1412","218","43","128","619","75","760",""
"1997","Athletics","2045","6369","5589","197","764","71","36",".295",".260",".339",".423",".336","101","12.0","1451","274","23","197","642","49","806","-4.28"
"1997","Angels","1879","6387","5628","161","829","126","72",".300",".272",".346",".416",".336","100","21.6","1531","279","25","161","617","45","808","2.87"
"2004","Rangers","2240","6256","5615","227","860","69","36",".291",".266",".329",".457",".336","95","18.4","1492","323","34","227","500","61","808","1.19"
"1912","Cardinals","1696","5813","5092","27","659","193","",".301",".268",".340",".352",".336","92","13.9","1366","190","77","27","508","47","695",""
"2007","Mets","2335","6344","5605","177","804","200","46",".303",".275",".342",".432",".336","100","27.7","1543","294","27","177","549","54","807","5.49"
"1998","Cubs","2283","6394","5649","212","831","65","44",".302",".264",".337",".433",".336","100","21.7","1494","250","34","212","601","39","814","6.11"
"1951","Cardinals","1820","6003","5317","95","683","30","30",".277",".264",".339",".382",".336","92","21.4","1404","230","57","95","569","31","702",""
"1934","Cubs","1689","5841","5347","101","705","59","",".302",".279",".330",".402",".336","95","21.8","1494","263","44","101","375","26","706",""
"1976","Phillies","2170","6237","5528","110","770","127","70",".297",".272",".338",".395",".336","106","32.4","1505","259","45","110","542","40","750","8.56"
"1902","Americans","1300","5295","4878","42","664","132","","",".278",".322",".383",".336","95","20.7","1357","195","95","42","275","42","678",""
"2007","Indians","2225","6367","5604","178","811","72","41",".310",".268",".343",".428",".336","104","21.7","1504","305","27","178","590","80","815","4.33"
"1974","Reds","2163","6373","5535","135","776","146","49",".289",".260",".343",".394",".336","108","38.6","1437","271","35","135","693","30","767","8.31"
"1912","Dodgers","1617","5830","5141","32","651","179","",".297",".268",".336",".358",".336","93","15.8","1377","220","73","32","490","40","695",""
"2020","Phillies","875","2223","1948","82","306","35","8",".299",".257",".342",".439",".336","109","6.8","500","90","10","82","229","28","310","4.37"
"2003","White Sox","2277","6148","5487","220","791","77","29",".279",".263",".331",".446",".336","101","22.5","1445","303","19","220","519","58","795","-4.28"
"1897","Bridegrooms","1279","5334","4810","24","802","187","","",".279",".336",".366",".336","91","12.4","1343","202","72","24","351","58","721",""
"2004","Cubs","2290","6281","5628","235","789","66","28",".292",".268",".328",".458",".336","98","25.4","1508","308","29","235","489","38","804","-1.75"
"1991","Tigers","1792","6359","5547","209","817","109","47",".277",".247",".333",".416",".336","106","29.6","1372","259","26","209","699","31","805","-0.09"
"1901","Americans","1294","5349","4866","37","759","157","","",".278",".330",".381",".336","97","23.2","1353","183","104","37","331","47","736",""
"2004","Braves","2349","6339","5570","178","803","86","32",".309",".270",".343",".434",".336","100","29.0","1503","304","37","178","587","59","812","6.50"
"1942","Dodgers","1783","5991","5286","62","742","81","0",".282",".264",".338",".362",".336","103","29.0","1398","263","34","62","572","14","687",""
"2017","Indians","2367","6234","5511","212","818","88","23",".295",".263",".339",".449",".336","105","26.7","1449","333","29","212","604","50","839","-0.76"
"2002","Angels","2307","6327","5678","152","851","117","51",".303",".282",".341",".433",".336","105","28.2","1603","333","32","152","462","74","811","6.18"
"2004","Astros","2391","6269","5468","187","803","89","30",".293",".267",".342",".436",".336","98","24.6","1458","294","36","187","590","61","801","3.90"
"1939","Pirates","1784","5923","5269","63","666","44","",".290",".276",".338",".384",".336","93","15.3","1453","261","60","63","477","21","695",""
"2009","Brewers","2321","6296","5510","182","785","68","37",".305",".263",".341",".426",".336","103","24.6","1447","281","37","182","610","71","787","7.78"
"2012","Rangers","2236","6216","5590","200","808","91","44",".306",".273",".334",".446",".336","106","23.3","1526","303","32","200","478","57","813","2.89"
"1932","Tigers","1706","5992","5409","80","798","105","49",".291",".273",".335",".401",".336","87","16.0","1479","291","80","80","486","13","745",""
"1893","Reds","1238","5197","4617","29","759","238","",".269",".259",".342",".341",".336","85","11.9","1195","161","65","29","532","48","747",""
"1914","Tip-Tops","1669","5805","5221","42","662","220","",".297",".269",".326",".368",".336","97","19.7","1402","225","85","42","404","45","665",""
"1939","Browns","1846","6132","5422","91","733","48","38",".288",".268",".339",".381",".336","81","-0.1","1453","242","50","91","558","20","717",""
"2019","Nationals","2327","6267","5512","231","873","116","29",".306",".265",".342",".454",".336","103","26.0","1460","298","27","231","584","81","869","8.96"
"1979","Orioles","1817","6106","5371","181","757","99","49",".277",".261",".336",".419",".336","108","32.1","1401","258","24","181","608","31","769","8.97"
"1933","Red Sox","1732","5853","5200","50","700","58","37",".290",".271",".339",".378",".336","89","14.3","1407","294","56","50","523","15","704",""
"1927","Indians","1696","5843","5203","26","669","65","72",".301",".283",".337",".379",".336","84","6.5","1472","320","51","26","377","50","673",""
"1986","Rangers","1799","6148","5529","184","771","103","85",".301",".267",".331",".428",".336","103","20.2","1479","248","43","184","511","35","783","7.46"
"1913","Phillies","1827","6001","5400","73","693","156","",".286",".265",".318",".382",".336","94","19.7","1433","257","78","73","383","35","696",""
"1994","Twins","1201","4409","3952","103","594","94","30",".304",".276",".340",".427",".336","95","12.0","1092","239","23","103","359","41","567","0.65"
"2001","Diamondbacks","2180","6349","5595","208","818","71","38",".294",".267",".341",".442",".336","97","26.0","1494","284","35","208","587","57","830","-2.15"
"1937","Phillies","1807","5993","5424","103","724","66","",".295",".273",".334",".391",".336","83","7.4","1482","258","37","103","478","16","712",""
"1953","Braves","1844","5895","5349","156","738","46","27",".278",".266",".325",".415",".336","97","20.8","1422","227","52","156","439","27","701",""
"2017","Yankees","2294","6354","5594","241","858","90","22",".304",".262",".339",".447",".336","109","29.2","1463","266","23","241","616","64","853","3.68"
"1940","White Sox","1602","6003","5386","73","735","52","60",".301",".278",".340",".387",".335","89","17.9","1499","238","63","73","497","10","726",""
"2002","Diamondbacks","2331","6318","5508","165","819","92","46",".298",".267",".346",".423",".335","97","22.1","1471","283","41","165","643","50","804","5.28"
"2003","Twins","2269","6324","5655","155","801","94","44",".312",".277",".341",".431",".335","102","24.0","1567","318","45","155","512","63","815","2.31"
"1988","Blue Jays","1745","6194","5557","158","763","107","36",".295",".268",".332",".419",".335","109","29.0","1491","271","47","158","521","31","785","3.90"
"2007","Devil Rays","2229","6280","5593","187","782","131","48",".318",".268",".336",".433",".335","103","17.6","1500","291","36","187","545","53","799","-0.53"
"1960","Yankees","2093","5981","5290","193","746","37","23",".274",".260",".329",".426",".335","107","34.0","1377","215","40","193","537","28","748",""
"2002","Mariners","2251","6362","5569","152","814","137","58",".307",".275",".350",".419",".335","110","31.3","1531","285","31","152","629","51","814","7.87"
"1900","Giants","1352","5229","4724","23","713","236","","",".279",".338",".357",".335","95","12.9","1317","177","61","23","369","56","697",""
"1999","White Sox","1904","6264","5644","162","777","110","50",".297",".277",".337",".429",".335","94","12.2","1563","298","37","162","499","34","786","-2.33"
"1915","Terriers","1660","5992","5145","23","634","195","",".285",".261",".340",".345",".335","99","25.5","1344","199","81","23","576","36","684",""
"2018","Yankees","2269","6271","5515","267","851","63","21",".285",".249",".329",".451",".335","112","31.7","1374","269","23","267","625","62","838","9.58"
"2005","Phillies","2273","6345","5542","167","807","116","27",".306",".270",".348",".423",".335","98","29.3","1494","282","35","167","639","56","804","2.14"
"1930","Reds","1819","5880","5245","74","665","48","",".299",".281",".339",".400",".335","82","8.4","1475","265","67","74","445","16","720",""
"2007","Reds","2383","6332","5607","204","783","97","31",".298",".267",".335",".436",".335","94","15.5","1496","293","23","204","536","66","799","-3.73"
"1939","Dodgers","1815","6047","5350","78","708","59","",".290",".265",".338",".380",".335","90","17.9","1420","265","57","78","564","26","705",""
"1916","Tigers","1766","5969","5193","17","673","190","59",".291",".264",".337",".350",".335","103","25.1","1371","202","96","17","545","29","662",""
"1940","Indians","1696","5957","5361","101","710","53","36",".283",".265",".332",".398",".335","96","23.8","1422","287","61","101","519","16","721",""
"1990","Tigers","1816","6224","5479","172","750","82","57",".283",".259",".337",".409",".335","109","22.5","1418","241","32","172","634","34","775","-2.03"
"1872","Athletics","424","2210","2141","4","539","58","31",".323",".317",".338",".383",".335","112","12.2","679","79","25","4","69","","553",""
"1913","Tigers","1659","5769","5064","24","624","218","",".291",".265",".336",".355",".335","100","19.3","1344","180","101","24","496","46","666",""
"1914","Phillies","1671","5770","5110","62","651","145","",".287",".263",".329",".361",".335","102","15.3","1345","211","52","62","472","27","659",""
"1962","Twins","2067","6362","5561","185","798","33","20",".274",".260",".338",".412",".335","99","24.9","1445","215","39","185","649","31","805",""
"1871","Haymakers","261","1297","1248","6","351","62","24",".309",".308",".334",".417",".335","108","3.5","384","51","34","6","49","","341",""
"1909","Pirates","1562","5860","5128","25","701","185","","",".260",".327",".353",".335","110","35.5","1332","218","92","25","479","36","674",""
"1970","Orioles","1986","6416","5545","179","792","84","39",".279",".257",".344",".401",".335","107","36.9","1424","213","25","179","717","44","802",""
"2008","Rays","2299","6312","5541","180","774","142","50",".302",".260",".340",".422",".335","105","29.2","1443","284","37","180","626","68","795","5.51"
"1891","Giants","1264","5307","4833","46","754","224","",".279",".263",".329",".360",".335","102","22.5","1271","189","72","46","438","36","789",""
"1934","Phillies","1731","5724","5218","56","675","52","",".308",".284",".338",".384",".335","80","7.4","1480","286","35","56","398","29","686",""
"2001","Cardinals","2300","6177","5450","199","814","91","35",".302",".270",".339",".441",".335","101","31.1","1469","274","32","199","529","65","802","3.24"
"1971","Pirates","1996","6283","5674","154","788","65","31",".301",".274",".330",".416",".335","112","37.3","1555","223","61","154","469","29","756",""
"1953","Phillies","1790","5916","5290","115","716","42","21",".281",".265",".335",".396",".335","91","20.6","1400","228","62","115","530","29","702",""
"1951","Tigers","1890","6007","5336","104","685","37","34",".278",".265",".337",".380",".335","91","14.9","1413","231","35","104","567","18","696",""
"1987","Mets","2141","6335","5601","192","823","159","49",".295",".268",".339",".434",".335","108","30.8","1499","287","34","192","592","31","820","7.67"
"1984","Blue Jays","1913","6286","5687","143","750","193","67",".296",".273",".331",".421",".335","103","24.9","1555","275","68","143","460","52","785","7.05"
"1875","Red Stockings","740","3548","3515","15","831","93","37",".323",".321",".327",".410",".335","136","29.8","1128","167","51","15","33","","761",""
"1925","Cubs","1683","5933","5353","86","723","94","70",".289",".275",".329",".397",".335","83","12.1","1473","254","70","86","397","33","680",""
"1982","Red Sox","1674","6262","5596","136","753","42","39",".294",".274",".340",".407",".335","100","18.2","1536","271","31","136","547","28","782","-1.13"
"1963","Twins","2014","6233","5531","225","767","32","14",".267",".255",".325",".430",".335","108","32.7","1408","223","35","225","547","41","794",""
"2010","Twins","2290","6257","5568","142","781","68","28",".306",".273",".341",".422",".335","106","27.8","1521","318","41","142","559","39","787","6.96"
"1899","Giants","1415","5585","5092","23","734","234","","",".281",".337",".352",".334","93","14.0","1431","161","65","23","387","45","730",""
"1890","Reds","1214","5128","4644","27","753","312","",".277",".259",".329",".360",".334","100","21.7","1203","150","120","27","433","51","776",""
"1928","Robins","1813","5992","5243","66","665","81","",".284",".266",".340",".374",".334","89","13.2","1393","229","70","66","557","32","684",""
"1931","Browns","1704","5945","5384","76","720","73","80",".292",".270",".332",".389",".334","84","7.4","1455","286","62","76","488","12","710",""
"1995","Astros","2092","5857","5097","109","747","176","60",".320",".275",".353",".399",".334","104","22.2","1403","260","22","109","566","69","731","6.43"
"2008","Indians","2199","6299","5543","171","805","77","29",".305",".262",".339",".424",".334","103","24.0","1455","339","22","171","560","103","789","1.49"
"1986","Blue Jays","1866","6318","5716","181","809","110","59",".287",".269",".329",".427",".334","104","22.8","1540","285","35","181","496","33","797","1.54"
"2011","Cardinals","2403","6242","5532","162","762","57","39",".305",".273",".341",".425",".334","112","29.6","1513","308","22","162","542","44","787","15.72"
"1932","Browns","1695","6064","5448","67","735","69","63",".296",".276",".339",".388",".334","83","7.9","1502","274","69","67","507","19","747",""
"2006","Twins","2226","6228","5602","143","801","101","42",".316",".287",".347",".425",".334","101","22.7","1608","275","34","143","490","50","796","3.60"
"1890","Solons","1298","5332","4741","16","831","353","","",".258",".341",".335",".334","107","30.6","1225","159","77","16","545","46","806",""
"2020","White Sox","889","2267","2047","96","306","20","8",".314",".261",".326",".453",".334","114","13.8","534","94","6","96","179","24","312","1.38"
"1889","Solons","1293","5365","4816","36","779","304","",".290",".259",".335",".356",".334","103","19.4","1247","171","95","36","507","42","828",""
"1973","Red Sox","1629","6223","5513","147","738","114","45",".287",".267",".338",".401",".334","102","28.3","1472","235","30","147","581","31","758",""
"1941","Indians","1746","5913","5283","103","677","63","47",".272",".256",".323",".393",".334","90","16.6","1350","249","84","103","511","18","684",""
"1999","Tigers","1902","6096","5481","212","747","108","70",".287",".261",".326",".443",".334","92","15.5","1433","289","34","212","458","82","759","-10.17"
"1985","Blue Jays","1878","6107","5508","158","759","144","77",".289",".269",".331",".425",".334","104","27.5","1482","281","53","158","503","30","773","8.00"
"2008","Phillies","2396","6273","5509","214","799","136","25",".283",".255",".332",".438",".334","98","32.8","1407","291","36","214","586","67","778","2.79"
"1999","Cardinals","2275","6354","5570","194","809","134","48",".300",".262",".338",".426",".334","92","17.2","1461","274","27","194","613","51","787","-0.91"
"1982","White Sox","1871","6242","5575","136","786","136","58",".300",".273",".337",".413",".334","104","17.8","1523","266","52","136","533","30","777","4.92"
