"Season","Team","IP","BABIP","ERA","FIP","WAR","TBF","R","ER","H","HR","BB","HBP","SO","WPA","AVG","FIP-","RA9-WAR"
"1882","White Stockings","763.2",".259","2.22","2.66","9.8","","353","188","667","13","102","","279","",".236","92","18.3"
"1907","White Sox","1406.1",".274","2.22","2.09","14.5","","475","347","1279","13","305","22","604","",".244","96","21.9"
"1908","White Sox","1414.0",".256","2.22","1.92","15.4","","479","349","1170","11","284","28","623","",".227","95","18.5"
"1883","Blues","879.0",".281","2.22","3.19","7.3","","443","217","818","7","217","","402","",".248","104","19.2"
"1904","Naps","1356.2",".283","2.22","2.22","16.3","","482","335","1273","10","285","36","627","",".250","93","19.3"
"1906","Browns","1357.2",".255","2.23","2.37","13.1","","501","336","1132","14","314","61","558","",".228","100","18.8"
"1883","Browns","879.1",".251","2.23","3.13","11.2","","409","218","729","7","150","","325","",".227","93","23.5"
"1919","Reds","1274.0",".251","2.23","2.81","12.5","5063","401","316","1104","21","298","20","407","",".233","99","24.0"
"1885","White Stockings","1015.2",".257","2.23","3.05","14.0","","470","252","868","37","202","0","458","",".233","94","23.6"
"1884","Brewers","104.0",".237","2.25","1.10","7.6","","34","26","49","1","13","","139","",".143","11","8.3"
"1877","Grays","559.0",".299","2.25","2.65","9.5","","288","140","617","4","41","","141","",".281","87","13.7"
"1907","Naps","1392.2",".267","2.26","2.30","12.5","","523","350","1253","8","362","58","513","",".242","102","18.8"
"1909","Tigers","1420.1",".263","2.26","2.38","15.1","","493","357","1254","16","359","56","528","",".238","100","23.1"
"1883","Red Stockings","866.2",".252","2.26","3.60","6.4","","413","218","766","17","168","","215","",".239","109","21.5"
"1880","Ruby Legs","762.2",".273","2.27","2.36","9.6","","370","192","709","13","97","","297","",".248","93","11.9"
"1917","Giants","1426.2",".249","2.27","2.50","12.3","5721","457","360","1221","29","327","27","551","",".228","101","23.3"
"1882","Grays","752.0",".268","2.27","2.59","7.4","","356","190","690","12","87","","273","",".245","97","14.3"
"1909","Giants","1440.2",".268","2.27","2.27","20.7","","547","364","1248","28","397","30","735","",".235","87","18.9"
"1908","Red Sox","1380.1",".266","2.28","2.16","14.2","","512","349","1200","18","364","47","624","",".236","99","17.3"
"1879","Reds","726.0",".293","2.29","2.59","4.9","","464","185","756","11","81","","246","",".270","110","2.1"
"1907","Pirates","1363.0",".263","2.30","2.37","15.9","","514","348","1207","12","368","46","497","",".239","94","15.2"
"1902","Pirates","1264.2",".275","2.30","2.41","18.0","","440","323","1142","4","250","61","564","",".243","87","27.1"
"1904","White Sox","1380.0",".256","2.30","2.40","9.4","","482","353","1161","13","303","47","550","",".230","106","17.6"
"1904","Cubs","1383.2",".257","2.30","2.55","15.2","","511","354","1150","16","402","36","618","",".228","96","23.6"
"1874","Mutuals","586.0",".287","2.30","3.00","4.5","","377","150","658","3","40","","23","",".285","102","12.3"
"1915","Senators","1393.2",".263","2.31","2.47","20.4","","491","357","1161","12","455","48","715","",".228","87","27.8"
"1918","Red Sox","1120.0",".246","2.31","2.73","10.0","4557","381","287","931","9","380","31","392","",".225","101","16.4"
"1878","Red Caps","544.0",".304","2.32","2.21","6.0","","241","140","595","6","38","","184","",".279","97","12.4"
"1877","Dark Blues","544.0",".284","2.32","2.83","3.3","","311","140","572","2","56","","99","",".272","109","5.6"
"1878","Blues","578.0",".299","2.32","2.43","2.5","","328","149","621","3","87","","182","",".276","115","3.0"
"1913","White Sox","1360.1",".267","2.33","2.73","14.1","","492","352","1190","10","438","34","602","",".237","97","23.8"
"1888","Bridegrooms","1286.1",".255","2.33","2.58","16.0","","584","333","1059","15","285","0","577","",".226","90","27.4"
"1907","Tigers","1370.2",".275","2.33","2.34","14.0","","537","355","1281","8","380","53","512","",".249","100","18.5"
"1879","Bisons","713.0",".277","2.34","2.44","8.7","","365","185","698","3","47","","198","",".258","96","12.7"
"1904","Reds","1392.2",".266","2.34","2.56","22.0","","548","362","1256","13","343","55","502","",".242","87","26.8"
"1908","Senators","1390.2",".272","2.34","2.07","12.5","","541","362","1236","16","348","41","649","",".240","101","9.7"
"1907","Athletics","1354.2",".265","2.35","1.97","19.0","","509","353","1106","13","378","67","789","",".225","88","19.2"
"1904","Athletics","1361.1",".278","2.35","2.05","21.0","","503","355","1149","13","366","63","887","",".230","85","19.7"
"1916","Phillies","1382.2",".263","2.36","2.45","19.0","5569","489","362","1238","28","295","45","601","",".237","91","20.9"
"1874","Red Stockings","633.0",".306","2.36","2.87","6.7","","415","166","777","1","27","","26","",".303","95","13.8"
"1916","White Sox","1412.1",".267","2.36","2.45","19.7","5487","498","371","1189","14","405","26","644","",".235","88","21.5"
"1914","Red Sox","1427.1",".258","2.36","2.58","15.8","","511","375","1207","18","393","32","602","",".231","95","21.9"
"1883","Grays","871.0",".281","2.37","2.95","8.6","","436","229","827","12","111","","376","",".252","98","18.8"
"1878","White Stockings","551.0",".294","2.37","2.19","7.2","","331","145","577","4","35","","175","",".271","92","4.6"
"1908","Reds","1384.0",".257","2.37","2.55","11.9","","537","365","1218","19","415","42","433","",".238","105","11.0"
"1878","Grays","556.0",".302","2.38","2.49","3.7","","337","147","609","5","86","","173","",".280","112","3.7"
"1914","Cardinals","1424.2",".264","2.38","2.82","14.1","","540","377","1279","26","422","51","531","",".241","99","21.5"
"1884","Outlaw Reds","914.1",".282","2.38","2.71","10.5","","466","242","831","17","90","","503","",".244","98","22.0"
"1907","Superbas","1356.1",".264","2.38","2.65","9.0","","527","359","1218","16","463","39","479","",".242","109","10.1"
"1888","Quakers","1167.0",".274","2.38","2.56","16.9","","514","309","1072","26","196","25","519","",".246","84","20.5"
"1885","Quakers","976.0",".262","2.39","3.02","8.9","","511","259","860","18","218","0","378","",".238","102","12.1"
"1915","Red Sox","1397.0",".257","2.39","2.63","16.4","","499","371","1164","18","446","46","634","",".228","94","26.4"
"1905","Giants","1370.0",".268","2.39","2.45","21.1","","504","364","1160","25","364","31","760","",".231","85","28.3"
"1875","Mutuals","637.2",".286","2.40","2.49","4.9","","425","170","716","3","24","","16","",".285","105","4.6"
"1881","Grays","757.2",".286","2.40","2.62","7.0","","426","202","756","5","138","","264","",".261","98","6.4"
"1909","Naps","1361.0",".269","2.40","2.23","14.5","","532","363","1212","9","348","47","568","",".240","98","12.1"
"1908","Tigers","1374.1",".281","2.40","2.10","16.1","","552","367","1313","12","318","60","553","",".253","96","12.8"
"1875","White Stockings","625.0",".273","2.40","2.41","7.9","","416","167","652","0","28","","28","",".270","94","7.7"
"1907","Reds","1351.1",".266","2.41","2.61","12.7","","519","362","1223","16","444","66","481","",".243","103","15.1"
"1892","Spiders","1336.0",".259","2.41","3.02","18.3","","613","358","1178","28","413","8","472","",".238","90","30.9"
"1888","Athletics","1208.2",".257","2.41","2.63","14.1","","594","324","988","14","324","0","596","",".225","93","21.6"
"1913","Giants","1422.0",".269","2.42","2.65","19.7","","515","383","1276","38","315","21","651","",".241","88","28.0"
"1915","White Sox","1401.0",".270","2.43","2.38","21.7","","509","378","1242","14","350","33","635","",".239","84","24.9"
"1881","White Stockings","744.2",".274","2.43","2.81","8.0","","379","201","722","14","122","","228","",".256","98","12.3"
"1907","Phillies","1299.1",".255","2.43","2.51","12.4","","481","351","1095","13","422","52","499","",".230","100","15.5"
"1880","Reds","713.1",".301","2.44","2.50","6.1","","472","193","785","10","88","","208","",".281","104","-2.3"
"1909","Phillies","1391.0",".261","2.44","2.57","14.2","","519","377","1190","23","472","40","612","",".233","99","18.4"
"1914","Chi-Feds","1420.1",".257","2.44","2.74","11.5","","517","385","1204","43","393","32","650","",".231","103","26.3"
"1885","Browns","1002.0",".262","2.44","2.78","13.1","","461","272","879","12","168","43","378","",".237","93","26.0"
"1907","Giants","1371.0",".271","2.45","2.27","18.7","","511","373","1219","25","369","40","655","",".240","88","15.7"
"1907","Americans","1414.0",".257","2.45","2.36","13.5","","556","385","1222","22","337","40","517","",".235","101","17.4"
"1967","White Sox","1490.1",".245","2.45","3.11","16.5","6074","491","406","1197","87","465","58","927","",".216","95","26.8"
"1886","Quakers","1045.2",".271","2.45","3.19","10.3","","498","285","923","29","264","0","540","",".238","99","22.3"
"1910","Red Sox","1430.0",".264","2.45","2.53","13.8","","564","390","1236","30","414","45","670","",".235","101","16.0"
"1917","Phillies","1389.1",".268","2.46","2.39","20.5","5610","500","379","1258","25","325","36","616","",".240","89","21.9"
"1879","White Stockings","744.0",".286","2.46","2.49","9.2","","411","203","762","5","57","","211","",".266","97","10.8"
"1884","Metropolitans","985.0",".266","2.46","2.62","13.8","","423","269","802","21","115","25","628","",".224","86","23.5"
"1910","Senators","1373.1",".272","2.46","2.34","14.0","","552","376","1215","19","375","51","674","",".239","99","11.8"
"1908","Superbas","1369.0",".257","2.47","2.45","8.6","","514","375","1165","17","444","60","535","",".232","109","9.2"
"1884","Beaneaters","1037.0",".292","2.47","2.61","17.1","","468","285","932","30","135","0","742","",".242","75","25.8"
"1916","Red Sox","1410.2",".267","2.48","2.64","14.1","5629","480","388","1221","10","463","38","584","",".238","98","22.3"
"1914","White Sox","1398.2",".266","2.48","2.49","16.8","","568","385","1207","15","401","29","660","",".234","91","11.6"
"1918","Pirates","1140.1",".255","2.48","2.60","13.9","4608","411","314","1005","13","299","32","367","",".235","95","18.2"
"1968","Cardinals","1479.1",".264","2.49","2.61","19.8","6006","472","409","1282","82","375","28","971","",".229","93","27.2"
"1906","Giants","1334.1",".277","2.49","2.42","17.7","","508","369","1207","13","394","25","639","",".243","90","16.1"
"1886","Browns","1229.1",".271","2.49","3.09","17.3","","592","340","1087","13","329","26","583","",".239","90","32.5"
"1891","Brewers","309.2",".279","2.50","3.21","5.7","","156","86","291","6","120","0","137","",".250","82","9.5"
"1876","Red Caps","632.0",".298","2.51","2.63","3.4","","450","176","732","7","104","","77","",".291","115","0.4"
"1910","Cubs","1378.2",".260","2.51","2.64","16.2","","499","384","1171","18","474","41","609","",".231","94","26.6"
"1909","Reds","1407.0",".260","2.52","2.67","9.9","","599","394","1233","5","510","47","477","",".237","107","8.8"
"1917","Indians","1412.2",".266","2.52","2.78","16.7","5640","542","396","1270","17","438","32","451","",".246","95","20.6"
"1972","Orioles","1371.2",".245","2.54","2.95","17.0","5493","430","387","1116","85","395","15","788","",".220","94","24.9"
"1914","Senators","1420.2",".263","2.54","2.61","15.5","","519","401","1170","20","520","51","784","",".226","96","20.8"
