"Season","Team","IP","BABIP","ERA","FIP","WAR","TBF","R","ER","H","HR","BB","HBP","SO","WPA","AVG","FIP-","RA9-WAR"
"2013","Pirates","1470.2",".285","3.27","3.42","16.8","6147","577","535","1299","101","515","70","1261","12.91",".234","93","19.4"
"1913","Yankees","1344.0",".283","3.27","3.08","10.4","","669","489","1318","31","455","53","530","",".258","106","4.9"
"1979","Orioles","1434.1",".255","3.28","3.85","19.1","5897","582","522","1279","133","467","14","786","13.53",".236","94","29.8"
"1982","Dodgers","1488.1",".272","3.28","3.16","22.0","6185","612","542","1356","81","468","22","932","5.23",".238","90","20.6"
"1963","Twins","1446.1",".260","3.28","3.64","16.3","6040","602","527","1322","162","459","24","941","",".238","97","22.3"
"1988","Padres","1449.0",".270","3.28","3.50","16.0","5981","583","528","1332","112","439","21","885","1.53",".241","98","19.0"
"1989","Angels","1454.1",".278","3.28","3.56","20.1","6068","578","530","1384","113","465","29","897","7.16",".248","92","26.9"
"1965","Yankees","1459.2",".272","3.28","3.38","16.6","6111","604","532","1337","126","511","28","1001","",".240","96","17.0"
"1902","Bronchos","1204.1",".279","3.28","3.37","9.5","","667","439","1199","26","411","48","361","",".261","104","10.9"
"1981","Giants","1009.1",".279","3.28","3.46","7.4","4302","414","368","970","57","393","24","561","1.66",".250","104","10.9"
"1978","Padres","1433.2",".279","3.28","3.25","17.6","6005","598","523","1385","74","483","12","744","-0.76",".251","95","14.0"
"1974","Orioles","1474.0",".268","3.28","3.55","16.7","6125","612","538","1393","101","480","25","701","2.65",".248","100","23.4"
"1902","Athletics","1216.1",".297","3.29","3.18","15.3","","636","444","1292","33","368","63","455","",".274","94","17.8"
"1973","Athletics","1457.1",".255","3.29","3.83","9.6","6048","615","532","1311","143","494","30","797","",".237","107","18.6"
"1975","Yankees","1424.0",".271","3.29","3.50","19.5","5937","588","520","1325","104","502","21","809","3.34",".245","93","24.0"
"1959","White Sox","1425.1",".255","3.29","3.82","13.9","6020","588","521","1297","129","525","31","761","",".237","99","23.2"
"2020","Indians","536.0",".285","3.29","3.55","11.2","2176","209","196","440","68","157","27","621","9.72",".221","80","14.5"
"1892","Giants","1322.2",".268","3.29","3.32","10.5","","826","484","1165","32","635","0","641","",".238","104","5.5"
"1975","Athletics","1448.0",".254","3.29","3.58","19.2","6039","606","530","1267","102","523","37","784","8.22",".231","93","19.7"
"1963","Reds","1439.2",".274","3.29","3.05","21.1","5966","594","527","1307","117","425","39","1048","",".238","91","18.6"
"1981","Expos","975.0",".268","3.30","3.19","12.5","4008","394","357","902","58","268","18","520","4.10",".242","94","13.3"
"1965","Indians","1458.1",".266","3.30","3.17","21.7","6049","613","534","1254","129","500","28","1156","",".227","88","17.1"
"1953","Braves","1387.0",".264","3.30","3.74","16.7","5860","589","508","1282","107","539","21","738","",".242","95","25.2"
"1911","Phillies","1373.1",".281","3.30","3.47","15.1","","673","503","1285","43","598","54","697","",".249","98","16.8"
"1989","Mets","1454.1",".265","3.30","3.42","16.7","6098","595","533","1260","115","532","26","1108","0.82",".227","97","16.9"
"1981","Athletics","993.0",".252","3.30","3.83","8.6","4166","403","364","883","80","370","28","505","4.01",".234","105","13.5"
"1970","Athletics","1442.2",".251","3.30","3.85","12.2","6029","593","529","1253","134","542","34","858","",".230","102","19.4"
"1912","Naps","1352.2",".298","3.30","3.23","13.5","","681","496","1367","15","523","47","622","",".264","101","14.3"
"1931","Giants","1360.2",".271","3.30","3.93","12.9","5769","595","499","1341","71","422","22","570","",".252","101","21.9"
"1901","Tigers","1188.2",".300","3.30","3.44","13.3","","696","436","1328","22","313","47","307","",".284","96","14.2"
"1978","Giants","1455.0",".276","3.30","3.16","19.3","6090","594","534","1377","84","453","22","840","1.19",".245","93","19.1"
"1919","Tigers","1256.0",".287","3.30","3.30","9.5","5187","577","461","1254","35","436","38","428","",".266","105","10.6"
"2017","Indians","1440.2",".303","3.30","3.33","30.4","5866","564","529","1267","163","406","45","1614","21.76",".234","75","35.1"
"1989","Giants","1457.0",".260","3.30","3.75","10.1","6041","600","535","1320","120","471","24","802","3.30",".238","105","15.3"
"1985","Blue Jays","1448.0",".258","3.31","3.92","17.0","6004","588","532","1312","147","484","26","823","10.85",".239","96","32.1"
"1919","Red Sox","1224.1",".295","3.31","3.13","10.4","5034","567","450","1251","16","421","28","381","",".273","103","8.8"
"1971","Pirates","1461.0",".278","3.31","3.33","13.2","6165","599","537","1426","108","470","31","813","",".252","101","16.3"
"1984","Expos","1431.0",".272","3.31","3.64","13.2","5956","585","526","1333","114","474","21","861","-5.22",".244","102","19.7"
"1939","Yankees","1348.2",".252","3.31","4.24","14.6","5692","556","496","1208","85","567","11","565","",".236","99","34.8"
"1945","Indians","1302.1",".273","3.31","3.37","11.1","5559","548","479","1269","39","501","22","497","",".252","102","11.9"
"1942","Giants","1370.0",".256","3.31","3.69","10.7","5812","601","504","1299","94","493","13","497","",".245","105","14.4"
"1899","Orioles","1304.1",".291","3.31","3.42","16.8","","691","480","1403","13","349","71","294","",".276","93","22.0"
"1983","Rangers","1466.2",".276","3.31","3.53","22.1","6127","609","540","1392","97","471","38","826","3.19",".248","90","28.1"
"1976","Orioles","1468.2",".270","3.32","3.46","13.9","6137","598","541","1396","80","489","23","678","6.14",".248","101","15.5"
"1920","Yankees","1368.0",".277","3.32","3.48","15.7","5898","631","504","1414","48","420","27","480","",".259","96","23.1"
"1967","Tigers","1443.2",".253","3.32","3.52","12.7","5956","587","532","1230","151","472","37","1038","",".226","103","16.0"
"1952","Indians","1407.0",".256","3.32","3.54","13.1","5973","606","519","1278","94","556","24","671","",".237","101","16.1"
"1883","Bisons","859.1",".318","3.32","2.95","11.0","","576","317","971","12","101","","362","",".286","92","8.4"
"1966","Orioles","1466.1",".263","3.32","3.33","17.5","6070","601","541","1267","127","514","29","1070","",".229","94","17.1"
"1969","Tigers","1455.1",".259","3.32","3.51","19.9","6105","601","537","1250","128","586","34","1032","",".228","92","21.8"
"1974","Yankees","1455.1",".279","3.32","3.52","17.9","6143","623","537","1402","104","528","33","829","5.04",".251","99","21.4"
"1963","Cardinals","1463.1",".267","3.32","3.29","19.7","6128","628","540","1329","124","463","48","978","",".237","93","19.1"
"1890","Phillies","1194.2",".293","3.32","3.58","16.2","","707","441","1210","22","486","0","507","",".264","92","17.9"
"1967","Orioles","1457.1",".257","3.32","3.38","12.2","6037","592","538","1218","116","566","30","1034","",".224","102","13.5"
"1912","Athletics","1357.0",".281","3.32","3.22","8.8","","656","501","1273","12","518","57","601","",".250","107","13.1"
"1956","Indians","1384.0",".258","3.32","3.52","22.1","5888","581","511","1233","116","564","30","845","",".233","88","28.9"
"1982","Expos","1460.2",".276","3.33","3.38","18.8","6083","616","540","1371","110","448","22","936","7.49",".244","94","18.9"
"1984","Astros","1449.1",".280","3.33","3.35","13.5","6064","630","536","1350","91","502","17","950","-4.74",".243","99","13.5"
"1884","Red Stockings","983.2",".274","3.33","3.55","5.1","","512","364","956","27","181","78","308","",".256","116","15.6"
"1914","Tip-Tops","1385.1",".291","3.33","3.02","10.1","","677","513","1375","31","559","52","636","",".260","106","9.5"
"1978","Phillies","1436.1",".270","3.33","3.39","17.5","5887","586","532","1343","118","393","25","813","2.23",".246","94","20.7"
"1968","Red Sox","1447.0",".269","3.33","3.26","17.0","6083","611","536","1303","115","523","50","972","",".236","97","12.1"
"1901","Orphans","1241.2",".312","3.33","3.05","11.7","","698","460","1348","27","324","53","586","",".278","100","3.7"
"1907","Doves","1338.2",".279","3.33","2.84","7.8","","646","496","1324","28","458","68","426","",".260","113","-1.2"
"1971","Giants","1454.2",".258","3.33","3.49","12.2","6094","644","539","1324","128","471","30","831","",".237","103","12.7"
"1902","Browns","1244.0",".281","3.34","3.31","9.6","","607","461","1273","36","343","45","348","",".266","103","17.0"
"1892","Colonels","1346.0",".284","3.34","3.14","12.5","","804","499","1358","26","447","0","430","",".263","99","7.7"
"1875","Elm Citys","426.0",".300","3.34","2.46","2.8","","397","158","500","5","22","","46","",".294","105","-5.8"
"1903","Beaneaters","1228.2",".303","3.34","3.36","9.0","","692","456","1310","30","460","53","516","",".274","107","8.7"
"2012","Nationals","1468.1",".282","3.34","3.54","19.5","6133","594","545","1296","129","497","47","1325","10.94",".232","92","24.7"
"1973","Yankees","1427.2",".270","3.34","3.58","15.7","5997","610","530","1379","109","457","26","708","",".250","97","19.7"
"1969","Cubs","1454.1",".280","3.34","3.20","24.7","6103","611","540","1366","118","475","29","1017","",".244","86","25.3"
"2012","Reds","1453.0",".288","3.34","3.72","18.7","6056","588","540","1356","152","427","51","1248","11.65",".243","92","24.5"
"1963","Giants","1469.0",".271","3.35","3.31","13.8","6204","641","546","1380","126","464","34","954","",".242","101","12.6"
"1957","White Sox","1401.2",".259","3.35","3.72","14.6","5852","566","521","1305","124","470","25","665","",".244","99","22.1"
"1988","Reds","1455.0",".260","3.35","3.66","13.8","6017","596","541","1271","121","504","27","934","5.24",".232","101","19.8"
"1983","Phillies","1461.2",".294","3.35","3.25","23.8","6168","635","544","1429","111","464","23","1092","2.71",".252","87","19.1"
"1992","Pirates","1479.2",".277","3.35","3.51","12.1","6162","595","551","1410","101","455","30","844","9.33",".248","102","17.8"
"1957","Dodgers","1399.0",".264","3.35","3.55","20.5","5842","591","521","1285","144","456","26","891","",".240","90","25.0"
"2012","Dodgers","1449.2",".283","3.35","3.64","20.8","6068","597","540","1277","122","539","45","1276","6.77",".233","93","22.9"
"1965","Tigers","1455.0",".264","3.35","3.42","17.7","6095","602","542","1283","137","509","47","1069","",".232","94","18.8"
"1971","Reds","1444.0",".258","3.35","3.52","8.7","5988","581","538","1298","112","501","27","750","",".238","108","16.5"
"1949","Indians","1383.2",".261","3.36","3.78","16.8","5880","574","516","1275","82","611","16","594","",".243","95","26.4"
"1899","Perfectos","1340.2",".294","3.36","3.56","15.8","","739","500","1476","41","321","54","331","",".281","95","19.9"
"1976","Angels","1477.1",".272","3.36","3.33","16.9","6185","631","551","1323","95","553","38","992","-1.27",".237","97","14.4"
"1927","Robins","1375.1",".276","3.36","3.75","15.2","5853","625","513","1382","63","418","26","574","",".256","97","20.5"
"1889","Beaneaters","1166.0",".285","3.36","3.75","17.3","","626","435","1152","41","413","45","497","",".259","89","27.7"
"1924","Senators","1383.0",".267","3.36","3.87","14.2","5909","614","516","1329","34","505","44","469","",".248","98","26.0"
"1911","Naps","1390.2",".296","3.36","3.15","13.8","","709","519","1382","17","552","66","675","",".261","100","16.3"
"1986","Giants","1460.1",".262","3.36","3.76","13.5","6093","618","545","1264","121","591","29","992","-0.76",".231","101","17.6"
"1967","Red Sox","1459.1",".263","3.36","3.50","16.8","6098","614","545","1307","142","477","47","1010","",".234","97","17.3"
"1968","Phillies","1448.1",".289","3.36","2.87","12.9","6072","615","541","1416","91","421","41","935","",".252","102","5.8"
"1928","Athletics","1367.2",".271","3.36","3.62","19.3","5859","615","511","1349","66","424","22","607","",".249","91","25.9"
"2015","Cubs","1461.1",".287","3.36","3.30","22.9","5997","608","546","1276","134","407","46","1431","12.67",".230","85","20.7"
"2010","Giants","1461.0",".282","3.36","3.74","18.4","6159","583","546","1279","134","578","51","1331","11.58",".231","97","25.1"
"1964","Phillies","1461.0",".281","3.36","3.38","13.0","6159","632","546","1402","129","440","51","1009","",".247","102","15.1"
"1885","Maroons","965.1",".278","3.37","3.25","6.3","","593","361","935","15","278","0","337","",".256","111","3.3"
"1990","Expos","1473.1",".271","3.37","3.70","14.5","6173","598","551","1349","127","510","38","991","2.53",".240","99","24.0"
"1915","Tip-Tops","1355.2",".275","3.37","3.16","9.1","","673","507","1299","27","536","23","467","",".254","108","3.7"
"1899","Orphans","1331.1",".291","3.37","3.40","15.9","","763","498","1433","20","330","82","313","",".276","95","15.9"
"1975","Reds","1459.0",".269","3.37","3.74","11.9","6158","586","546","1422","112","487","29","663","13.68",".252","104","23.2"
"1875","Red Stockings","171.0",".309","3.37","2.20","1.7","","161","64","207","0","3","","19","",".300","92","-2.3"
"1989","Cardinals","1461.0",".268","3.37","3.41","16.4","6090","608","547","1330","84","482","30","844","5.18",".238","96","17.7"
"1976","Pirates","1466.1",".272","3.37","3.41","15.7","6146","630","549","1402","95","460","18","762","4.66",".247","98","15.5"
"1925","Reds","1375.1",".284","3.37","3.58","21.5","5799","643","515","1447","35","324","33","437","",".266","87","25.8"
"1955","White Sox","1378.0",".266","3.37","3.50","20.4","5817","557","516","1301","111","497","22","720","",".246","90","27.7"
"1938","Cubs","1396.2",".279","3.37","3.76","17.6","5935","598","523","1414","71","454","17","583","",".259","93","24.1"
"1877","White Stockings","534.0",".306","3.37","2.99","5.8","","375","200","630","7","58","","92","",".295","102","3.4"
"1933","Cardinals","1382.2",".282","3.37","3.41","18.5","5899","609","518","1391","55","452","17","635","",".256","92","16.1"
"1982","Cardinals","1465.1",".274","3.37","3.68","10.8","6142","609","549","1420","94","502","22","689","4.81",".253","105","20.7"
"1946","Braves","1371.0",".259","3.37","3.41","14.2","5790","593","514","1291","76","478","15","531","",".244","99","14.6"
"1952","Senators","1429.2",".273","3.37","3.57","14.9","6128","608","536","1405","78","577","30","574","",".254","99","18.7"
"1962","Pirates","1432.1",".289","3.37","3.46","20.1","6057","626","537","1433","118","466","21","897","",".257","91","23.2"
"1948","Braves","1389.1",".266","3.37","3.65","16.5","5853","582","521","1354","93","430","14","579","",".250","95","22.4"
"1928","Cardinals","1415.1",".272","3.38","4.00","16.5","6015","634","531","1470","86","399","27","422","",".263","96","25.0"
"1971","Brewers","1416.1",".263","3.38","3.78","9.4","5978","609","532","1303","130","569","27","795","",".242","107","13.6"
"1992","Cardinals","1480.0",".271","3.38","3.56","13.0","6140","604","556","1405","118","400","32","842","1.53",".246","102","17.4"
"1922","Browns","1392.0",".277","3.38","3.91","20.3","5903","634","523","1412","71","419","46","534","",".260","91","27.1"
"1913","Tigers","1360.0",".286","3.38","3.10","11.3","","716","511","1359","13","504","49","468","",".262","105","2.5"
"1915","Blues","1360.0",".276","3.38","3.09","10.9","","634","511","1271","35","553","29","594","",".249","105","8.8"
"1884","Wolverines","984.2",".317","3.38","3.50","8.4","","736","370","1097","36","245","0","488","",".283","104","-1.7"
"1986","Cardinals","1466.1",".264","3.38","3.97","8.8","6061","611","551","1364","135","485","22","761","6.36",".246","109","23.2"
"2017","Dodgers","1444.2",".281","3.38","3.67","21.7","5925","580","543","1226","184","442","40","1549","14.91",".225","86","25.4"
"1946","Red Sox","1396.2",".271","3.38","3.36","17.2","5953","594","525","1359","89","501","14","667","",".250","95","20.1"
"1951","Indians","1391.1",".260","3.38","3.66","15.5","5940","594","523","1287","86","577","24","642","",".241","97","22.6"
"2013","Reds","1473.2",".273","3.38","3.81","18.0","6077","589","554","1294","170","435","66","1296","10.07",".232","98","24.5"
"2014","Braves","1455.0",".300","3.38","3.47","18.6","6087","597","547","1369","121","472","37","1301","6.74",".245","97","20.8"
"1967","Senators","1473.1",".264","3.38","3.43","10.5","6144","637","554","1334","113","495","37","878","",".238","104","8.2"
"1989","Padres","1457.1",".271","3.38","3.70","15.0","6095","626","548","1359","133","481","21","933","5.18",".243","101","17.6"
"1944","Yankees","1390.1",".266","3.39","3.72","9.1","5920","617","523","1351","82","532","13","529","",".251","109","15.3"
"1890","Pirates","1219.1",".289","3.39","3.74","17.0","","770","459","1238","27","503","38","460","",".265","90","26.7"
"1955","Indians","1386.1",".271","3.39","3.40","21.7","5903","601","522","1285","111","558","22","877","",".241","88","22.7"
"1975","Mets","1466.0",".277","3.39","3.35","17.9","6190","625","552","1344","99","580","24","989","2.24",".241","95","17.0"
"1922","Yankees","1393.2",".273","3.39","3.99","15.8","5836","618","525","1402","73","423","21","458","",".260","98","26.2"
"1947","Yankees","1374.1",".254","3.39","3.80","13.1","5860","568","518","1221","95","628","20","691","",".234","102","21.3"
"1911","Dodgers","1371.2",".278","3.39","3.48","10.4","","659","517","1310","27","566","41","533","",".253","104","12.9"
"2019","Dodgers","1445.2",".271","3.39","3.73","24.1","5913","613","545","1201","185","392","66","1519","10.84",".220","85","26.1"
"1904","Phillies","1339.1",".297","3.39","2.88","8.4","","784","505","1418","22","425","70","469","",".273","110","-7.5"
"1992","Cubs","1469.0",".269","3.39","3.77","11.9","6201","624","554","1337","107","575","44","901","-0.21",".240","104","17.7"
"1990","Pirates","1447.0",".270","3.40","3.77","13.8","5997","619","546","1367","135","413","30","848","6.51",".246","101","19.6"
"1928","Cubs","1380.2",".279","3.40","3.83","17.8","5879","615","521","1383","56","508","32","531","",".259","93","24.4"
"2018","Dodgers","1476.0",".284","3.40","3.60","18.6","6096","610","557","1279","179","422","61","1565","6.02",".228","90","20.5"
"1958","Orioles","1369.2",".266","3.40","3.35","18.3","5687","575","517","1277","106","403","35","749","",".243","92","17.7"
"1988","Giants","1462.1",".265","3.40","3.38","16.3","6047","626","552","1323","99","422","30","875","-0.35",".236","96","10.8"
"1981","Rangers","940.1",".260","3.40","3.57","9.6","3909","389","355","851","67","322","17","488","-0.45",".238","99","12.3"
"1990","Reds","1456.1",".276","3.40","3.69","21.2","6128","597","550","1338","124","543","34","1029","7.09",".241","92","26.6"
"1960","Dodgers","1398.0",".265","3.40","3.63","16.9","5882","593","528","1218","154","564","33","1122","",".230","95","23.9"
"1926","Indians","1374.0",".275","3.40","3.90","16.6","5889","611","519","1412","49","450","44","381","",".262","96","27.1"
"1918","Tigers","1160.2",".276","3.40","2.91","10.2","4907","558","439","1130","10","437","33","374","",".255","102","0.8"
"2014","Dodgers","1464.2",".292","3.40","3.48","19.5","6075","617","554","1338","142","429","41","1373","4.43",".239","96","15.5"
"1938","Bees","1380.0",".265","3.40","4.02","8.0","5905","618","522","1375","66","465","30","413","",".254","109","15.6"
"1985","Padres","1451.1",".269","3.40","3.79","14.1","6049","622","549","1399","127","443","25","727","3.54",".251","102","18.1"
"2010","Padres","1456.1",".286","3.41","3.66","16.3","6058","581","551","1305","139","517","28","1295","12.52",".237","95","21.0"
"1988","Astros","1474.2",".270","3.41","3.48","11.2","6184","631","558","1339","123","478","37","1049","0.54",".236","105","12.2"
"1914","Packers","1361.0",".294","3.41","2.89","10.5","","683","515","1387","37","445","48","600","",".265","104","5.3"
"1898","Pirates","1323.2",".289","3.41","3.19","14.8","","694","501","1400","14","346","65","330","",".273","95","16.5"
"1874","White Stockings","533.2",".318","3.41","3.14","5.9","","480","202","696","7","48","","30","",".316","99","3.9"
"1964","Colt .45's","1428.0",".283","3.41","3.17","14.7","5990","628","541","1421","105","353","28","852","",".253","99","11.5"
"1902","White Sox","1221.2",".286","3.41","3.23","9.6","","602","463","1269","30","331","50","346","",".269","103","15.4"
"1992","Dodgers","1438.0",".290","3.41","3.37","15.8","6192","636","545","1401","82","553","28","981","-12.38",".250","98","9.2"
"1953","White Sox","1403.2",".262","3.41","3.92","14.8","5963","592","532","1299","113","583","23","714","",".242","99","24.5"
"1968","Cubs","1453.2",".274","3.41","3.25","10.7","6050","611","551","1399","138","392","27","894","",".248","107","12.1"
"1943","Browns","1385.0",".277","3.41","3.38","15.0","5935","604","525","1397","74","488","22","572","",".258","98","14.1"
"1909","Cardinals","1379.2",".280","3.41","2.84","7.3","","728","523","1368","22","483","44","435","",".260","112","-7.8"
"1920","Indians","1377.0",".296","3.41","3.30","20.3","5715","644","522","1448","31","401","29","466","",".274","89","24.4"
"1906","Americans","1382.0",".283","3.41","2.54","13.1","","711","524","1360","37","285","43","549","",".259","101","-1.6"
"1966","Yankees","1415.2",".267","3.41","3.49","13.8","5903","612","537","1318","124","443","21","842","",".242","100","12.2"
"2009","Dodgers","1473.1",".275","3.41","3.80","18.6","6182","611","559","1265","127","584","57","1272","9.31",".228","91","21.8"
"1884","Athletics","948.2",".296","3.42","2.77","14.1","","546","360","920","16","127","39","530","",".256","87","11.8"
"1982","Astros","1446.2",".276","3.42","3.32","14.9","6038","620","549","1338","87","479","33","899","-1.97",".242","98","13.9"
"1974","Mets","1470.1",".284","3.42","3.30","20.9","6228","646","558","1433","99","504","27","908","-2.72",".252","93","17.5"
"1926","Reds","1408.2",".278","3.42","3.43","18.0","5885","651","535","1449","40","324","28","424","",".262","93","18.6"
"2012","Braves","1445.1",".284","3.42","3.74","11.4","5991","600","549","1310","145","464","41","1232","9.41",".239","98","19.6"
"1974","Reds","1466.1",".267","3.42","3.63","16.4","6190","631","557","1364","126","536","17","875","8.69",".242","100","20.7"
"1886","Grays","1234.2",".287","3.42","3.53","10.3","","832","469","1202","17","464","34","540","",".257","105","8.5"
"1978","Pirates","1444.2",".273","3.42","3.40","17.6","6141","637","549","1366","103","499","33","880","2.79",".244","94","16.3"
"1935","Pirates","1365.2",".280","3.42","3.58","21.4","5818","647","519","1428","63","312","20","549","",".260","88","21.5"
"1933","Reds","1352.0",".282","3.42","3.39","15.0","5666","643","514","1470","47","257","14","310","",".272","97","7.0"
"1912","Reds","1377.2",".300","3.42","3.28","14.9","","724","524","1455","28","452","61","560","",".272","97","12.5"
"1979","Pirates","1493.1",".276","3.42","3.68","17.7","6272","643","568","1424","125","504","31","904","8.26",".248","96","23.3"
"1978","Expos","1446.0",".264","3.42","3.86","5.7","6068","611","550","1332","117","572","29","740","-3.33",".244","112","16.8"
"1912","Cubs","1358.2",".280","3.42","3.44","11.5","","668","517","1307","33","493","47","554","",".254","103","15.3"
"1990","Mets","1440.0",".290","3.43","3.17","24.4","6009","613","548","1339","119","444","27","1217","4.91",".242","85","18.1"
"1937","Giants","1361.0",".276","3.43","3.83","14.7","5718","602","518","1341","85","404","20","653","",".253","97","21.1"
"1989","Cubs","1460.1",".276","3.43","3.59","16.1","6163","623","556","1369","106","532","25","918","6.59",".244","97","20.2"
"1972","Cardinals","1399.2",".277","3.43","3.09","19.3","5889","600","533","1290","87","531","21","912","",".242","92","15.7"
"2011","Padres","1449.1",".283","3.43","3.73","15.1","6065","611","552","1324","125","521","37","1139","0.47",".240","100","15.8"
"2013","Cardinals","1459.2",".297","3.43","3.39","17.3","6104","596","556","1366","112","451","64","1254","6.96",".244","91","17.4"
"1884","Blues","994.2",".303","3.43","3.57","6.8","","716","379","1046","35","269","0","482","",".272","109","-1.1"
"1978","Rangers","1456.1",".278","3.43","3.40","21.2","6084","632","555","1431","108","421","24","776","4.62",".254","91","20.8"
"1904","Beaneaters","1348.1",".298","3.43","2.96","7.9","","757","514","1405","25","500","52","544","",".270","111","-4.1"
"1964","Cardinals","1445.1",".275","3.43","3.50","18.1","6081","652","551","1405","133","410","30","877","",".249","95","19.5"
"1891","Orioles","1217.0",".285","3.43","3.52","13.3","","798","464","1238","33","472","0","408","",".265","97","14.6"
"1920","Cardinals","1426.2",".291","3.43","3.41","9.5","6100","682","544","1488","30","479","58","529","",".267","106","4.8"
"1968","Angels","1437.0",".250","3.43","3.51","3.4","5967","615","548","1234","131","519","33","869","",".228","117","2.0"
"1891","Kelly's Killers","902.0",".289","3.43","3.72","9.7","","643","344","921","20","446","2","331","",".266","99","8.1"
"1973","Reds","1473.0",".266","3.43","3.78","9.4","6193","621","562","1389","135","518","29","801","",".246","107","17.5"
"1992","Brewers","1457.0",".262","3.43","3.82","16.2","6040","604","556","1344","127","435","47","793","5.53",".242","98","25.1"
"1884","Nationals","953.2",".327","3.44","2.58","8.9","","679","364","992","16","168","","684","",".269","100","2.6"
"1929","Athletics","1357.0",".277","3.44","4.13","16.9","5837","616","518","1371","73","487","15","573","",".257","94","27.3"
"1944","Pirates","1414.1",".273","3.44","3.46","18.7","6096","662","540","1466","65","435","17","452","",".260","92","16.8"
"2014","Orioles","1461.1",".280","3.44","3.96","12.9","6104","593","558","1342","151","472","59","1174","12.50",".241","101","24.8"
"1898","Giants","1353.2",".291","3.44","3.44","11.1","","800","517","1359","21","587","88","558","",".263","103","8.6"
"1988","Athletics","1489.2",".275","3.44","3.63","17.6","6256","620","569","1376","116","553","29","983","11.49",".243","96","21.7"
"1963","Colt .45's","1450.1",".271","3.44","2.89","18.0","6036","640","554","1341","95","378","35","937","",".238","93","8.0"
"1978","Royals","1439.0",".261","3.44","3.71","14.8","6034","634","550","1350","108","478","34","657","5.14",".244","99","20.1"
"1947","Indians","1402.1",".251","3.44","3.92","7.4","5917","588","536","1244","94","628","22","590","",".236","110","17.1"
"1903","Superbas","1221.1",".295","3.44","3.15","11.1","","694","467","1276","18","377","68","438","",".270","102","8.0"
"1991","Pirates","1456.2",".283","3.44","3.53","16.8","6046","632","557","1411","117","401","30","919","3.81",".251","95","15.7"
"1995","Braves","1291.2",".287","3.44","3.58","24.2","5410","540","494","1184","107","436","32","1087","11.75",".240","84","28.0"
"1960","Giants","1396.0",".270","3.44","3.39","15.8","5913","631","534","1288","107","512","23","897","",".239","97","14.4"
"1932","Cubs","1401.0",".278","3.44","3.83","15.5","5977","633","536","1444","68","409","28","527","",".261","97","21.8"
"1942","Red Sox","1358.2",".258","3.44","3.56","14.3","5766","594","520","1260","65","553","16","500","",".242","99","20.6"
"1988","Brewers","1449.2",".267","3.45","3.69","17.9","6027","616","555","1355","125","437","19","832","8.19",".243","95","24.4"
"1949","Cardinals","1407.2",".268","3.45","3.59","22.4","5966","615","539","1356","87","506","26","606","",".250","87","25.5"
"1971","Yankees","1452.0",".263","3.45","3.53","11.9","6046","641","556","1382","126","423","23","707","",".247","104","9.7"
"2013","Royals","1448.1",".290","3.45","3.83","17.5","6049","601","555","1366","155","469","41","1208","8.94",".247","98","27.4"
"1899","Colonels","1351.2",".295","3.45","3.54","15.0","","775","518","1509","33","323","66","287","",".284","97","16.0"
"1981","Braves","968.0",".273","3.45","3.52","10.8","4078","416","371","936","62","330","11","471","-2.64",".250","97","11.5"
"1983","Astros","1466.1",".261","3.45","3.58","12.6","6117","646","562","1276","94","570","27","904","-2.10",".231","102","12.3"
"1931","Cardinals","1384.2",".295","3.45","3.84","17.2","5926","614","531","1470","65","449","22","626","",".269","95","23.1"
"1943","Red Sox","1426.1",".268","3.45","3.57","10.5","6083","607","547","1369","61","615","15","513","",".251","106","14.2"
"2015","Mets","1462.2",".288","3.45","3.53","19.0","6046","613","561","1341","152","383","44","1337","7.36",".239","91","16.5"
"1963","Orioles","1452.0",".270","3.45","3.56","12.8","6098","621","557","1353","137","507","29","913","",".243","102","15.1"
"1972","Brewers","1391.2",".262","3.45","3.54","6.9","5857","595","534","1289","116","486","33","740","",".241","112","6.5"
"1945","Yankees","1355.0",".259","3.45","3.57","11.8","5709","606","520","1277","66","485","11","474","",".245","103","11.3"
"1922","Giants","1396.1",".275","3.45","4.00","11.5","5911","658","536","1454","71","393","21","388","",".265","102","22.9"
"1980","Giants","1448.1",".285","3.46","3.54","12.0","6177","634","556","1446","92","492","30","811","-3.04",".256","103","12.2"
"2015","Dodgers","1445.2",".296","3.46","3.41","19.7","5932","595","555","1317","145","395","38","1396","7.24",".239","89","18.0"
"1936","Giants","1385.2",".286","3.46","4.16","12.9","5840","631","532","1458","75","401","22","500","",".269","100","22.3"
"1913","Reds","1380.0",".287","3.46","3.17","11.0","","717","530","1398","40","456","47","522","",".264","104","4.5"
"1885","Grays","991.2",".282","3.46","2.99","9.9","","650","381","955","27","211","28","436","",".255","101","6.8"
"1970","Mets","1459.2",".260","3.46","3.62","18.0","6134","630","561","1260","135","575","26","1064","",".228","96","24.8"
"1921","Reds","1363.0",".295","3.46","3.56","15.8","5730","648","524","1500","37","305","15","408","",".277","95","15.6"
"1980","Phillies","1480.0",".282","3.46","3.43","20.2","6251","639","569","1419","87","530","20","889","7.49",".249","93","19.2"
"1887","White Stockings","1126.0",".292","3.46","3.91","17.4","","716","433","1156","55","338","53","510","",".267","89","20.5"
"1961","Yankees","1451.0",".257","3.46","3.79","14.9","6050","612","558","1288","137","542","32","866","",".235","98","23.4"
