Season,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
2003,"ARI",1455,6230,3.84123711,1379,266,24,685,621,150,526,53,72,1291,0.24995469,0.32167263,0.38843574,0.3107953819269111
2003,"ATL",1456.1,6247,4.09727626,1425,309,25,740,663,147,555,69,42,992,0.25684932,0.32697283,0.40104542,0.3163579256926417
2003,"CHC",1456.1,6227,3.82536049,1304,248,19,683,619,143,617,36,71,1404,0.24054602,0.32416599,0.37244051,0.30851988097536015
2003,"CIN",1446.1,6423,5.09011293,1578,348,37,886,818,209,590,61,48,932,0.27820874,0.34881159,0.46315233,0.34909489132269733
2003,"COL",1420,6364,5.23521127,1629,325,44,892,826,200,552,51,84,866,0.28980608,0.35895404,0.47002313,0.35712165548923697
2003,"FLA",1445.1,6165,4.04128229,1415,300,37,692,649,128,530,40,40,1132,0.25816457,0.32519659,0.3964605,0.31511435716715214
2003,"HOU",1450,6176,3.86689655,1350,262,31,677,623,161,565,53,74,1139,0.24839006,0.32553191,0.39687213,0.31572809342564934
2003,"LAD",1457.2,6001,3.15504231,1254,205,27,556,511,127,526,35,40,1289,0.23421741,0.3064489,0.3537542,0.29236841241155215
2003,"MIL",1452,6459,5.0268595,1590,304,43,873,811,219,575,43,61,1034,0.27860522,0.34835681,0.46206413,0.3495019802206498
2003,"MON",1437.2,6171,4.01275214,1467,292,24,716,641,181,463,51,71,1028,0.26403888,0.32669388,0.42296616,0.3246568411951753
2003,"NYM",1413.1,6204,4.49575472,1497,317,41,754,706,168,576,71,45,907,0.27342466,0.34500733,0.43835616,0.3380593737352814
2003,"PHI",1443.2,6195,4.05841607,1386,315,33,697,651,142,536,51,77,1060,0.25319693,0.32684761,0.40062112,0.3177044379544081
2003,"PIT",1444.1,6293,4.64851142,1527,301,27,801,746,178,502,58,61,926,0.27243533,0.33644559,0.43104371,0.3319154438315408
2003,"STL",1463.2,6375,4.6178547,1544,335,30,796,751,210,508,36,65,969,0.27144866,0.33571202,0.4516526,0.33973847144718566
2003,"SDP",1431.1,6303,4.87307871,1458,259,37,831,775,208,611,52,62,1091,0.26403477,0.34106914,0.43734154,0.337001874658121
2003,"SFG",1437.1,6090,3.72564935,1349,259,31,638,595,136,546,34,43,1006,0.25041767,0.32144634,0.38574346,0.31023791409016055
2004,"ANA",1454.1,6246,4.28237451,1476,298,23,734,692,170,502,27,44,1164,0.26277372,0.32560386,0.41481218,0.32170535559679686
2004,"BAL",1455.1,6459,4.70613834,1488,253,28,830,761,159,687,43,62,1090,0.26411076,0.34827962,0.40362087,0.33040807992687043
2004,"BOS",1451.1,6222,4.19200735,1430,318,31,768,676,159,447,28,92,1132,0.25535714,0.31835085,0.40839286,0.3157964052270329
2004,"CHW",1432.1,6189,4.91366069,1505,276,24,831,782,224,527,36,48,1013,0.27229962,0.33832141,0.45250588,0.34048615796832826
2004,"CLE",1466.2,6450,4.81704545,1553,338,28,857,785,201,579,47,62,1115,0.27117164,0.3422243,0.4452593,0.3398211871506207
2004,"DET",1439.2,6296,4.92614031,1542,291,37,844,788,190,530,33,54,995,0.27452377,0.34048687,0.44098273,0.33804158777876614
2004,"KCR",1420.1,6320,5.16428069,1638,361,33,905,815,208,518,49,56,887,0.29001416,0.3522854,0.47609773,0.3544888512854783
2004,"MIN",1476,6269,4.04268293,1523,247,23,715,663,167,431,27,54,1123,0.26709926,0.32272581,0.40634865,0.3174754077720488
2004,"NYY",1443.2,6240,4.6880628,1532,304,28,808,752,182,445,32,60,1058,0.27119844,0.32796651,0.43158081,0.32780216590623906
2004,"OAK",1471.1,6313,4.17172633,1466,291,22,742,682,164,544,49,68,1034,0.26159886,0.33200192,0.40917202,0.3224359326796447
2004,"SEA",1459.1,6389,4.76107812,1498,317,20,823,772,212,575,32,72,1036,0.26513274,0.33806147,0.44088496,0.3370827656341358
2004,"TBD",1417,6261,4.82074806,1459,324,27,842,759,192,580,35,93,923,0.26498365,0.34216017,0.43824918,0.338204307074005
2004,"TEX",1439.2,6345,4.54480204,1536,284,30,794,727,182,547,29,81,979,0.27350427,0.3439288,0.43198006,0.3373873687848751
2004,"TOR",1421,6281,4.92751583,1505,293,28,823,778,181,608,47,58,956,0.27279318,0.34797243,0.43447526,0.33909490526454084
2004,"ARI",1436,6418,4.98259053,1480,289,40,899,795,197,668,79,75,1153,0.26647461,0.35040984,0.43932301,0.3406038399134649
2004,"ATL",1450,6218,3.74896552,1475,250,17,668,604,154,523,50,27,1025,0.26543099,0.32932184,0.39967608,0.31739051267932256
2004,"CHC",1465.1,6262,3.82643312,1363,245,31,665,623,169,545,33,76,1346,0.24705456,0.32093174,0.39459851,0.3128602014826379
2004,"CIN",1443.2,6451,5.21172939,1595,373,32,907,836,236,572,55,54,992,0.28011942,0.34844682,0.48120829,0.3539834597156402
2004,"COL",1435.1,6535,5.53669299,1634,336,43,923,883,198,697,84,71,947,0.29028247,0.37222997,0.47077634,0.361872290569191
2004,"FLA",1439,6110,4.09659486,1395,280,36,700,655,166,513,61,51,1116,0.25577558,0.32358771,0.4116245,0.3176848601165089
2004,"HOU",1443,6201,4.05405405,1416,283,35,698,650,174,525,61,68,1282,0.25750136,0.32789293,0.4166212,0.32191271322849674
2004,"LAD",1453.1,6155,4.00665138,1386,255,26,684,647,178,521,47,54,1066,0.25417202,0.323224,0.40839905,0.31747047060549854
2004,"MIL",1442,6204,4.2628294,1440,325,31,757,683,164,476,27,51,1098,0.25866715,0.32004556,0.41656188,0.3190407952192387
2004,"MON",1447,6307,4.32895646,1477,284,29,769,696,191,582,78,79,1032,0.26583873,0.34191588,0.43052556,0.3333300085492462
2004,"NYM",1449,6333,4.09937888,1452,288,24,731,660,156,592,70,49,977,0.26068223,0.33461231,0.40502693,0.3211813406204156
2004,"PHI",1462.2,6308,4.46718323,1488,318,36,781,726,214,502,60,66,1070,0.26443931,0.32985721,0.44784077,0.3331512529460302
2004,"PIT",1428,6197,4.31092437,1451,295,34,744,684,149,576,64,63,1079,0.26726837,0.34172662,0.41646712,0.32888614737428107
2004,"STL",1453.2,6104,3.74570053,1378,285,19,659,605,169,440,24,67,1041,0.25127644,0.31270737,0.40262582,0.31124032087758097
2004,"SDP",1441,6135,4.02845246,1460,308,36,705,645,184,422,39,48,1079,0.26306306,0.3184293,0.43099099,0.3222038526940449
2004,"SFG",1457,6321,4.34248456,1481,310,47,770,703,161,548,35,47,1020,0.26451152,0.33231951,0.42293267,0.32730344406113804
2005,"LAA",1464.1,6158,3.67539267,1419,285,31,643,598,158,443,24,48,1126,0.25370999,0.31214251,0.40050063,0.31095085862819244
2005,"BAL",1427.2,6242,4.56409059,1458,260,22,800,724,180,580,32,52,1052,0.26322441,0.336175,0.41559848,0.32871277172332247
2005,"BOS",1429,6227,4.74247726,1550,354,41,805,753,164,440,28,89,959,0.27575165,0.33532258,0.44084682,0.33629584755707465
2005,"CHW",1475.2,6176,3.61057149,1392,278,23,645,592,167,459,42,52,1040,0.24928367,0.31044046,0.39702722,0.307956187047172
2005,"CLE",1452.2,6048,3.60578247,1363,269,15,642,582,157,413,20,41,1050,0.24709935,0.30227915,0.38669326,0.30112842412330015
2005,"DET",1435.2,6139,4.5198514,1504,258,35,787,721,193,461,33,51,907,0.27206946,0.3304918,0.43614327,0.33160151480567385
2005,"KCR",1413.1,6370,5.55919811,1640,347,42,935,873,178,580,33,74,924,0.29119318,0.36211523,0.46253551,0.3575904040876096
2005,"MIN",1464.1,6072,3.7245618,1458,257,28,662,606,169,348,38,43,965,0.2608229,0.30709185,0.40751342,0.3091868223423506
2005,"NYY",1430.2,6182,4.53564772,1495,295,31,789,721,164,463,25,84,985,0.26898165,0.3318167,0.42173444,0.32844094258378587
2005,"OAK",1450.1,6080,3.69846012,1315,257,23,658,596,154,504,42,60,1075,0.24146162,0.31068122,0.38193169,0.3032870572525543
2005,"SEA",1427.2,6172,4.48844268,1483,267,22,751,712,179,496,32,57,892,0.2682221,0.33197456,0.42159523,0.3280405237857992
2005,"TBD",1421.2,6384,5.4,1570,315,41,936,853,194,615,41,64,949,0.28045731,0.35495581,0.45534119,0.3508534086422848
2005,"TEX",1440,6371,4.96875,1589,325,25,858,795,159,522,31,60,932,0.27882085,0.34324111,0.42832076,0.336422270570515
2005,"TOR",1447,6166,4.06150657,1475,263,20,705,653,185,444,29,68,958,0.2643843,0.32393218,0.4181753,0.3229832422040116
2005,"ARI",1456.1,6402,4.86976425,1580,341,41,856,788,193,537,43,62,1038,0.278218,0.3446149,0.45465751,0.3452424181684567
2005,"ATL",1443.2,6186,3.98360656,1487,285,22,674,639,145,520,52,32,929,0.26816952,0.33289796,0.40595131,0.322350934567413
2005,"CHC",1440,6185,4.19375,1357,258,19,714,671,186,576,48,50,1256,0.24967801,0.32502868,0.40680773,0.3191213774795318
2005,"CIN",1433,6397,5.17515701,1657,366,39,889,824,219,492,47,80,955,0.29014183,0.35196589,0.48292768,0.3583174880298884
2005,"COL",1418.2,6385,5.13862782,1600,357,32,862,810,175,604,54,84,981,0.28699552,0.36213992,0.45668161,0.35452290412186055
2005,"FLA",1442.1,6236,4.18696557,1459,306,46,732,671,116,563,57,65,1125,0.26594969,0.33901884,0.40193219,0.32383541771380076
2005,"HOU",1443,6023,3.51767152,1336,259,27,609,564,155,440,29,59,1164,0.24604052,0.30778262,0.3893186,0.3047799681323225
2005,"LAD",1427.1,6113,4.38229799,1434,291,33,755,695,182,471,34,64,1004,0.26316755,0.3269135,0.42888603,0.32786198391064836
