"Season","Team","G","AB","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","OPS","wOBA","wRC+","EV","BsR","Off","Def","WAR","H","1B","2B","3B","HR","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA"
"1894","Senators","1247","4581","5269","59","882","762","249","11.7%","7.1%",".138",".303",".287",".381",".425",".806",".378","95","","-1.8","-50.9","-57.8","8.2","1317","922","218","118","59","617","","375","71","","","","249","",".378"
"1932","Yankees","1712","5476","6344","160","1002","954","77","12.1%","8.3%",".169",".293",".286",".376",".454",".830",".377","119","","-14.9","150.7","20.0","38.5","1564","1043","279","82","160","765","","526","27","","76","","77","66",".377"
"1890","Reds","1222","4626","5321","54","992","772","412","12.3%","8.2%",".116",".303",".282",".376",".398",".774",".377","106","","18.9","77.4","-11.6","26.6","1306","953","223","76","54","652","","435","43","","","","412","",".377"
"1926","Yankees","1735","5210","6092","121","847","791","79","10.5%","9.5%",".149",".307",".289",".370",".438",".808",".377","112","","-13.4","86.8","15.9","32.3","1507","1049","262","75","121","642","","580","23","","217","","79","62",".377"
"1923","Indians","1736","5277","6150","59","886","806","79","10.2%","6.2%",".119",".317",".301",".381",".421",".801",".377","110","","-2.3","81.1","15.6","29.1","1591","1156","301","75","59","626","","381","49","","198","","79","79",".377"
"1929","Cubs","1712","5471","6252","139","982","933","103","9.4%","9.1%",".150",".318",".303",".373",".452",".825",".377","105","","18.0","62.4","74.9","32.8","1655","1160","310","46","139","589","","567","29","","163","","103","",".377"
"1937","Tigers","1694","5516","6264","150","935","873","89","10.5%","11.4%",".160",".314",".292",".370",".452",".822",".377","104","","-5.9","31.2","44.8","29.4","1611","1090","309","62","150","656","","712","22","","70","","89","45",".377"
"1930","Cardinals","1756","5512","6204","104","1004","942","72","7.7%","8.0%",".157",".331",".314",".372",".471",".843",".376","101","","13.9","24.5","32.7","24.6","1732","1166","373","89","104","479","","496","28","","185","","72","",".376"
"1893","Spiders","1202","4747","5309","32","976","833","252","10.0%","4.3%",".108",".311",".300",".374",".408",".783",".376","104","","3.0","37.8","-1.4","20.2","1425","1073","222","98","32","532","","229","30","","","","252","",".376"
"1938","Red Sox","1656","5229","6003","98","902","860","55","10.8%","7.7%",".135",".314",".299",".378",".434",".812",".376","100","","-14.0","-12.7","39.9","24.8","1566","1114","298","56","98","649","","462","13","","112","","55","51",".376"
"1936","Indians","1740","5646","6251","123","921","853","66","8.2%","7.5%",".158",".315",".304",".363",".461",".825",".376","100","","-14.1","-9.6","14.5","22.2","1715","1153","357","82","123","512","","470","16","","77","","66","53",".376"
"1933","Yankees","1707","5271","6066","144","927","853","76","11.5%","8.4%",".156",".292",".284",".369",".440",".809",".375","118","","-10.2","134.9","-5.1","35.4","1495","1035","241","75","144","700","","507","17","","78","","76","59",".375"
"1930","Giants","1758","5553","6161","143","959","880","59","6.8%","6.2%",".155",".323",".319",".369",".473",".842",".375","103","","11.3","42.4","79.2","30.7","1769","1279","264","83","143","422","","382","21","","165","","59","",".375"
"1925","Pirates","1676","5372","6036","78","912","820","159","8.3%","6.0%",".141",".319",".307",".369",".449",".818",".375","106","","17.4","68.2","60.1","32.0","1651","1152","316","105","78","499","","363","30","","135","","159","63",".375"
"1936","Tigers","1651","5464","6232","94","921","848","73","10.4%","7.4%",".131",".315",".300",".377",".431",".808",".375","101","","-11.2","-5.0","45.0","25.6","1638","1163","326","55","94","646","","462","34","","88","","73","49",".375"
"1920","Indians","1672","5203","6067","35","856","757","73","9.5%","6.2%",".115",".321",".303",".376",".417",".793",".374","108","","-3.0","58.5","44.3","31.8","1575","1144","301","95","35","574","","376","36","","254","","73","93",".374"
"1928","Yankees","1774","5337","6067","133","894","817","50","9.3%","9.1%",".154",".310",".295",".365",".450",".815",".374","116","","-15.4","114.0","22.1","35.0","1576","1097","267","79","133","562","","553","23","","145","","50","52",".374"
"1938","Yankees","1614","5410","6259","174","966","918","91","12.0%","9.9%",".172",".283",".274",".366",".446",".812",".374","105","","3.4","52.0","63.1","34.2","1480","960","283","63","174","749","","617","39","","61","","91","28",".374"
"1932","Athletics","1613","5535","6300","172","981","923","37","10.3%","10.0%",".167",".303",".290",".367",".457",".824",".373","111","","-4.4","87.9","64.4","36.7","1606","1079","303","52","172","650","","629","21","","94","","37","24",".373"
"1941","Red Sox","1727","5359","6179","124","865","804","67","11.1%","9.1%",".147",".298",".283",".366",".430",".796",".372","106","","-10.5","38.4","20.3","28.7","1517","1034","304","55","124","685","","564","20","","115","127","67","51",".372"
"1893","Giants","1268","4858","5418","61","941","768","299","9.3%","5.2%",".117",".302",".293",".366",".410",".776",".371","106","","12.3","71.2","27.7","25.8","1424","1080","182","101","61","504","","280","56","","","","299","",".371"
"1933","Athletics","1673","5329","6050","139","875","831","34","10.3%","10.2%",".156",".302",".285",".362",".441",".802",".371","109","","-8.3","66.6","-27.7","26.1","1519","1025","298","57","139","625","","620","16","","80","","34","34",".371"
"1898","Orioles","1439","5242","6000","12","933","757","250","8.7%","",".066","",".302",".382",".368",".750",".371","116","","7.4","137.8","56.0","39.5","1584","1341","154","77","12","519","","","160","","79","","250","",".371"
"1929","Yankees","1773","5376","6100","142","899","828","52","9.1%","8.2%",".156",".306",".296",".364",".451",".815",".371","113","","-13.8","90.1","58.5","35.0","1589","1109","264","74","142","555","","502","23","","146","","52","47",".371"
"1929","Athletics","1666","5204","5987","122","901","845","63","9.0%","7.3%",".154",".305",".295",".365",".450",".815",".371","108","","-7.8","58.5","48.1","30.7","1537","1052","288","75","122","540","","440","29","","214","","63","39",".371"
"1950","Yankees","1868","5361","6164","159","914","860","41","11.1%","7.4%",".159",".285",".282",".367",".441",".807",".371","108","","-6.0","61.8","54.2","32.7","1511","1048","234","70","159","687","","458","31","","85","122","41","28",".371"
"1934","Tigers","1669","5471","6232","74","957","872","125","10.2%","8.4%",".124",".322",".300",".376",".424",".800",".370","107","","-2.4","61.7","62.1","33.5","1643","1167","349","53","74","636","","526","24","","101","","125","55",".370"
"1893","Beaneaters","1210","4678","5285","65","1008","828","243","10.6%","5.5%",".101",".299",".290",".372",".391",".763",".370","99","","0.1","-8.7","27.9","19.5","1358","1065","178","50","65","561","","292","46","","","","243","",".370"
