"Season","Team","G","AB","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","OPS","wOBA","wRC+","EV","BsR","Off","Def","WAR","H","1B","2B","3B","HR","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA"
"1928","Indians","1716","5391","5993","34","677","619","49","6.3%","6.8%",".097",".304",".285",".336",".382",".719",".334","86","","-15.3","-122.1","9.8","10.1","1538","1144","298","62","34","376","","410","36","","190","","49","52",".334"
"1973","Orioles","1707","5537","6335","119","754","692","146","10.2%","11.9%",".123",".287",".266",".345",".389",".734",".334","111","","7.3","85.1","98.2","41.2","1474","1078","229","48","119","648","49","752","43","49","58","126","146","64",".334"
"1992","Athletics","1801","5387","6275","142","745","693","143","11.3%","13.2%",".129",".279",".258",".346",".386",".732",".334","113","","4.3","97.2","-11.9","30.5","1389","1004","219","24","142","707","46","831","49","59","72","139","143","59",".334"
"2006","Tigers","2214","5642","6198","203","822","785","60","6.9%","18.3%",".174",".310",".274",".329",".449",".777",".334","99","","-1.6","-12.2","23.4","21.8","1548","1011","294","40","203","430","27","1133","45","36","45","120","60","40",".334"
"1949","Phillies","1806","5307","5935","122","662","622","27","8.9%","11.3%",".133",".272",".254",".325",".388",".712",".334","92","","4.3","-56.8","20.4","15.6","1349","940","232","55","122","528","","670","26","","74","116","27","",".334"
"1955","Tigers","1852","5283","6070","130","775","724","41","10.5%","9.6%",".128",".276",".266",".344",".394",".739",".334","99","","4.7","-6.4","27.5","23.8","1407","1028","211","38","130","638","42","581","21","57","71","130","41","22",".334"
"1992","Orioles","1731","5485","6292","148","705","680","89","10.3%","13.1%",".138",".279",".259",".340",".398",".738",".334","107","","-2.3","43.9","-5.6","25.4","1423","996","243","36","148","647","55","827","51","59","50","139","89","48",".334"
"1999","Dodgers","2104","5567","6338","187","793","761","167","9.4%","16.3%",".154",".294",".266",".339",".420",".760",".334","97","","2.7","-22.0","48.2","22.1","1480","1017","253","23","187","594","34","1030","52","51","74","109","167","68",".334"
"1893","Colonels","1164","4566","5105","19","759","616","203","9.5%","6.0%",".083",".275",".260",".338",".343",".680",".334","88","","-1.6","-108.6","-25.7","5.9","1185","916","177","73","19","485","","306","54","","","","203","",".334"
"1955","Braves","1782","5277","5920","182","743","699","42","8.5%","12.4%",".166",".272",".261",".326",".427",".753",".334","105","","2.0","35.6","57.0","26.3","1377","921","219","55","182","504","67","735","28","39","72","113","42","27",".334"
"2002","Twins","2289","5582","6196","167","768","731","79","7.6%","17.6%",".165",".309",".272",".332",".437",".769",".334","101","","-5.6","1.0","45.0","25.7","1518","967","348","36","167","472","30","1089","56","52","34","121","79","62",".334"
"1946","Giants","1931","5191","5834","121","612","576","46","9.1%","9.4%",".118",".266",".255",".328",".374",".701",".334","96","","6.1","-18.4","28.4","19.3","1326","992","176","37","121","530","","546","27","","86","121","46","",".334"
"1993","Rangers","1759","5510","6166","181","835","780","113","7.8%","16.0%",".164",".293",".267",".329",".431",".760",".334","103","","-4.0","17.3","-12.0","20.1","1472","968","284","39","181","483","56","984","48","56","69","107","113","67",".334"
"1954","Braves","1796","5261","5921","139","670","636","54","8.0%","10.5%",".136",".276",".265",".327",".401",".728",".334","95","","2.7","-32.0","51.8","21.2","1395","998","217","41","139","471","","619","35","44","110","115","54","31",".334"
"1921","Cubs","1724","5321","5907","37","668","609","70","5.8%","6.3%",".086",".309",".292",".339",".378",".717",".334","89","","-11.2","-94.4","26.9","13.4","1553","1226","234","56","37","343","","374","35","","208","","70","97",".334"
"1938","Cubs","1706","5333","5972","65","713","673","49","8.7%","8.0%",".108",".286",".269",".338",".377",".715",".334","96","","7.6","-23.8","60.6","21.0","1435","1058","242","70","65","522","","476","29","","88","157","49","",".334"
"1908","Giants","1647","5006","5826","20","652","562","181","8.5%","",".066","",".267",".342",".333",".675",".334","115","","-4.9","85.4","21.8","34.3","1339","1094","182","43","20","494","","","76","","250","","181","",".334"
"1890","Maumees","1229","4575","5132","24","739","512","421","9.5%","",".096","",".252",".333",".348",".681",".334","99","","29.3","20.8","26.5","18.9","1152","868","152","108","24","486","","","71","","","","421","",".334"
"2006","Mets","2279","5558","6291","200","834","800","146","8.7%","17.0%",".181",".293",".264",".334",".445",".780",".334","99","","20.5","13.8","66.4","28.1","1469","905","323","41","200","547","63","1071","62","47","77","114","146","35",".334"
"1997","White Sox","2014","5491","6201","158","779","740","106","9.2%","14.5%",".144",".298",".273",".341",".417",".758",".334","100","","-0.8","1.1","-43.1","17.2","1498","1052","260","28","158","569","40","901","33","60","47","133","106","52",".334"
"1958","Cubs","2035","5289","5902","182","709","666","39","8.3%","14.5%",".161",".284",".265",".330",".426",".756",".334","99","","2.2","-7.7","33.4","22.2","1402","964","207","49","182","487","50","853","45","39","42","128","39","23",".334"
"1931","Robins","1726","5309","5814","71","681","633","45","7.0%","8.8%",".114",".295",".276",".331",".390",".721",".334","94","","7.8","-34.4","9.8","15.5","1464","1076","240","77","71","409","","512","27","","69","","45","",".334"
"1928","Phillies","1845","5234","5917","85","660","607","52","8.5%","8.6%",".116",".283",".267",".333",".382",".716",".334","79","","7.5","-155.1","-18.9","1.1","1396","1007","257","47","85","503","","510","21","","159","","52","",".334"
"2004","Angels","2217","5675","6296","162","836","783","143","7.1%","15.0%",".147",".312",".282",".341",".429",".770",".334","103","","2.2","23.8","1.4","23.4","1603","1132","272","37","162","450","43","942","73","41","56","123","143","46",".334"
"1944","Indians","1858","5481","6119","70","643","615","48","8.4%","9.7%",".106",".288",".266",".331",".372",".703",".334","105","","-10.0","27.8","42.8","28.7","1458","1068","270","50","70","512","","594","19","","107","134","48","42",".334"
"1958","Yankees","1821","5294","5971","164","759","717","48","9.0%","13.7%",".148",".288",".268",".336",".416",".751",".334","111","","0.6","73.7","93.2","36.7","1418","1003","212","39","164","537","39","818","26","42","72","107","48","32",".334"
"2010","Blue Jays","2206","5495","6072","257","755","732","58","7.8%","19.2%",".206",".269",".248",".312",".454",".766",".334","105","","-12.3","24.8","-9.9","23.7","1364","767","319","21","257","471","25","1164","55","34","16","114","58","20",".334"
"1897","Browns","1243","4642","5149","31","588","484","172","6.9%","",".081","",".275",".336",".356",".692",".333","83","","-8.5","-149.4","-51.9","-0.3","1277","1030","149","67","31","354","","","73","","80","","172","",".333"
"1914","Chi-Feds","1681","5098","5826","52","621","544","171","8.9%","10.6%",".095",".285",".258",".331",".352",".684",".333","101","","16.4","24.5","71.9","30.9","1314","985","227","50","52","520","","620","41","","167","","171","",".333"
"1970","Cubs","1954","5491","6229","179","806","761","39","9.7%","13.5%",".155",".276",".259",".333",".415",".748",".333","90","","3.4","-77.6","30.1","17.1","1424","973","228","44","179","607","65","844","20","36","75","110","39","16",".333"
"1987","Mariners","1712","5508","6145","161","760","717","174","8.1%","14.0%",".156",".295",".272",".335",".428",".763",".333","99","","1.1","-9.0","-37.0","16.1","1499","1008","282","48","161","500","19","863","43","50","38","133","174","73",".333"
"1994","Braves","1531","3861","4349","137","542","510","48","8.7%","15.4%",".167",".290",".267",".333",".434",".767",".333","97","","-3.9","-21.6","59.5","17.9","1031","678","198","18","137","377","39","668","22","29","60","104","48","31",".333"
"1973","Twins","1735","5625","6331","120","738","688","87","9.4%","15.1%",".122",".305",".270",".342",".393",".735",".333","103","","2.5","26.4","-36.8","21.4","1521","1117","240","44","120","598","49","954","34","40","34","150","87","46",".333"
"2016","Cubs","2332","5503","6335","199","808","767","66","10.4%","21.1%",".173",".302",".256",".343",".429",".772",".333","106","88.1","17.3","61.5","104.8","37.1","1409","887","293","30","199","656","45","1339","96","37","42","108","66","34",".333"
"1910","Athletics","1558","5154","5809","19","670","541","207","7.0%","",".089","",".266",".326",".355",".681",".333","115","","0.6","89.9","66.8","36.1","1373","1058","191","105","19","409","","","47","","199","","207","",".333"
"1984","Yankees","1749","5661","6356","130","758","725","62","8.4%","10.6%",".129",".291",".276",".339",".404",".743",".333","108","","-3.1","58.7","-56.5","21.6","1560","1123","275","32","130","534","41","673","38","59","64","147","62","38",".333"
"1950","Senators","1777","5251","6029","76","690","659","42","11.1%","10.0%",".100",".282",".260",".347",".360",".707",".333","84","","-4.5","-141.3","9.9","8.2","1365","1046","190","53","76","672","","605","32","","74","134","42","25",".333"
"2006","Rockies","2306","5562","6348","157","813","761","85","8.8%","17.5%",".163",".310",".270",".341",".433",".774",".333","87","","-2.7","-111.8","39.3","13.5","1504","968","325","54","157","561","64","1108","60","45","119","119","85","50",".333"
"2000","Pirates","2202","5643","6369","168","793","749","86","8.9%","16.2%",".157",".299",".267",".339",".424",".762",".333","91","","-0.4","-82.8","-14.3","10.6","1506","987","320","31","168","564","41","1032","66","37","59","133","86","40",".333"
"1980","Rangers","1953","5690","6320","124","756","720","91","7.6%","9.3%",".121",".296",".284",".339",".405",".744",".333","107","","-2.1","48.8","-106.2","16.4","1616","1202","263","27","124","480","51","589","23","56","70","157","91","49",".333"
"1940","Athletics","1754","5304","5948","105","703","648","48","9.3%","11.0%",".125",".283",".262",".334",".387",".722",".333","86","","-7.5","-122.6","-13.7","7.6","1391","991","242","53","105","556","","655","19","","69","127","48","33",".333"
"1990","Blue Jays","1679","5589","6223","167","767","729","111","8.5%","15.6%",".155",".291",".265",".328",".419",".747",".333","107","","-0.7","49.5","8.4","26.5","1479","999","263","50","167","526","35","970","28","62","18","125","111","52",".333"
"2003","Astros","2390","5583","6320","191","805","763","66","8.8%","16.2%",".169",".289",".263",".336",".431",".767",".333","97","","10.9","-16.0","76.6","26.4","1466","937","308","30","191","557","44","1021","81","38","61","125","66","30",".333"
"1999","Devil Rays","1833","5586","6272","145","772","728","73","8.7%","16.6%",".137",".312",".274",".343",".411",".754",".333","92","","-7.5","-75.1","-71.2","6.8","1531","1085","272","29","145","544","24","1042","64","48","30","157","73","49",".333"
"1911","Reds","1742","5291","6089","21","682","595","290","9.5%","9.8%",".086",".290",".261",".337",".346",".684",".333","94","","13.0","-31.0","17.2","18.9","1379","1073","180","105","21","578","","594","35","","185","","290","",".333"
"2009","Indians","2188","5568","6320","161","773","730","84","9.2%","19.2%",".153",".308",".264",".339",".417",".756",".333","100","","-1.1","-0.4","-75.7","14.5","1468","965","314","28","161","582","20","1211","81","50","39","140","84","31",".333"
"1911","Phillies","1601","5044","5751","60","658","564","153","8.5%","10.2%",".100",".284",".259",".328",".359",".688",".333","89","","-9.4","-86.9","34.5","13.8","1307","977","214","56","60","490","","588","31","","186","","153","",".333"
"2010","Rockies","2379","5530","6265","173","770","741","99","9.3%","20.3%",".162",".310",".263",".336",".425",".760",".333","90","","9.3","-62.4","2.5","13.4","1452","955","270","54","173","585","53","1274","47","47","56","103","99","42",".333"
"1949","White Sox","1796","5204","6003","43","648","591","62","11.7%","9.9%",".090",".284",".257",".347",".347",".695",".333","87","","-12.1","-111.9","57.7","14.9","1340","1024","207","66","43","702","","593","13","","84","136","62","55",".333"
"1973","Giants","2077","5537","6274","161","739","684","112","9.4%","14.6%",".144",".287",".262",".335",".407",".742",".333","102","","4.9","21.0","26.3","25.8","1452","1027","212","52","161","590","82","913","35","37","75","113","112","52",".333"
"1996","Braves","2227","5614","6293","197","773","735","83","8.4%","16.4%",".162",".297",".270",".333",".432",".765",".333","99","","-4.2","-12.5","80.4","25.0","1514","1025","264","28","197","530","41","1032","27","50","69","144","83","43",".333"
"1903","Superbas","1330","4534","5233","15","666","539","273","10.0%","",".074","",".265",".348",".339",".686",".333","99","","15.4","6.6","16.4","22.1","1201","953","177","56","15","522","","","53","","124","","273","",".333"
"1944","Giants","1885","5306","5952","93","682","644","39","8.6%","8.1%",".106",".276",".263",".330",".370",".700",".333","95","","4.4","-31.1","27.4","18.8","1398","1067","191","47","93","511","","480","20","","115","121","39","",".333"
"1933","Pirates","1707","5429","5962","39","667","618","34","6.1%","5.6%",".098",".298",".285",".333",".383",".716",".333","103","","5.7","24.5","35.4","24.2","1548","1176","249","84","39","366","","334","20","","147","106","34","",".333"
"1943","Cubs","1783","5279","5972","52","631","580","53","9.6%","8.9%",".090",".283",".261",".336",".351",".688",".333","101","","8.0","17.0","9.1","22.3","1380","1065","207","56","52","575","","530","21","","97","117","53","",".333"
"1978","Dodgers","2045","5437","6225","149","727","686","137","9.8%","13.1%",".138",".285",".264",".338",".402",".740",".333","108","","8.2","64.4","44.1","33.4","1435","1008","251","27","149","610","76","818","20","47","111","101","137","52",".333"
"1976","Red Sox","1793","5511","6154","134","716","664","95","8.1%","13.5%",".139",".285",".263",".324",".402",".726",".333","104","","-8.5","14.6","2.2","22.3","1448","1004","257","53","134","500","35","832","29","59","55","127","95","70",".333"
"2010","Rangers","2312","5635","6302","162","787","740","123","8.1%","15.6%",".143",".307",".276",".338",".419",".757",".333","98","","4.5","-7.4","-4.1","21.8","1556","1101","268","25","162","511","37","986","45","54","53","129","123","48",".333"
"1905","Reds","1501","5205","5865","27","736","611","181","7.4%","",".085","",".269",".332",".354",".686",".333","98","","-4.6","-21.2","0.1","20.2","1401","1113","160","101","27","434","","","52","","174","","181","",".333"
"1983","Brewers","1655","5620","6240","132","764","732","101","7.6%","10.7%",".141",".292",".277",".333",".418",".751",".333","109","","-0.1","65.3","-35.8","24.5","1556","1086","281","57","132","475","51","665","27","57","61","135","101","49",".333"
"2020","Red Sox","884","2083","2304","81","292","278","31","8.1%","23.7%",".180",".321",".265",".330",".445",".775",".333","106","88.5","-0.5","16.9","-5.6","7.0","552","346","118","7","81","187","8","545","21","9","4","51","31","9",".333"
"2008","Orioles","2340","5559","6211","172","782","750","81","8.6%","15.9%",".162",".296",".267",".333",".429",".762",".333","98","","-5.1","-17.1","-7.7","19.0","1486","962","322","30","172","533","37","990","42","48","27","111","81","37",".333"
"1906","Naps","1531","5425","5987","12","664","548","203","5.5%","",".078","",".279",".325",".357",".682",".333","113","","-0.5","77.6","78.8","39.2","1514","1189","240","73","12","330","","","41","","191","","203","",".333"
"2007","Mariners","2338","5684","6209","153","794","754","81","6.3%","13.9%",".138",".313",".287",".337",".425",".762",".333","103","","-9.6","10.4","-68.4","15.3","1629","1170","284","22","153","389","32","861","62","40","33","154","81","30",".333"
"1941","Pirates","1847","5297","5952","56","690","634","59","9.2%","8.7%",".100",".288",".268",".338",".368",".705",".333","98","","9.0","-6.4","45.3","22.0","1417","1063","233","65","56","545","","516","15","","95","119","59","",".333"
"1991","Red Sox","1731","5530","6259","126","731","691","59","9.5%","13.1%",".133",".293",".269",".340",".401",".741",".333","100","","-3.8","-1.0","13.6","22.1","1486","1030","305","25","126","593","49","820","32","51","50","144","59","39",".333"
"1960","White Sox","1948","5191","5966","112","741","684","122","9.5%","10.9%",".126",".287",".270",".345",".396",".741",".333","103","","7.6","29.6","76.1","28.9","1402","1010","242","38","112","567","36","648","54","59","95","133","122","48",".333"
"1914","Packers","1634","5127","5711","39","644","557","171","7.0%","10.6%",".097",".297",".267",".324",".364",".688",".333","97","","17.4","0.0","7.2","21.1","1369","1027","226","77","39","399","","607","36","","149","","171","",".333"
"1872","Red Stockings","435","2122","2151","7","521","343","47","1.3%","1.2%",".088",".318",".317",".326",".405",".731",".333","113","","4.2","65.7","55.4","16.4","672","529","106","30","7","29","","26","","","","","47","14",".333"
"1986","Twins","1822","5531","6151","196","741","700","81","8.1%","15.9%",".167",".284",".261",".325",".428",".753",".333","100","","-8.7","-8.4","-45.8","15.5","1446","954","257","39","196","501","33","977","37","38","44","123","81","61",".333"
"1910","Cardinals","1620","4912","5798","15","637","527","179","11.3%","10.0%",".072",".278",".248",".345",".319",".665",".333","97","","-10.0","-27.7","-22.0","16.7","1217","965","167","70","15","655","","581","78","","153","","179","",".333"
"1927","Phillies","1711","5317","5956","57","678","617","68","7.3%","8.1%",".090",".299",".280",".337",".370",".707",".333","80","","9.3","-138.7","-32.1","1.9","1487","1168","216","46","57","434","","482","28","","177","","68","",".333"
"1899","Senators","1503","5256","5783","47","743","613","176","6.1%","",".091","",".272",".328",".363",".690",".333","88","","-6.7","-110.7","-71.5","3.2","1429","1133","162","87","47","350","","","87","","90","","176","",".333"
"1987","Rangers","1881","5564","6248","194","823","772","120","9.1%","17.3%",".165",".296",".266",".333",".430",".764",".333","99","","-8.8","-17.8","-49.7","14.3","1478","985","264","35","194","567","34","1081","24","51","42","116","120","71",".333"
"1914","Tigers","1718","5102","5909","25","615","513","211","9.4%","9.1%",".086",".285",".258",".336",".344",".681",".333","102","","-32.4","-16.7","36.6","26.9","1318","1014","195","84","25","557","","537","44","","206","","211","154",".333"
"2018","Dodgers","2574","5572","6358","235","804","756","75","10.2%","22.6%",".191",".294",".250",".333",".442",".774",".333","111","89.2","11.4","98.7","38.3","34.8","1394","830","296","33","235","647","47","1436","61","39","39","119","75","24",".333"
"1977","Rangers","1775","5541","6342","135","767","704","154","9.4%","14.3%",".135",".299",".270",".342",".405",".748",".333","104","","1.2","33.6","41.0","29.3","1497","1058","265","39","135","596","47","904","39","50","116","122","154","85",".333"
"1993","White Sox","1693","5483","6253","162","776","731","106","9.7%","13.3%",".146",".284",".265",".338",".411",".750",".333","104","","-1.1","26.9","41.3","26.7","1454","1020","228","44","162","604","52","834","33","61","72","125","106","57",".333"
"2007","Angels","2230","5554","6198","123","822","776","139","8.2%","14.2%",".133",".315",".284",".345",".417",".762",".333","100","","3.7","5.1","2.0","21.6","1578","1108","324","23","123","507","55","883","40","65","32","146","139","55",".333"
"1898","Giants","1456","5349","5907","34","837","712","214","7.2%","",".087","",".266",".328",".353",".681",".333","97","","8.9","-15.5","-5.4","18.8","1422","1112","190","86","34","428","","","69","","61","","214","",".333"
"1977","Dodgers","2176","5590","6328","191","769","729","114","9.3%","14.2%",".152",".284",".265",".335",".418",".753",".332","104","","2.3","29.6","50.6","29.1","1484","1042","223","28","191","588","67","896","23","44","82","103","114","62",".332"
"1952","Athletics","1760","5163","5975","89","664","632","52","11.4%","9.3%",".106",".269",".253",".343",".359",".702",".332","94","","-0.2","-45.4","20.6","17.4","1305","969","212","35","89","683","","558","27","","102","152","52","43",".332"
"1957","Red Sox","1878","5267","5993","153","721","695","29","10.4%","12.3%",".143",".278",".262",".341",".405",".746",".332","96","","1.9","-24.2","57.7","22.5","1380","964","231","32","153","622","55","736","25","38","41","154","29","21",".332"
"1898","Senators","1472","5257","5785","36","704","591","197","6.4%","",".085","",".271",".327",".355",".682",".332","93","","6.3","-45.5","-66.3","9.5","1423","1130","177","80","36","370","","","70","","88","","197","",".332"
"1979","Twins","1891","5544","6297","112","764","714","66","8.4%","11.0%",".123",".299",".278",".341",".402",".743",".332","98","","-2.9","-19.3","-27.9","16.4","1544","1130","256","46","112","526","37","693","31","53","142","116","66","45",".332"
"1958","Giants","2122","5318","5996","170","727","682","64","8.9%","13.6%",".159",".281",".263",".331",".422",".753",".332","100","","4.8","2.6","29.7","23.2","1399","937","250","42","170","531","54","817","34","45","68","119","64","29",".332"
"1923","Athletics","1693","5196","5863","53","662","577","72","7.7%","8.9%",".099",".293",".271",".334",".370",".704",".332","82","","1.2","-134.5","16.1","7.2","1407","1061","229","64","53","452","","523","44","","171","","72","62",".332"
"2017","Rockies","2374","5534","6201","192","824","793","59","8.4%","22.7%",".171",".332",".273",".338",".444",".781",".332","88","86.8","-6.4","-105.8","39.9","13.7","1510","987","293","38","192","519","46","1408","44","41","62","143","59","34",".332"
"1936","Athletics","1686","5373","5991","72","714","663","59","8.8%","9.9%",".107",".291",".269",".336",".376",".712",".332","76","","-10.8","-231.9","30.8","2.5","1443","1071","240","60","72","525","","592","19","","74","","59","43",".332"
"1975","Twins","1925","5514","6225","121","724","669","81","9.0%","12.0%",".115",".293",".271",".341",".386",".727",".332","103","","-1.3","22.3","-17.6","21.7","1497","1133","215","28","121","563","67","746","40","46","62","126","81","48",".332"
"2001","Red Sox","2035","5605","6264","198","772","739","46","8.3%","18.1%",".173",".300",".266",".334",".439",".773",".332","100","","-6.3","-3.9","-67.4","14.2","1493","950","316","29","198","520","50","1131","70","41","28","132","46","35",".332"
"1942","Giants","1736","5210","5881","109","675","632","39","9.5%","8.6%",".107",".264",".254",".330",".361",".691",".332","100","","4.9","7.0","54.8","24.4","1323","1017","162","35","109","557","","507","34","","80","140","39","",".332"
"1900","Pirates","1349","4817","5317","26","733","602","174","6.2%","",".096","",".272",".327",".368",".695",".332","92","","-3.7","-64.8","49.2","17.5","1312","1001","185","100","26","327","","","63","","110","","174","",".332"
"1955","Phillies","1820","5092","5864","132","675","631","44","11.1%","11.5%",".139",".270",".255",".340",".395",".735",".332","99","","0.8","-10.7","75.0","23.2","1300","904","214","50","132","652","39","673","24","43","53","139","44","32",".332"
"2003","Phillies","2227","5543","6333","166","791","757","72","10.3%","18.2%",".158",".301",".261",".343",".419",".762",".332","100","","1.2","1.3","59.1","26.4","1448","930","325","27","166","651","56","1155","55","38","46","120","72","29",".332"
"1990","Red Sox","1694","5516","6234","106","699","660","53","9.6%","12.8%",".123",".300",".272",".344",".395",".739",".332","102","","-12.5","2.7","-55.0","15.2","1502","1067","298","31","106","598","59","795","28","44","48","174","53","52",".332"
"1975","Athletics","2238","5415","6185","151","758","703","183","9.8%","13.7%",".136",".275",".254",".333",".391",".724",".332","111","","5.9","81.3","20.4","31.6","1376","972","220","33","151","609","45","846","51","35","74","106","183","82",".332"
"1983","Red Sox","1700","5590","6251","142","724","690","30","8.6%","12.1%",".139",".289",".270",".335",".409",".744",".332","99","","-5.2","-10.2","-33.2","16.9","1512","1051","287","32","142","536","44","758","28","48","49","171","30","26",".332"
"2008","Mets","2405","5606","6388","172","799","751","138","9.7%","16.0%",".154",".296",".266",".340",".420",".761",".332","100","","12.7","13.3","72.0","28.9","1491","1007","274","38","172","619","71","1024","39","49","73","129","138","36",".332"
"2019","Braves","2411","5560","6302","249","855","824","89","9.8%","23.3%",".195",".305",".258",".336",".452",".789",".332","102","89.2","11.0","26.2","46.2","26.9","1432","877","277","29","249","619","39","1467","60","35","25","104","89","28",".332"
"2001","Twins","1791","5560","6185","164","771","717","146","8.0%","17.5%",".161",".310",".272",".337",".433",".770",".332","99","","-0.2","-5.3","13.0","21.8","1514","984","328","38","164","495","42","1083","64","38","25","124","146","67",".332"
"1921","Phillies","1676","5329","5760","88","617","573","66","5.1%","10.7%",".113",".308",".284",".324",".397",".721",".332","77","","-6.1","-174.2","-9.9","1.5","1512","1136","238","50","88","294","","615","25","","112","","66","80",".332"
"1978","Tigers","1672","5601","6299","129","714","666","90","8.9%","11.0%",".120",".288",".271",".339",".392",".730",".332","103","","4.2","27.8","-0.6","24.5","1520","1139","218","34","129","563","32","695","31","47","57","145","90","38",".332"
"1955","White Sox","1960","5220","6000","116","725","677","69","9.5%","9.9%",".120",".282",".268",".344",".388",".732",".332","97","","0.8","-20.3","70.7","26.5","1401","1045","204","36","116","568","40","594","58","43","111","117","69","45",".332"
"1981","Phillies","1480","3665","4143","69","491","453","103","9.0%","10.4%",".115",".291",".273",".341",".389",".730",".332","107","","3.7","34.8","-10.2","17.7","1002","743","165","25","69","372","42","432","23","37","44","78","103","46",".332"
"1912","Naps","1624","5132","5797","12","680","561","194","7.0%","",".080","",".273",".333",".353",".686",".332","93","","-2.8","-51.5","18.8","16.3","1403","1095","219","77","12","407","","","51","","207","","194","",".332"
"2006","Reds","2335","5515","6296","217","749","718","124","9.8%","18.9%",".175",".290",".257",".336",".432",".768",".332","94","","16.4","-36.6","31.1","19.8","1419","899","291","12","217","614","52","1192","59","38","66","122","124","33",".332"
"1920","Red Sox","1644","5189","5980","22","650","570","98","8.8%","7.2%",".082",".290",".269",".342",".351",".693",".332","89","","-5.8","-88.8","48.9","16.5","1397","1088","216","71","22","527","","428","45","","219","","98","110",".332"
"1936","Reds","1849","5393","5904","82","722","674","68","6.9%","9.9%",".114",".295",".274",".329",".388",".717",".332","94","","11.1","-31.5","23.1","17.7","1476","1097","224","73","82","410","","584","34","","67","121","68","",".332"
"1975","Royals","1776","5491","6231","118","710","667","155","9.5%","10.8%",".133",".276",".261",".333",".394",".727",".332","103","","3.0","21.9","-8.6","22.6","1431","992","263","58","118","591","47","675","29","51","68","110","155","75",".332"
"2009","Marlins","2394","5572","6312","159","772","727","75","9.0%","19.4%",".148",".316",".268",".340",".416",".756",".332","98","","4.5","-16.3","12.0","19.3","1493","1013","296","25","159","568","46","1226","63","39","70","110","75","35",".332"
"1962","Reds","1990","5645","6273","167","802","745","66","7.9%","14.4%",".148",".294",".270",".332",".417",".749",".332","98","","-1.9","-16.9","31.4","23.3","1523","1064","252","40","167","498","62","903","41","32","57","114","66","39",".332"
"1932","Pirates","1695","5421","5906","48","701","653","71","6.1%","6.5%",".110",".300",".285",".333",".395",".727",".332","95","","13.1","-25.8","40.0","19.7","1543","1131","274","90","48","358","","385","31","","96","","71","",".332"
"1952","Phillies","1709","5205","5874","93","657","606","60","9.2%","9.1%",".116",".275",".260",".332",".376",".708",".332","98","","1.7","-11.7","56.5","25.1","1353","978","237","45","93","540","","534","22","","107","115","60","41",".332"
"1921","Pirates","1578","5379","5946","37","692","623","134","5.7%","6.2%",".102",".301",".285",".330",".387",".718",".332","88","","2.5","-86.5","63.3","17.9","1533","1161","231","104","37","341","","371","23","","203","","134","93",".332"
"1987","Athletics","1786","5511","6238","199","806","761","140","9.5%","16.9%",".168",".286",".260",".333",".428",".761",".332","105","","-1.4","40.5","-42.8","20.7","1432","937","263","33","199","593","39","1056","36","48","50","113","140","63",".332"
"2003","Royals","2217","5568","6239","162","836","781","120","7.6%","14.8%",".153",".301",".274",".336",".427",".763",".332","95","","7.3","-30.3","-57.8","12.5","1526","1037","288","39","162","476","32","926","75","57","63","128","120","42",".332"
"2008","Braves","2407","5604","6368","130","753","721","58","9.7%","16.1%",".138",".309",".270",".345",".408",".753",".332","99","","-5.8","-12.7","54.2","24.5","1514","1035","316","33","130","618","56","1023","42","34","69","143","58","27",".332"
"1911","Cardinals","1680","5132","5970","26","671","567","175","9.9%","10.9%",".087",".285",".252",".337",".340",".677",".332","92","","-8.8","-69.5","68.2","19.7","1295","984","199","86","26","592","","650","65","","181","","175","",".332"
"1910","Tigers","1582","5039","5746","28","679","548","249","8.0%","",".083","",".261",".329",".344",".674",".332","106","","8.3","45.7","17.3","25.9","1317","1027","190","72","28","459","","","51","","197","","249","",".332"
"2000","Diamondbacks","2103","5527","6241","179","792","756","97","8.6%","15.6%",".164",".290",".265",".333",".429",".763",".332","88","","-0.1","-103.0","59.2","15.6","1466","961","282","44","179","535","37","975","59","58","61","114","97","44",".332"
"1988","Athletics","1870","5602","6356","156","800","752","129","9.1%","14.6%",".136",".288",".263",".336",".399",".736",".332","113","","0.0","92.3","-6.3","31.4","1474","1045","251","22","156","580","29","926","65","55","54","142","129","54",".332"
"1964","Braves","2097","5591","6206","159","803","755","53","7.8%","13.3%",".146",".293",".272",".333",".418",".751",".332","112","","-3.0","83.1","24.4","35.0","1522","1057","274","32","159","486","54","825","38","37","54","134","53","41",".332"
"1903","Americans","1337","4919","5365","48","708","609","141","4.9%","",".120","",".272",".313",".392",".705",".332","108","","-3.9","49.8","59.4","29.5","1336","953","222","113","48","262","","","36","","148","","141","",".332"
"2010","White Sox","2212","5484","6118","177","752","710","160","7.6%","15.1%",".152",".292",".268",".332",".420",".752",".332","100","","-8.1","-8.0","-56.3","15.7","1467","1006","263","21","177","467","23","922","79","38","50","148","160","74",".332"
"2009","Dodgers","2352","5592","6385","145","780","739","116","9.5%","16.7%",".141",".309",".270",".346",".412",".758",".332","102","","4.0","19.0","55.4","27.4","1511","1049","278","39","145","607","76","1068","63","44","78","141","116","48",".332"
"1976","Twins","1763","5574","6307","81","743","691","146","8.7%","11.3%",".102",".299",".274",".341",".375",".716",".332","111","","-0.4","70.0","-6.8","28.1","1526","1172","222","51","81","550","39","714","41","49","93","121","146","75",".332"
