"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR","TBF","H","R","ER","HR","BB","IBB","HBP","SO","Pitches","Pitches","AVG","WHIP","RA9-WAR"
"1968","Yankees","83","79","27","368","164","1467.1","5.10","2.60","0.61",".260","75.8%","","","","2.79","3.06","","13.0","6032","1308","531","455","99","424","62","30","831","","",".234","1.18","15.1"
"1915","Rebels","86","67","12","244","156","1382.1","3.37","2.87","0.24",".268","72.1%","","","","2.79","2.97","","11.4","","1273","524","429","37","441","","31","517","","",".246","1.24","21.0"
"1908","Doves","63","91","1","233","156","1404.2","2.67","2.71","0.19",".258","65.5%","","","","2.79","2.68","","10.5","","1262","627","436","29","423","","57","416","","",".242","1.20","3.4"
"1879","Trojans","19","56","0","79","77","695.0","2.72","0.61","0.17",".321","39.6%","","","","2.80","2.58","","6.6","","840","543","216","13","47","","","210","","",".300","1.28","-4.1"
"1882","Red Caps","45","39","0","89","85","749.0","4.23","0.93","0.12",".293","50.1%","","","","2.80","2.31","","9.8","","738","414","233","10","77","","","352","","",".259","1.09","8.5"
"1920","Giants","86","68","9","258","155","1408.2","2.43","1.90","0.28",".266","70.5%","","","","2.80","3.29","","12.2","5762","1379","543","439","44","297","","19","380","","",".253","1.19","19.9"
"1918","Robins","57","69","2","177","126","1131.2","3.14","2.54","0.17",".260","68.1%","","","","2.81","2.71","","11.8","4612","1024","459","353","22","320","","28","395","","",".240","1.19","11.6"
"1965","Dodgers","97","65","34","364","162","1476.0","6.58","2.59","0.77",".252","77.2%","","","","2.81","3.10","","15.6","6018","1223","521","461","127","425","53","33","1079","","",".220","1.12","25.9"
"1905","Phillies","83","69","5","197","155","1398.2","3.32","2.64","0.14",".272","67.2%","","","","2.81","2.86","","10.6","","1303","603","437","21","411","","66","516","","",".248","1.23","16.4"
"1875","Westerns","1","12","0","13","13","112.0","0.80","1.13","0.00",".265","29.0%","","","","2.81","2.57","","1.3","","110","88","35","0","14","","","10","","",".258","1.11","0.3"
"1972","Pirates","96","59","48","360","155","1414.1","5.33","2.76","0.57",".268","76.1%","","","","2.81","3.02","","18.2","5845","1282","512","442","90","433","60","29","838","","",".238","1.21","23.6"
"1914","Yankees","70","84","5","240","157","1397.1","3.63","2.51","0.19",".270","69.3%","","","","2.81","2.75","","14.6","","1277","550","437","30","390","","32","563","","",".245","1.19","16.9"
"1914","Robins","75","79","11","253","154","1368.1","3.98","3.07","0.24",".277","67.7%","","","","2.82","2.92","","13.7","","1282","612","428","36","466","","40","605","","",".249","1.28","11.6"
"1942","Reds","76","76","8","269","154","1411.2","3.93","3.35","0.30",".248","71.7%","","","","2.82","3.14","","17.4","5906","1213","545","442","47","526","","20","616","","",".226","1.23","19.6"
"1902","Giants","48","88","1","160","139","1226.1","3.68","2.44","0.12",".285","63.6%","","","","2.82","2.83","","10.7","","1193","589","384","16","332","","54","501","","",".256","1.24","6.6"
"1919","Yankees","80","59","7","231","141","1287.0","3.50","3.03","0.33",".259","71.2%","","","","2.82","3.28","","11.2","5255","1143","512","403","47","433","","37","500","","",".239","1.22","20.8"
"1915","Packers","81","72","11","228","153","1359.0","3.48","2.58","0.19",".263","68.0%","","","","2.82","2.77","","13.8","","1210","551","426","29","390","","35","526","","",".240","1.18","15.7"
"1910","Tigers","86","68","5","219","155","1380.1","3.47","3.00","0.22",".267","69.2%","","","","2.82","2.87","","8.8","","1257","582","433","34","460","","67","532","","",".244","1.24","13.4"
"1886","Alleghenys","80","57","1","143","140","1226.0","3.78","2.19","0.07",".276","56.3%","","","","2.83","3.10","","11.1","","1130","647","385","10","299","","34","515","","",".246","1.17","21.3"
"1904","Browns","65","87","1","178","156","1410.0","3.68","2.13","0.16",".278","66.4%","","","","2.83","2.54","","8.5","","1335","604","443","25","333","","62","577","","",".251","1.18","6.4"
"1898","Orphans","85","64","0","167","152","1342.2","2.17","2.44","0.11",".279","63.2%","","","","2.83","3.26","","15.1","","1357","679","422","17","364","","82","323","","",".264","1.28","21.7"
"1905","Tigers","79","74","1","185","154","1348.0","3.86","3.16","0.07",".274","65.9%","","","","2.83","2.83","","9.5","","1226","608","424","11","474","","51","578","","",".244","1.26","7.7"
"1910","Pirates","86","67","12","254","154","1376.0","3.13","2.56","0.13",".266","67.3%","","","","2.83","2.67","","15.1","","1254","576","433","20","392","","57","479","","",".244","1.20","16.8"
"1969","Orioles","109","53","36","397","162","1473.2","5.48","3.04","0.71",".243","77.2%","","","","2.83","3.38","","20.5","5972","1194","517","464","117","498","55","22","897","","",".219","1.15","30.8"
"1911","Pirates","85","69","11","239","155","1380.1","3.94","2.45","0.23",".270","68.3%","","","","2.84","3.04","","19.4","","1249","561","435","36","375","","39","605","","",".243","1.18","25.9"
"1881","Bisons","45","38","0","95","83","742.1","2.24","1.08","0.11",".314","54.6%","","","","2.84","2.71","","8.1","","881","447","234","9","89","","","185","","",".296","1.31","5.6"
"1905","Americans","78","74","1","183","153","1356.1","4.33","1.94","0.22",".269","65.2%","","","","2.84","2.52","","17.1","","1198","564","428","33","292","","44","652","","",".239","1.10","14.7"
"1915","Reds","71","83","12","273","160","1432.1","3.59","3.12","0.18",".269","69.8%","","","","2.84","2.90","","10.9","","1304","585","452","28","497","","46","572","","",".244","1.26","14.3"
"1942","Dodgers","104","50","24","320","155","1398.2","3.94","3.17","0.47",".246","74.8%","","","","2.84","3.35","","16.3","5814","1205","512","442","73","493","","33","612","","",".228","1.21","25.2"
"1905","Naps","76","78","0","170","155","1363.1","3.66","2.20","0.15",".272","65.7%","","","","2.85","2.66","","10.8","","1251","587","431","23","334","","64","555","","",".246","1.16","9.3"
"1914","Browns","71","82","11","272","159","1410.2","3.53","3.45","0.13",".273","68.7%","","","","2.85","2.98","","6.7","","1309","614","446","20","540","","49","553","","",".248","1.31","7.1"
"1912","Pirates","93","58","7","228","152","1385.0","4.31","3.23","0.18",".277","70.3%","","","","2.85","3.23","","15.0","","1268","565","439","28","497","","45","664","","",".245","1.27","27.8"
"1963","Dodgers","99","63","29","372","163","1469.2","6.71","2.46","0.68",".274","75.5%","","","","2.85","2.86","","17.7","6083","1329","550","466","111","402","74","33","1095","","",".235","1.18","18.6"
"1886","Wolverines","87","36","0","130","126","1103.2","4.83","2.20","0.16",".279","58.8%","","","","2.85","3.00","","14.6","","995","538","350","20","270","","0","592","","",".242","1.15","23.1"
"1914","Tigers","80","73","12","274","157","1412.0","3.61","3.17","0.11",".271","67.4%","","","","2.86","2.85","","12.0","","1285","618","448","17","498","","65","567","","",".244","1.26","10.0"
"1972","Twins","77","77","34","357","154","1399.1","5.39","2.86","0.68",".250","74.5%","","","","2.86","3.21","","15.2","5750","1188","535","444","105","444","42","37","838","","",".225","1.17","15.9"
"1892","Beaneaters","102","48","1","163","152","1336.0","3.43","3.10","0.28",".255","62.3%","","","","2.86","3.20","","16.8","","1156","649","424","41","460","","10","509","","",".235","1.21","27.6"
"1915","Tigers","100","54","19","265","156","1413.1","3.50","3.13","0.09",".266","67.7%","","","","2.86","2.80","","16.2","","1259","597","449","14","492","","57","550","","",".240","1.24","18.0"
"1905","Pirates","96","57","6","202","155","1382.2","3.33","2.53","0.08",".271","67.5%","","","","2.86","2.74","","15.6","","1270","569","440","12","389","","59","512","","",".246","1.20","21.6"
"1886","Giants","75","44","1","129","124","1062.0","4.98","2.37","0.19",".295","58.8%","","","","2.86","3.07","","11.1","","1029","558","338","23","280","","0","588","","",".256","1.23","15.9"
"1915","Cardinals","72","81","9","260","158","1400.2","3.46","2.58","0.19",".274","67.4%","","","","2.87","2.78","","12.4","","1320","601","446","30","402","","36","538","","",".250","1.23","9.1"
"1901","Phillies","83","57","2","156","140","1246.1","3.47","1.87","0.14",".284","65.7%","","","","2.87","2.98","","14.6","","1221","543","397","19","259","","50","480","","",".258","1.19","22.6"
"1905","Senators","64","87","1","194","154","1362.1","3.56","2.54","0.08",".273","63.9%","","","","2.87","2.69","","9.7","","1250","623","434","12","385","","63","539","","",".245","1.20","4.2"
"1883","Athletics","66","32","0","104","98","873.0","3.58","0.98","0.23",".298","47.6%","","","","2.88","3.12","","12.0","","921","547","279","22","95","","","347","","",".272","1.16","10.7"
"1885","Wolverines","41","67","1","111","108","954.1","4.48","2.11","0.17",".300","52.2%","","","","2.88","2.83","","11.4","","966","582","305","18","224","","0","475","","",".264","1.25","4.9"
"1909","Browns","61","89","4","209","154","1354.2","4.12","2.54","0.11",".284","67.1%","","","","2.88","2.30","","12.4","","1287","578","433","16","383","","39","620","","",".252","1.23","7.0"
"1919","Pirates","71","68","4","193","139","1249.0","2.82","1.90","0.17",".252","68.6%","","","","2.88","2.82","","15.5","5030","1113","466","400","23","263","","36","391","","",".235","1.10","18.0"
"1910","Naps","71","81","5","243","161","1467.0","3.79","2.99","0.06",".282","66.8%","","","","2.88","2.57","","13.7","","1392","654","470","10","488","","64","617","","",".252","1.28","8.6"
"1891","Pirates","55","80","2","153","137","1197.2","3.35","3.49","0.23",".278","56.0%","","","","2.89","3.44","","10.8","","1160","744","384","31","465","","12","446","","",".256","1.36","9.9"
"1920","Pirates","79","75","10","240","155","1415.1","2.82","1.78","0.16",".272","68.9%","","","","2.89","3.00","","19.7","5796","1389","552","454","25","280","","27","444","","",".253","1.18","22.0"
"1904","Pirates","87","66","1","181","156","1348.1","3.04","2.53","0.09",".273","66.3%","","","","2.89","2.71","","13.8","","1273","587","433","13","379","","53","455","","",".251","1.23","15.9"
"1968","Twins","79","83","29","391","162","1433.1","6.25","2.60","0.58",".259","73.1%","","","","2.89","2.78","","23.1","5909","1224","546","461","92","414","46","42","996","","",".224","1.14","15.8"
"1981","Yankees","59","48","30","268","107","948.0","5.75","2.72","0.61",".263","75.5%","","","","2.90","3.14","","15.6","3872","827","343","305","64","287","17","10","606","","",".231","1.18","18.2"
"1911","Cubs","92","62","16","254","157","1411.0","3.71","3.35","0.17",".268","68.4%","","","","2.90","3.30","","14.3","","1270","607","454","26","525","","47","582","","",".242","1.27","21.5"
"1920","Reds","82","71","9","236","154","1391.2","2.81","2.54","0.17",".268","69.0%","","","","2.90","3.29","","10.9","5742","1327","569","448","26","393","","34","435","","",".250","1.24","15.7"
"1898","Orioles","95","53","0","168","153","1323.0","2.87","2.72","0.12",".269","64.2%","","","","2.90","3.20","","16.9","","1236","623","426","17","400","","61","422","","",".249","1.24","27.2"
"1913","Pirates","78","71","7","264","155","1400.0","3.79","2.79","0.17",".282","69.0%","","","","2.90","2.88","","13.7","","1344","585","451","26","434","","29","590","","",".254","1.27","17.2"
"1918","Braves","53","71","0","155","124","1117.1","2.74","2.23","0.11",".277","67.7%","","","","2.90","2.59","","10.5","4611","1111","469","360","14","277","","25","340","","",".258","1.24","6.7"
"1901","Beaneaters","69","69","0","153","140","1263.0","3.98","2.49","0.21",".280","66.6%","","","","2.90","3.17","","15.8","","1196","556","407","29","349","","38","558","","",".251","1.22","24.5"
"1883","Metropolitans","54","42","0","97","97","874.0","4.94","1.27","0.12",".271","54.6%","","","","2.90","2.76","","14.6","","749","405","282","12","123","","","480","","",".233","1.00","24.5"
"1916","Indians","77","77","16","297","157","1410.0","3.43","2.98","0.10",".292","68.8%","","","","2.90","2.76","","17.6","5739","1383","602","455","16","467","","33","537","","",".264","1.31","13.2"
"1942","Yankees","103","51","17","243","154","1375.0","3.65","2.82","0.46",".259","74.6%","","","","2.91","3.25","","17.3","5667","1259","507","444","71","431","","17","558","","",".241","1.23","29.4"
"1988","Mets","100","60","46","401","160","1439.0","6.88","2.53","0.49",".276","73.3%","","","","2.91","2.86","","25.6","5877","1253","532","465","78","404","33","35","1100","","",".230","1.15","22.0"
"1964","Angels","82","80","41","447","162","1450.2","5.99","3.29","0.62",".266","76.0%","","","","2.91","3.37","","17.7","6062","1273","551","469","100","530","54","50","965","","",".232","1.24","23.1"
"1903","Pirates","91","49","5","167","141","1251.1","3.27","2.76","0.06",".282","62.4%","","","","2.91","3.04","","14.3","","1215","625","405","9","384","","44","454","","",".256","1.28","18.1"
"1882","Brown Stockings","36","43","1","84","79","688.1","2.94","1.35","0.09",".296","40.9%","","","","2.92","2.69","","8.3","","729","496","223","7","103","","","225","","",".273","1.21","-0.4"
"1968","Braves","81","81","29","362","163","1474.2","5.32","2.21","0.53",".265","73.3%","","","","2.92","2.77","","16.1","6021","1326","549","478","87","362","69","33","871","","",".236","1.14","16.3"
"1967","Giants","91","71","25","377","162","1474.1","6.04","2.77","0.69",".261","75.5%","","","","2.92","3.17","","17.2","6072","1283","551","478","113","453","93","27","990","","",".229","1.18","24.4"
"1885","Alleghenys","56","55","0","118","111","1011.0","4.04","1.79","0.12",".274","54.3%","","","","2.92","2.76","","8.7","","918","539","328","14","201","","36","454","","",".244","1.11","14.7"
"1975","Dodgers","88","74","21","330","162","1469.1","5.48","2.74","0.64",".245","74.9%","","","","2.92","3.26","","20.6","6015","1215","534","477","104","448","20","28","894","","",".219","1.13","27.3"
"1884","Bisons","63","47","1","120","114","1001.0","4.80","1.70","0.41",".303","51.9%","","","","2.92","3.37","","12.3","","1041","625","325","46","189","","0","534","","",".269","1.23","14.4"
"1945","Senators","87","67","11","266","156","1412.2","3.50","2.80","0.27",".258","70.5%","","","","2.92","3.11","","17.5","5943","1307","562","459","42","440","","15","550","","",".238","1.24","17.7"
"1943","Yankees","98","56","13","253","155","1415.1","4.15","3.11","0.38",".252","72.2%","","","","2.93","3.10","","18.8","5848","1229","542","460","60","489","","13","653","","",".230","1.21","22.0"
"1905","Highlanders","71","78","4","228","152","1353.2","4.27","2.63","0.17",".276","64.3%","","","","2.93","2.70","","16.3","","1235","622","440","26","396","","44","642","","",".244","1.20","10.3"
"1933","Cubs","86","68","9","251","154","1362.0","3.22","2.73","0.34",".266","72.5%","","","","2.93","3.54","","12.4","5737","1316","536","443","51","413","","30","488","","",".249","1.27","20.1"
"1919","Indians","84","55","10","232","139","1245.0","3.12","2.62","0.14",".289","68.2%","","","","2.93","2.94","","17.6","5075","1242","539","405","19","362","","33","432","","",".265","1.29","17.0"
"1892","Phillies","87","66","5","179","155","1379.0","3.28","3.21","0.16",".273","62.9%","","","","2.93","3.10","","15.2","","1297","690","449","24","492","","13","502","","",".250","1.30","23.3"
"1890","Beaneaters","76","57","1","136","134","1187.0","3.84","2.68","0.20",".280","62.0%","","","","2.93","3.31","","20.3","","1132","593","387","27","354","","12","506","","",".253","1.25","29.4"
"2015","Cardinals","100","62","62","677","162","1464.2","8.17","2.93","0.76",".297","79.4%","48.0%","9.4%","87.9","2.94","3.48","3.71","20.6","6134","1359","525","478","123","477","37","45","1329","23255","23255",".242","1.25","28.6"
"1876","Mutuals","21","35","0","58","57","530.0","0.63","0.41","0.14",".328","45.2%","","","","2.94","2.43","","3.4","","718","412","173","8","24","","","37","","",".325","1.40","-2.8"
"1914","Reds","60","94","15","263","157","1387.1","3.94","3.17","0.19",".271","65.2%","","","","2.94","2.90","","12.6","","1259","653","453","30","489","","48","607","","",".243","1.26","6.5"
"1969","Cardinals","87","75","26","345","162","1460.1","6.19","3.15","0.61",".269","76.3%","","","","2.94","3.13","","22.0","6073","1289","540","477","99","511","61","31","1004","","",".233","1.23","30.4"
"1883","Gothams","46","50","0","109","98","866.0","3.36","1.77","0.20",".295","47.6%","","","","2.94","3.38","","6.1","","907","577","283","19","170","","","323","","",".271","1.24","6.3"
"1913","Red Sox","79","71","10","246","151","1358.1","4.70","2.93","0.04",".297","66.4%","","","","2.94","2.54","","18.5","","1323","609","444","6","442","","31","710","","",".257","1.30","10.6"
"1968","Athletics","82","80","29","415","163","1455.2","6.16","3.12","0.77",".252","76.6%","","","","2.94","3.23","","9.8","6009","1220","544","476","124","505","78","31","997","","",".223","1.19","12.6"
"1976","Mets","86","76","25","345","162","1449.0","6.37","2.60","0.60",".265","74.1%","","","","2.94","3.00","","23.4","5908","1248","538","474","97","419","57","23","1025","","",".228","1.15","24.0"
"1914","Giants","84","70","9","245","156","1390.2","3.64","2.38","0.30",".271","68.6%","","","","2.94","2.86","","11.8","","1298","576","455","47","367","","28","563","","",".249","1.20","13.3"
"1989","Dodgers","77","83","36","445","160","1463.1","6.47","3.10","0.58",".272","76.0%","","","","2.95","3.26","","19.6","6034","1278","536","479","95","504","73","27","1052","","",".232","1.22","25.0"
"1903","Giants","84","55","8","171","142","1262.2","4.48","2.64","0.14",".297","67.2%","","","","2.95","2.85","","16.5","","1257","566","414","20","371","","40","628","","",".261","1.29","23.7"
"1964","Dodgers","80","82","27","377","164","1483.2","6.44","2.78","0.53",".266","72.8%","","","","2.95","2.93","","18.8","6150","1289","572","487","88","458","79","27","1062","","",".228","1.18","21.2"
"1874","Whites","29","29","0","60","58","524.0","0.41","0.36","0.07",".313","38.0%","","","","2.95","2.94","","5.7","","666","428","172","4","21","","","24","","",".311","1.31","5.4"
"1888","White Stockings","77","57","1","147","135","1186.1","4.46","2.34","0.48",".281","59.7%","","","","2.96","3.14","","11.9","","1139","659","390","63","308","","59","588","","",".254","1.22","9.9"
"1972","Tigers","86","70","33","404","156","1388.1","6.17","3.01","0.65",".266","76.5%","","","","2.96","3.08","","17.6","5748","1212","514","457","101","465","41","47","952","","",".231","1.21","18.5"
"1974","Athletics","90","72","28","378","162","1439.2","4.72","2.69","0.56",".266","74.3%","","","","2.96","3.29","","23.7","5937","1322","551","474","90","430","41","25","755","","",".241","1.22","25.4"
"1933","Braves","83","71","16","258","156","1403.0","2.46","2.28","0.35",".266","72.9%","","","","2.96","3.53","","10.4","5828","1391","531","462","54","355","","11","383","","",".255","1.24","21.0"
"1988","Dodgers","94","67","49","457","162","1463.1","6.33","2.91","0.52",".272","74.4%","","","","2.96","3.12","","19.7","6050","1291","544","482","84","473","61","22","1029","","",".232","1.21","21.6"
"1918","Cardinals","51","78","5","210","131","1193.0","2.72","2.66","0.12",".271","66.8%","","","","2.96","2.79","","9.1","4956","1148","527","393","16","352","","43","361","","",".252","1.26","4.5"
"1911","White Sox","77","74","11","257","154","1386.1","4.88","2.49","0.14",".296","66.1%","","","","2.97","2.72","","17.3","","1349","620","457","22","384","","35","752","","",".257","1.25","20.3"
"1972","Indians","72","84","24","411","156","1410.0","5.40","3.41","0.79",".256","78.8%","","","","2.97","3.55","","10.9","5877","1232","519","465","123","534","92","40","846","","",".232","1.25","20.3"
"1916","Tigers","87","67","13","281","155","1410.0","3.39","3.69","0.08",".276","69.2%","","","","2.97","3.03","","11.1","5688","1254","595","465","12","578","","62","531","","",".248","1.30","12.1"
"1881","Trojans","39","45","0","85","85","770.0","2.42","1.86","0.13",".290","56.8%","","","","2.97","2.96","","7.5","","813","429","254","11","159","","","207","","",".272","1.26","9.7"
"1918","Yankees","60","63","13","214","126","1157.1","2.88","3.60","0.19",".278","72.0%","","","","2.97","3.17","","6.5","4772","1103","474","382","25","463","","39","370","","",".258","1.35","10.0"
"1963","White Sox","94","68","39","373","162","1469.0","5.71","2.70","0.61",".266","75.4%","","","","2.97","3.06","","22.7","6058","1311","544","485","100","440","39","31","932","","",".235","1.19","25.8"
"1882","Athletics","41","34","0","78","75","663.0","2.58","1.34","0.18",".285","51.4%","","","","2.97","2.89","","8.0","","682","389","219","13","99","","","190","","",".267","1.18","8.4"
"1944","Reds","89","65","12","251","155","1398.1","2.31","2.47","0.39",".249","71.9%","","","","2.97","3.45","","15.4","5763","1292","536","462","60","384","","19","359","","",".241","1.20","27.0"
"1903","Athletics","75","60","1","165","137","1207.0","5.43","2.35","0.15",".292","66.9%","","","","2.98","2.55","","16.7","","1124","519","399","20","315","","71","728","","",".248","1.19","17.8"
"1898","Beaneaters","102","47","8","178","152","1340.0","2.90","3.16","0.25",".256","66.3%","","","","2.98","3.53","","16.1","","1186","614","443","37","470","","66","432","","",".239","1.24","31.6"
"1901","White Sox","83","53","2","165","137","1218.1","2.91","2.30","0.20",".287","62.3%","","","","2.98","3.33","","11.5","","1250","632","403","27","312","","52","394","","",".267","1.28","19.2"
"1945","Cubs","98","56","14","290","155","1366.1","3.56","2.54","0.38",".265","72.1%","","","","2.98","3.18","","21.0","5706","1301","533","452","57","385","","21","541","","",".245","1.23","28.6"
"1974","Dodgers","102","60","23","371","162","1465.1","5.79","2.85","0.69",".257","74.8%","","","","2.98","3.28","","22.9","6056","1272","561","485","112","464","9","24","943","","",".228","1.18","26.8"
"1919","Senators","56","84","10","239","142","1274.1","3.79","3.19","0.14",".286","68.0%","","","","2.98","3.00","","13.2","5294","1237","571","422","20","451","","38","536","","",".257","1.32","12.5"
"1965","Orioles","94","68","41","390","162","1477.2","5.72","3.11","0.73",".255","74.9%","","","","2.98","3.39","","16.2","6094","1268","578","490","120","510","48","26","939","","",".228","1.20","20.8"
"1882","Wolverines","42","41","0","90","86","793.0","4.02","1.46","0.22",".295","49.3%","","","","2.98","2.67","","8.3","","808","488","263","19","129","","","354","","",".265","1.18","5.8"
"1969","Mets","100","62","35","365","162","1468.1","6.20","3.17","0.73",".252","76.5%","","","","2.99","3.30","","17.3","6027","1217","541","487","119","517","70","29","1012","","",".222","1.18","29.3"
"1890","Solons","78","55","3","162","140","1214.2","4.62","3.49","0.15",".254","60.5%","","","","2.99","3.32","","9.7","","976","617","403","20","471","","74","624","","",".222","1.19","22.4"
"1945","Tigers","88","65","16","286","155","1393.2","3.80","3.47","0.31",".267","72.3%","","","","2.99","3.35","","18.5","5899","1305","565","463","48","538","","23","588","","",".244","1.32","21.5"
"1891","Giants","71","61","3","157","136","1204.0","4.87","4.43","0.20",".281","59.3%","","","","2.99","3.37","","11.7","","1098","711","400","27","593","","1","651","","",".244","1.40","14.7"
"1965","White Sox","95","67","53","429","162","1481.2","5.75","2.79","0.74",".253","75.7%","","","","2.99","3.30","","14.2","6060","1261","555","493","122","460","70","29","946","","",".226","1.16","19.9"
"1971","Mets","83","79","22","373","162","1466.1","7.10","3.25","0.61",".265","75.2%","","","","3.00","2.92","","22.1","6078","1227","550","488","100","529","63","40","1157","","",".223","1.20","24.1"
"1926","Athletics","83","67","16","306","150","1346.0","3.82","3.02","0.25",".285","71.2%","","","","3.00","3.51","","21.1","5740","1362","569","448","38","451","","31","571","","",".259","1.35","28.2"
"1957","Yankees","98","56","42","333","154","1395.1","5.22","3.74","0.71",".254","77.1%","","","","3.00","3.65","","14.0","5822","1198","534","465","110","580","19","39","810","","",".230","1.27","24.3"
"1973","Dodgers","95","66","38","374","162","1491.0","5.80","2.78","0.78",".252","75.7%","","","","3.00","3.39","","16.6","6100","1270","565","497","129","461","38","29","961","","",".226","1.16","24.7"
"1971","Orioles","101","57","22","335","158","1415.1","5.04","2.65","0.79",".255","76.6%","","","","3.00","3.40","","17.3","5799","1257","530","472","125","416","37","18","793","","",".234","1.18","23.8"
"1918","Reds","68","60","6","191","129","1142.1","2.53","3.00","0.15",".276","69.0%","","","","3.00","2.94","","5.2","4797","1136","496","381","19","381","","23","321","","",".259","1.33","4.5"
"1943","Tigers","78","76","20","285","155","1411.2","4.50","3.50","0.33",".257","71.6%","","","","3.00","3.08","","22.1","5892","1226","560","471","51","549","","14","706","","",".230","1.26","21.4"
"1889","Browns","90","44","3","160","140","1237.2","4.49","3.00","0.28",".282","59.0%","","","","3.00","3.49","","20.1","","1166","680","413","39","413","","0","617","","",".250","1.28","31.8"
"1985","Dodgers","95","67","36","412","162","1465.0","6.01","2.84","0.63",".263","73.1%","","","","3.00","3.24","","20.7","6043","1280","579","489","102","462","56","21","979","","",".230","1.19","20.9"
"1981","Dodgers","63","47","24","297","110","997.0","5.44","2.73","0.49",".272","75.5%","","","","3.01","3.05","","14.6","4099","904","356","333","54","302","38","14","603","","",".239","1.21","17.1"
"1872","Athletics","30","14","0","47","47","419.0","0.95","0.56","0.06",".310","35.5%","","","","3.01","3.58","","5.0","","513","349","140","3","26","","","44","","",".303","1.29","8.2"
"1873","Canaries","34","22","0","59","57","508.2","0.60","0.74","0.07",".326","37.8%","","","","3.01","3.15","","5.8","","680","451","170","4","42","","","34","","",".322","1.42","8.6"
"1946","Cardinals","98","58","15","336","156","1397.0","3.91","3.18","0.41",".270","74.1%","","","","3.01","3.23","","18.3","5871","1326","545","467","63","493","","31","607","","",".248","1.30","22.2"
"1917","Pirates","51","103","6","241","157","1417.2","3.23","2.74","0.09",".266","67.4%","","","","3.01","2.66","","14.0","5887","1318","595","474","14","432","","34","509","","",".243","1.23","10.4"
"1911","Athletics","101","50","13","229","152","1375.2","4.83","3.19","0.11",".297","69.7%","","","","3.01","2.92","","12.7","","1343","596","460","17","487","","81","739","","",".257","1.33","23.2"
"1905","Reds","79","74","2","194","155","1365.2","3.60","2.89","0.14",".296","64.7%","","","","3.01","2.89","","16.2","","1409","691","457","22","439","","54","547","","",".268","1.35","11.2"
"1965","Pirates","90","72","27","409","163","1479.0","5.37","2.85","0.54",".267","73.4%","","","","3.01","3.15","","20.0","6115","1324","580","495","89","469","56","44","882","","",".236","1.21","23.7"
"1884","Monumentals","57","47","0","119","105","946.2","5.97","1.68","0.23",".324","48.2%","","","","3.01","2.83","","10.0","","1002","627","317","24","177","","","628","","",".273","1.25","10.3"
"1976","Dodgers","92","70","28","344","162","1470.2","4.57","2.93","0.59",".260","76.0%","","","","3.02","3.50","","14.3","6085","1330","543","493","97","479","31","23","747","","",".238","1.23","24.0"
"1903","White Sox","60","77","4","164","138","1235.0","2.85","2.09","0.17",".281","62.4%","","","","3.02","3.07","","5.2","","1233","613","414","24","287","","53","391","","",".261","1.23","4.7"
"1975","Pirates","92","69","31","387","161","1437.1","4.81","3.45","0.49",".263","74.2%","","","","3.02","3.42","","17.1","6072","1302","565","482","79","551","102","20","768","","",".237","1.29","21.9"
"1872","Canaries","35","19","1","68","58","515.2","1.31","1.10","0.05",".290","31.2%","","","","3.02","3.66","","4.8","","566","434","173","3","63","","","75","","",".280","1.22","8.7"
"2011","Phillies","102","60","47","556","162","1477.0","7.92","2.46","0.73",".286","77.5%","46.5%","8.3%","","3.02","3.24","3.41","29.5","6069","1320","529","496","120","404","41","47","1299","22812","22812",".235","1.17","34.2"
"2020","Dodgers","43","17","15","309","60","538.2","8.64","2.42","1.10",".252","75.8%","46.3%","13.2%","87.7","3.02","3.79","3.99","8.3","2172","424","213","181","66","145","4","21","517","8498","8498",".211","1.06","11.7"
"1902","Americans","77","60","1","154","138","1238.0","3.13","2.37","0.20",".280","63.6%","","","","3.02","3.04","","16.1","","1217","600","416","27","326","","40","431","","",".258","1.25","21.3"
"1891","Reds","93","42","7","173","139","1219.2","3.87","3.67","0.31",".277","61.4%","","","","3.03","3.49","","12.4","","1158","675","410","42","497","","0","524","","",".252","1.36","24.7"
"1885","Beaneaters","46","66","0","115","113","981.0","4.40","1.72","0.24",".308","53.8%","","","","3.03","2.82","","10.9","","1045","589","330","26","188","","0","480","","",".274","1.26","4.5"
"2014","Nationals","96","66","45","620","162","1470.2","7.88","2.15","0.67",".294","74.9%","44.8%","7.5%","","3.03","3.18","3.43","24.3","6020","1351","555","495","110","352","26","51","1288","22822","22822",".241","1.16","25.3"
"1907","Highlanders","70","78","5","219","152","1333.2","3.45","2.89","0.09",".288","63.4%","","","","3.03","2.50","","12.3","","1327","671","449","13","428","","48","511","","",".261","1.32","2.8"
"1917","Cardinals","82","70","10","294","154","1392.2","3.24","2.72","0.19",".262","68.5%","","","","3.03","2.80","","8.1","5669","1257","568","469","29","421","","36","502","","",".241","1.20","8.7"
"1873","Athletics","28","23","1","60","52","475.0","0.78","1.10","0.08",".297","34.4%","","","","3.03","3.23","","5.8","","553","403","160","4","58","","","41","","",".292","1.29","9.3"
"1884","White Stockings","62","49","0","121","112","997.1","4.26","2.08","0.75",".288","53.6%","","","","3.03","4.10","","6.8","","1028","647","336","83","231","","0","472","","",".268","1.26","9.6"
