"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR","TBF","H","R","ER","HR","BB","IBB","HBP","SO","Pitches","Pitches","AVG","WHIP","RA9-WAR"
"1904","Americans","95","59","1","166","157","1406.0","3.92","1.49","0.20",".260","70.4%","","","","2.12","2.33","","17.6","","1208","466","331","31","233","","31","612","","",".234","1.02","26.3"
"1908","Pirates","98","56","9","226","155","1402.1","3.00","2.61","0.10",".244","71.6%","","","","2.12","2.45","","12.1","","1142","470","331","16","406","","52","468","","",".224","1.10","19.2"
"1906","White Sox","93","58","3","197","154","1375.1","3.55","1.67","0.07",".265","70.0%","","","","2.13","2.24","","15.2","","1212","460","326","11","255","","32","543","","",".238","1.07","23.2"
"1918","Senators","72","56","8","204","130","1228.0","3.70","2.89","0.07",".252","72.5%","","","","2.14","2.55","","14.9","4946","1021","408","292","10","395","","29","505","","",".226","1.15","20.8"
"1908","Cubs","99","55","12","218","158","1433.2","4.19","2.74","0.13",".249","72.8%","","","","2.14","2.27","","16.7","","1137","459","341","20","437","","39","668","","",".220","1.10","23.3"
"1908","Giants","98","56","18","233","157","1411.0","4.18","1.84","0.17",".263","72.2%","","","","2.14","2.02","","21.7","","1214","453","336","26","288","","35","656","","",".234","1.06","22.6"
"1908","Browns","83","69","5","216","155","1397.0","3.91","2.49","0.05",".256","70.6%","","","","2.15","2.13","","11.3","","1151","478","333","7","387","","63","607","","",".226","1.10","18.5"
"1877","Red Caps","42","18","0","61","61","548.0","2.91","0.62","0.08",".287","56.5%","","","","2.15","2.52","","7.2","","557","263","131","5","38","","","177","","",".265","1.09","12.8"
"1875","Whites","37","31","0","76","70","627.0","0.85","0.43","0.09",".274","45.3%","","","","2.15","2.45","","6.7","","650","376","150","6","30","","","59","","",".269","1.08","10.3"
"1917","White Sox","100","54","21","268","156","1424.1","3.27","2.61","0.06",".259","73.2%","","","","2.16","2.57","","17.2","5701","1236","462","342","10","413","","35","517","","",".235","1.16","27.0"
"1904","Giants","106","46","15","186","157","1396.2","4.56","2.25","0.23",".257","71.4%","","","","2.17","2.49","","18.1","","1151","475","337","36","349","","35","707","","",".226","1.07","31.2"
"1884","Eclipse","68","40","0","119","110","989.2","4.27","0.88","0.08",".263","56.6%","","","","2.17","2.73","","12.3","","836","425","239","9","97","","30","470","","",".231","0.94","24.5"
"1915","Phillies","90","62","8","220","153","1374.1","4.27","2.24","0.17",".260","71.5%","","","","2.17","2.45","","21.0","","1161","463","332","26","342","","31","652","","",".231","1.09","27.0"
"1879","Grays","59","25","2","97","85","776.0","3.82","0.72","0.10",".289","58.0%","","","","2.18","2.28","","8.5","","765","355","188","9","62","","","329","","",".259","1.07","16.0"
"1918","Cubs","84","45","8","183","131","1197.0","3.55","2.23","0.10",".257","72.2%","","","","2.18","2.38","","18.3","4843","1050","393","290","13","296","","22","472","","",".232","1.12","23.7"
"1879","Red Caps","54","30","0","89","84","753.0","2.75","0.55","0.11",".283","57.6%","","","","2.19","2.47","","7.7","","757","348","183","9","46","","","230","","",".263","1.07","17.1"
"1905","Athletics","92","56","0","189","152","1383.1","5.82","2.66","0.14",".271","70.7%","","","","2.19","2.31","","19.3","","1137","492","337","21","409","","63","895","","",".226","1.12","23.6"
"1916","Braves","89","63","11","240","158","1415.2","4.09","2.07","0.15",".258","72.5%","","","","2.19","2.38","","16.2","5612","1206","453","345","24","325","","30","644","","",".229","1.08","22.3"
"1917","Red Sox","90","62","7","208","157","1421.1","3.22","2.62","0.08",".252","73.5%","","","","2.20","2.63","","13.8","5689","1197","453","347","12","413","","51","509","","",".229","1.13","26.1"
