,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,WAR
,Orioles,78,84,27,614,162,1455.1,6.74,4.25,0.98,0.298,69.80%,45.60%,9.90%,,4.71,4.52,4.66,15.7
,Pirates,72,89,46,625,161,1428,6.8,3.63,0.94,0.301,71.50%,45.00%,9.90%,,4.31,4.24,4.38,15.6
,Padres,87,75,44,599,162,1441,6.74,2.64,1.15,0.29,73.20%,42.90%,11.20%,,4.03,4.19,4.14,15.5
,Rangers,89,73,52,630,162,1439.2,6.12,3.42,1.14,0.297,71.80%,44.50%,11.00%,,4.54,4.64,4.62,14.9
,Phillies,86,76,43,638,162,1462.2,6.58,3.09,1.32,0.286,72.60%,42.40%,12.30%,,4.47,4.65,4.43,13.4
,White Sox,83,79,34,561,162,1432.1,6.37,3.31,1.41,0.293,70.70%,43.50%,13.80%,,4.91,4.87,4.45,13
,Giants,91,71,46,683,162,1457,6.3,3.39,0.99,0.29,70.60%,44.90%,10.00%,,4.34,4.31,4.44,12.7
,Mets,71,91,31,636,162,1449,6.07,3.68,0.97,0.284,72.70%,45.70%,9.90%,,4.1,4.43,4.57,12.3
,Blue Jays,67,94,37,592,161,1421,6.05,3.85,1.15,0.296,70.30%,44.70%,11.20%,,4.93,4.77,4.73,11.7
,Tigers,72,90,35,594,162,1439.2,6.22,3.31,1.19,0.299,68.90%,45.90%,11.70%,,4.93,4.6,4.48,10.9
,Diamondbacks,51,111,33,633,162,1436,7.23,4.19,1.23,0.297,68.00%,46.10%,13.50%,,4.98,4.78,4.43,10.6
,Expos,67,95,31,624,162,1447,6.42,3.62,1.19,0.291,73.20%,44.60%,12.10%,,4.33,4.71,4.54,9.7
,Indians,80,82,32,641,162,1466.2,6.84,3.55,1.23,0.301,69.90%,43.80%,12.30%,,4.82,4.62,4.43,9.4
,Royals,58,104,25,571,162,1420.1,5.62,3.28,1.32,0.307,68.00%,41.00%,11.30%,,5.16,4.92,4.85,9
,Mariners,63,99,28,576,162,1459.1,6.39,3.55,1.31,0.286,71.50%,39.30%,11.30%,,4.76,4.85,4.79,8.9
,Rockies,68,94,36,635,162,1435.1,5.94,4.37,1.24,0.311,69.60%,45.30%,12.30%,,5.54,5.13,4.93,7.3
,Devil Rays,70,91,35,562,161,1417,5.86,3.68,1.22,0.283,69.20%,40.90%,10.70%,,4.82,4.93,4.97,7.2
,Reds,76,86,47,659,162,1443.2,6.18,3.57,1.47,0.296,69.50%,42.50%,13.70%,,5.21,5.1,4.67,5.6
2003,Yankees,101,61,49,530,163,1462,6.89,2.31,0.89,0.302,70.40%,42.70%,9.30%,,4.03,3.66,3.92,28.6
,Dodgers,85,77,58,600,162,1457.2,7.96,3.25,0.78,0.28,77.00%,48.00%,10.50%,,3.16,3.56,3.63,27
,Diamondbacks,84,78,42,614,162,1455,7.99,3.25,0.93,0.293,73.10%,47.30%,11.40%,,3.84,3.83,3.81,24.6
,Cubs,88,74,36,582,162,1456.1,8.68,3.81,0.88,0.291,73.10%,47.10%,11.60%,,3.83,3.8,3.75,24.1
,White Sox,86,76,36,523,162,1431,6.64,3.26,1.02,0.281,71.40%,42.10%,10.50%,,4.17,4.22,4.32,22.5
,Athletics,96,66,48,526,162,1441.2,6.36,3.12,0.87,0.274,73.60%,46.60%,9.80%,,3.63,4.03,4.21,22.4
,Red Sox,95,67,36,599,162,1464.2,7.01,3,0.94,0.3,67.90%,44.90%,10.40%,,4.49,3.99,4.09,21.5
,Marlins,91,71,36,557,162,1445.1,7.05,3.3,0.8,0.297,71.60%,42.10%,8.30%,,4.04,3.8,4.21,21.3
,Twins,90,72,45,561,162,1461.2,6.14,2.48,1.15,0.29,71.10%,38.60%,10.40%,,4.41,4.26,4.38,16.8
,Phillies,86,76,33,599,162,1443.2,6.61,3.34,0.89,0.284,72.30%,45.30%,9.70%,,4.06,4.12,4.32,16.6
,Astros,87,75,50,664,162,1450,7.07,3.51,1,0.281,74.40%,43.80%,10.70%,,3.87,4.23,4.29,16.4
,Mariners,93,69,38,528,162,1441,6.25,2.91,1.08,0.269,75.60%,39.20%,9.90%,,3.76,4.29,4.49,16.1
,Giants,100,61,43,622,161,1437.1,6.3,3.42,0.85,0.278,74.40%,43.50%,8.90%,,3.73,4.09,4.4,15.7
,Expos,83,79,42,599,162,1437.2,6.44,2.9,1.13,0.29,73.50%,44.60%,12.20%,,4.01,4.35,4.23,15.5
,Braves,101,61,51,651,162,1456.1,6.13,3.43,0.91,0.283,70.60%,47.60%,11.00%,,4.1,4.21,4.24,15.2
,Blue Jays,86,76,35,605,162,1435,6.17,3.04,1.15,0.302,69.20%,46.40%,12.70%,,4.69,4.46,4.26,15.1
,Indians,68,94,34,590,162,1459.1,5.82,3.09,1.1,0.284,70.60%,44.00%,11.70%,,4.21,4.49,4.43,12.1
,Orioles,71,91,41,588,163,1449.2,6.09,3.27,1.23,0.301,71.50%,42.40%,12.40%,,4.76,4.71,4.54,11.8
,Angels,77,85,39,537,162,1431.1,6.16,3.06,1.19,0.283,72.60%,39.40%,11.10%,,4.28,4.57,4.58,11.3
,Royals,83,79,36,570,162,1438.2,5.41,3.54,1.19,0.295,68.90%,41.60%,11.00%,,5.07,4.86,4.9,9.7
,Pirates,75,87,44,619,162,1444.1,5.77,3.13,1.11,0.292,70.00%,45.20%,11.80%,,4.65,4.52,4.44,9.1
,Rangers,71,91,43,656,162,1433.1,6.34,3.79,1.31,0.313,66.10%,40.90%,13.90%,,5.69,4.9,4.54,8.9
,Rockies,74,88,34,662,162,1420,5.49,3.5,1.27,0.307,69.20%,43.70%,12.90%,,5.24,4.99,4.74,8.8
,Mets,66,95,38,573,161,1413.1,5.78,3.67,1.07,0.295,72.40%,42.10%,10.10%,,4.5,4.61,4.78,8.3
,Cardinals,85,77,41,622,162,1463.2,5.96,3.12,1.29,0.289,72.50%,41.10%,12.20%,,4.62,4.75,4.6,7.3
,Brewers,68,94,44,622,162,1452,6.41,3.56,1.36,0.3,70.50%,40.90%,12.50%,,5.03,4.88,4.68,6.8
,Reds,69,93,38,637,162,1446.1,5.8,3.67,1.3,0.295,69.10%,42.60%,12.90%,,5.09,4.94,4.7,6.6
,Padres,64,98,31,635,162,1431.1,6.86,3.84,1.31,0.289,70.70%,43.90%,13.70%,,4.87,4.81,4.47,3.9
,Devil Rays,63,99,30,534,162,1436.2,5.49,4,1.23,0.278,69.80%,40.10%,11.10%,,4.93,5.12,5.13,3.1
,Tigers,43,119,27,613,162,1438.2,4.78,3.48,1.22,0.296,66.50%,42.50%,11.60%,,5.32,5.01,4.95,2.9
2002,Yankees,103,58,53,495,161,1452,7.04,2.5,0.89,0.293,70.70%,42.80%,9.00%,,3.89,3.62,3.86,28.2
,Diamondbacks,98,64,40,584,162,1446.2,8.11,2.62,1.06,0.289,72.70%,43.60%,11.50%,,3.93,3.67,3.56,26.4
,Athletics,103,59,48,570,162,1452,6.33,2.94,0.84,0.281,73.20%,46.60%,9.00%,,3.69,3.87,4.09,23.1
,Red Sox,93,69,51,500,162,1446,7.2,2.68,0.91,0.282,72.10%,45.20%,9.70%,,3.75,3.74,3.87,22.6
,Braves,101,59,57,630,161,1467.1,6.49,3.4,0.75,0.271,77.20%,45.70%,8.50%,,3.13,3.83,4.11,19.8
,Astros,84,78,43,642,162,1445,7.59,3.4,0.94,0.3,73.30%,44.60%,10.50%,,4,3.88,3.91,19.3
,Mariners,93,69,43,505,162,1445.1,6.62,2.75,1.11,0.284,72.90%,40.20%,10.30%,,4.07,4.11,4.16,18.3
,Giants,95,66,43,579,162,1437.1,6.21,3.27,0.73,0.281,74.00%,42.30%,7.30%,,3.55,3.8,4.27,18.1
,Cubs,67,95,23,552,162,1441.1,8.32,3.78,1.04,0.296,70.90%,42.20%,11.40%,,4.3,4,3.91,17.5
,Expos,83,79,39,599,162,1453,6.74,3.15,1.02,0.295,72.90%,47.20%,11.50%,,3.98,4.08,3.97,16.6
,Dodgers,92,70,56,585,162,1457.2,6.99,3.43,1.02,0.27,75.50%,42.50%,10.70%,,3.69,4.12,4.11,16.4
,Twins,94,67,47,596,161,1444.2,6.39,2.73,1.15,0.286,73.00%,38.20%,10.00%,,4.12,4.2,4.31,16.2
,Angels,99,63,54,562,162,1452.1,6.19,3.15,1.05,0.269,75.60%,41.00%,9.90%,,3.69,4.25,4.36,16.1
,Indians,74,88,34,583,162,1424.2,6.68,3.81,0.9,0.31,67.60%,45.40%,9.70%,,4.91,4.16,4.29,15.3
,Cardinals,97,65,42,634,162,1446.1,6.28,3.4,0.88,0.277,74.50%,43.70%,9.10%,,3.7,4.09,4.3,14.2
,White Sox,81,81,35,585,162,1423,5.98,3.34,1.2,0.279,69.50%,42.10%,11.30%,,4.57,4.61,4.51,14
,Mets,75,86,36,612,161,1442.2,6.91,3.39,1.02,0.287,73.30%,42.70%,10.20%,,3.91,4.14,4.2,13.4
,Phillies,80,81,47,611,161,1449.2,6.67,3.54,0.95,0.282,71.80%,46.50%,10.40%,,4.17,4.18,4.2,13.1
,Blue Jays,78,84,41,623,162,1438.1,6.2,3.69,1.11,0.294,69.70%,43.90%,10.90%,,4.81,4.56,4.52,12.2
,Marlins,79,83,36,623,162,1456.1,6.82,3.9,0.93,0.295,71.40%,43.10%,9.60%,,4.36,4.21,4.36,11.8
,Reds,78,84,42,624,162,1453.2,6.07,3.41,1.07,0.293,71.50%,45.80%,11.50%,,4.29,4.41,4.3,11.3
,Tigers,55,106,33,533,161,1414,5.05,2.95,1.04,0.302,66.40%,42.30%,9.30%,,4.94,4.45,4.67,11.2
,Padres,66,96,40,622,162,1436.1,6.94,3.65,1.11,0.306,70.50%,44.40%,11.80%,,4.66,4.37,4.22,8.9
,Orioles,67,95,31,569,162,1450.2,6,3.41,1.29,0.286,73.30%,45.50%,13.20%,,4.46,4.74,4.37,8.8
,Rangers,72,90,33,649,162,1439.2,6.44,4.18,1.21,0.298,69.50%,43.20%,12.00%,,5.16,4.84,4.64,7.6
,Royals,62,100,30,583,162,1441,5.68,3.57,1.32,0.296,69.00%,43.10%,12.60%,,5.21,4.91,4.62,7.5
,Pirates,72,89,47,619,161,1412.2,5.86,3.64,1.04,0.29,72.80%,47.80%,12.00%,,4.24,4.49,4.32,7.1
,Rockies,73,89,43,668,162,1426.2,5.8,3.67,1.42,0.292,69.10%,43.60%,13.90%,,5.21,5.08,4.6,6.5
,Brewers,56,106,32,608,162,1432.1,6.45,4.18,1.25,0.289,71.70%,42.10%,12.40%,,4.76,4.86,4.61,4.8
,Devil Rays,55,106,25,467,161,1440.1,5.78,3.87,1.34,0.296,68.80%,38.60%,11.70%,,5.29,5.11,4.94,2.8
2001,Yankees,95,65,57,523,161,1451.1,7.85,2.88,0.98,0.3,71.50%,,,,4.04,3.79,,26.1
,Athletics,102,60,44,578,162,1463.1,6.87,2.71,0.94,0.282,74.00%,,,,3.59,3.88,,23.9
,Cubs,88,74,41,614,162,1437,8.42,3.44,1.03,0.294,72.70%,,,,4.03,3.91,,22.2
,Diamondbacks,92,70,34,583,162,1459.2,8,2.84,1.2,0.284,74.70%,,,,3.88,4.08,,21.8
,Braves,88,74,41,573,162,1447.1,7.05,3.1,0.95,0.283,74.50%,,,,3.59,3.96,,21.1
,Indians,91,71,42,645,162,1446.2,7.58,3.56,0.92,0.315,68.10%,,,,4.65,3.99,,21.1
,Red Sox,82,79,48,585,161,1448,7.83,3.38,0.91,0.299,70.70%,,,,4.18,3.94,,19.1
,Mariners,116,46,56,553,162,1465,6.46,2.86,0.98,0.26,74.80%,,,,3.54,4.12,,18.9
,Blue Jays,80,82,41,633,162,1462.2,6.41,3.02,1.02,0.306,72.40%,,,,4.28,4.25,,18
,Mets,82,80,48,559,162,1445.2,7.41,2.73,1.16,0.29,72.40%,,,,4.08,4.07,,17.2
,Giants,90,72,47,601,162,1463.1,6.64,3.56,0.89,0.29,70.50%,,,,4.19,4.12,,16.6
,Dodgers,86,76,46,570,162,1450.2,7.52,3.25,1.14,0.286,71.80%,,,,4.25,4.26,,16.4
,Astros,93,69,48,567,162,1454.2,7.6,3.01,1.37,0.291,73.00%,,,,4.39,4.48,,14.4
,Expos,68,94,28,653,162,1431.1,6.94,3.3,1.19,0.302,70.10%,,,,4.69,4.46,,14
,Angels,75,87,43,546,162,1437.2,5.93,3.29,1.05,0.286,72.60%,,,,4.2,4.48,,14
,Phillies,86,76,47,635,162,1445.1,6.76,3.28,1.06,0.287,72.90%,,,,4.16,4.31,,13.6
,White Sox,83,79,51,568,162,1433.1,5.78,3.14,1.14,0.285,69.90%,,,,4.55,4.64,,13.4
,Marlins,76,86,32,592,162,1438,7,3.86,0.95,0.292,71.60%,,,,4.32,4.29,,13.2
,Cardinals,93,69,38,646,162,1435.1,6.79,3.3,1.23,0.281,76.10%,,,,3.96,4.57,,12.2
,Twins,85,77,45,564,162,1441.1,6.03,2.78,1.2,0.287,71.20%,,,,4.51,4.48,,11.7
,Rockies,73,89,26,636,162,1430,6.66,3.76,1.5,0.295,69.10%,,,,5.29,5.13,,10.4
,Reds,66,96,35,623,162,1442.2,5.88,3.21,1.24,0.297,69.20%,,,,4.78,4.7,,10.1
,Orioles,63,98,31,554,162,1432.1,5.89,3.32,1.22,0.289,69.60%,,,,4.7,4.76,,9.9
,Pirates,62,100,36,572,162,1416.1,5.77,3.49,1.06,0.293,66.90%,,,,5.05,4.63,,9
,Padres,79,83,46,584,162,1440.2,6.8,2.97,1.37,0.293,71.00%,,,,4.52,4.62,,8.1
,Royals,65,97,30,558,162,1440,5.69,3.6,1.31,0.293,69.90%,,,,4.87,5,,7.6
,Brewers,68,94,28,651,162,1436.1,6.62,4.18,1.23,0.289,72.30%,,,,4.65,4.9,,6.7
,Tigers,66,96,34,553,162,1429.1,5.41,3.48,1.13,0.307,68.80%,,,,5.01,4.8,,6.7
,Devil Rays,62,100,30,532,162,1423.2,6.51,3.6,1.31,0.296,68.00%,,,,4.96,4.85,,6.5
,Rangers,73,89,37,572,162,1438.1,5.95,3.73,1.39,0.312,67.40%,,,,5.71,5.11,,5.8
2000,Braves,95,67,53,538,162,1440.1,6.83,3.02,1.03,0.288,71.90%,,,,4.06,4.19,,22.3
,Diamondbacks,85,77,38,552,162,1443.2,7.61,3.12,1.18,0.297,71.60%,,,,4.36,4.28,,22.1
,Red Sox,85,77,46,587,162,1452.2,6.95,3.09,1.07,0.288,71.20%,,,,4.24,4.29,,20.5
,Indians,90,72,34,624,162,1442.1,7.57,4.16,1.08,0.312,71.00%,,,,4.84,4.48,,20.4
,Mets,94,68,49,573,162,1450,7.22,3.56,1.02,0.286,71.80%,,,,4.16,4.31,,19.1
,Yankees,87,74,40,543,161,1424.1,6.57,3.65,1.12,0.29,69.20%,,,,4.76,4.61,,17.5
,Tigers,79,83,44,591,162,1443.1,6.1,3.09,1.1,0.306,69.20%,,,,4.73,4.5,,17.3
,Athletics,91,70,43,542,161,1435.1,6.04,3.86,0.99,0.301,70.10%,,,,4.58,4.61,,17.1
,Dodgers,86,76,36,533,162,1445,7.19,3.74,1.1,0.283,73.30%,,,,4.1,4.52,,16.5
,White Sox,95,67,43,628,162,1450.1,6.44,3.81,1.21,0.296,70.30%,,,,4.67,4.83,,16.5
,Giants,97,65,47,546,162,1444.1,6.7,3.88,0.94,0.297,71.90%,,,,4.21,4.38,,16.4
,Rockies,82,80,33,641,162,1430,6.3,3.7,1.39,0.302,69.40%,,,,5.29,5.13,,16.4
,Mariners,91,71,44,545,162,1441.2,6.23,3.96,1.04,0.288,70.90%,,,,4.53,4.65,,15.5
,Cardinals,95,67,37,548,162,1433.2,6.91,3.8,1.23,0.285,72.40%,,,,4.4,4.77,,15
,Blue Jays,83,79,37,550,162,1437.1,6.12,3.51,1.22,0.31,67.70%,,,,5.17,4.84,,14.1
,Expos,67,95,39,614,162,1424.2,6.39,3.66,1.14,0.309,66.90%,,,,5.14,4.71,,13.8
,Reds,85,77,42,550,163,1456.1,6.27,4.07,1.17,0.282,73.50%,,,,4.33,4.88,,13.8
,Devil Rays,69,92,38,562,161,1431.1,6,3.35,1.24,0.299,69.90%,,,,4.86,4.85,,13.6
,Twins,69,93,35,574,162,1432.2,6.55,3.24,1.33,0.314,69.10%,,,,5.16,4.76,,13.3
,Pirates,69,93,27,628,162,1449,6.65,4.42,1.01,0.308,68.50%,,,,4.94,4.72,,13.2
,Marlins,79,82,48,590,161,1429.2,6.62,4.09,1.06,0.298,71.00%,,,,4.59,4.65,,13.1
,Orioles,74,88,33,558,162,1433.1,6.39,4.18,1.27,0.298,67.90%,,,,5.37,5.01,,12
,Rangers,71,91,39,577,162,1429,5.78,4.16,1.27,0.314,67.50%,,,,5.52,5.21,,11
,Phillies,65,97,34,575,162,1438.2,7.03,4,1.26,0.292,70.50%,,,,4.79,4.81,,10.9
,Brewers,73,89,29,596,163,1466.1,5.94,4.47,1.07,0.291,71.60%,,,,4.63,4.98,,10.3
,Padres,76,86,46,605,162,1459.1,6.61,4,1.18,0.282,71.10%,,,,4.52,4.84,,9.5
,Astros,72,90,30,572,162,1437.2,6.66,3.74,1.46,0.303,68.00%,,,,5.42,5.14,,8.7
,Cubs,65,97,39,583,162,1454.2,7.07,4.07,1.43,0.292,69.50%,,,,5.26,5.11,,8.1
,Royals,77,85,29,491,162,1439.1,5.8,4.33,1.49,0.296,70.00%,,,,5.48,5.54,,6.7
,Angels,82,80,46,603,162,1448,5.26,4.11,1.42,0.282,71.30%,,,,5.02,5.46,,4.9
1999,Braves,103,59,45,556,162,1471,7.32,3.1,0.87,0.289,73.30%,,,,3.65,3.85,,27.8
,Astros,97,65,48,501,162,1458.2,7.43,2.95,0.79,0.312,72.80%,,,,3.84,3.69,,26.7
,Red Sox,94,68,50,574,162,1436.2,7.09,2.94,1,0.287,70.90%,,,,4,4.1,,23.5
,Diamondbacks,100,62,42,544,162,1467.1,7.35,3.33,1.08,0.284,75.20%,,,,3.77,4.27,,21.7
,Yankees,98,64,50,521,162,1439.2,6.95,3.63,0.99,0.288,72.00%,,,,4.16,4.35,,21.2
,Athletics,87,75,48,568,162,1438.1,6.05,3.56,1,0.302,67.90%,,,,4.76,4.53,,18.6
,Rangers,95,67,47,601,162,1436.1,6.13,3.19,1.17,0.313,68.70%,,,,5.07,4.6,,18.4
,Expos,68,94,44,594,162,1434.1,6.54,3.59,0.95,0.301,66.70%,,,,4.69,4.38,,17.9
,Mets,97,66,49,602,163,1456.2,7.24,3.81,1.03,0.285,73.60%,,,,4.27,4.39,,15.9
,Indians,97,65,46,628,162,1450.1,6.95,3.93,1.22,0.299,69.50%,,,,4.91,4.78,,15.5
,Pirates,78,83,34,586,161,1433.1,6.8,3.97,1,0.296,70.70%,,,,4.35,4.51,,14.9
,Cardinals,75,86,38,615,161,1445.1,6.38,4.15,1,0.301,69.70%,,,,4.76,4.68,,14
,Blue Jays,84,78,39,539,162,1439,6.31,3.6,1.19,0.306,69.40%,,,,4.93,4.77,,13.9
,Reds,96,67,55,544,163,1462,6.65,3.92,1.17,0.262,74.20%,,,,3.99,4.74,,13.7
,Angels,70,92,37,562,162,1431.1,5.51,3.92,1.11,0.286,69.60%,,,,4.79,4.94,,13.3
,Devil Rays,69,93,45,615,162,1433,6.63,4.36,1.08,0.32,68.60%,,,,5.06,4.84,,12.9
,Dodgers,77,85,37,561,162,1452.2,6.67,3.68,1.19,0.284,71.60%,,,,4.45,4.72,,12.6
,Tigers,69,92,33,581,161,1420.2,6.18,3.69,1.32,0.297,68.80%,,,,5.22,5.05,,12.4
,Twins,63,97,34,578,161,1423.1,5.86,3.08,1.32,0.303,69.50%,,,,5.03,4.82,,12.2
,Padres,74,88,43,564,162,1420.1,6.83,3.35,1.22,0.292,70.80%,,,,4.47,4.57,,12
,Orioles,78,84,33,555,162,1435,6.16,4.06,1.24,0.29,71.50%,,,,4.77,5.01,,11.7
,White Sox,75,86,39,571,162,1438.1,6.06,3.73,1.31,0.303,70.80%,,,,4.92,5.06,,11.3
,Giants,86,76,42,612,162,1456.1,6.65,4.05,1.2,0.29,70.90%,,,,4.71,4.84,,9.8
,Cubs,67,95,32,602,162,1430.2,6.16,3.33,1.39,0.304,67.30%,,,,5.27,4.94,,9.5
,Mariners,79,83,40,508,162,1433.2,6.15,4.29,1.2,0.313,69.60%,,,,5.25,5.08,,9.1
,Marlins,64,98,33,614,162,1435.2,5.91,4.11,1.07,0.304,69.80%,,,,4.9,4.85,,9.1
,Rockies,72,90,33,582,162,1429,6.5,4.64,1.49,0.325,67.80%,,,,6.03,5.52,,8.4
,Royals,64,97,29,577,161,1420.2,5.26,4.07,1.28,0.303,68.60%,,,,5.35,5.31,,7.4
,Brewers,74,87,40,614,161,1442.2,6.16,3.84,1.33,0.305,70.40%,,,,5.08,5.07,,7
,Phillies,77,85,32,603,162,1438.1,6.44,3.92,1.33,0.29,70.80%,,,,4.93,5.05,,6.9
1998,Braves,106,56,45,516,162,1438.2,7.71,2.92,0.73,0.285,74.40%,,,,3.25,3.53,,27
,Padres,98,64,59,531,162,1454.2,7.53,3.1,0.86,0.293,74.70%,,,,3.63,3.84,,21.4
,Yankees,114,48,48,496,162,1456.2,6.67,2.88,0.96,0.277,73.80%,,,,3.82,4.15,,21.2
,Blue Jays,88,74,47,547,163,1465,7.09,3.61,1.04,0.29,71.10%,,,,4.29,4.36,,18.5
,Astros,102,60,44,501,162,1471.1,7.26,2.84,0.9,0.295,76.10%,,,,3.5,3.86,,18.4
,Rangers,88,74,46,564,162,1431.1,6.25,3.26,1.03,0.315,67.20%,,,,5,4.42,,17.9
,Pirates,69,93,41,558,163,1449,6.91,3.29,0.91,0.292,71.40%,,,,3.91,4.08,,17.5
,Dodgers,83,79,47,504,162,1447.1,7.33,3.65,0.84,0.284,72.60%,,,,3.81,4.06,,17.5
,Orioles,79,83,37,564,162,1431.1,6.7,3.36,1.06,0.304,70.30%,,,,4.74,4.4,,16.2
,Mariners,76,85,31,529,161,1424.1,7.3,3.34,1.24,0.308,68.50%,,,,4.95,4.54,,15.8
,Rockies,77,85,36,568,162,1432.2,5.97,3.53,1.09,0.311,68.90%,,,,5,4.7,,15.8
,Angels,85,77,52,577,162,1444,6.8,3.93,1.02,0.3,71.30%,,,,4.49,4.51,,15.7
,Indians,89,73,47,585,162,1460,6.39,3.47,1.05,0.303,72.20%,,,,4.45,4.54,,15.6
,Red Sox,92,70,53,594,162,1436,6.42,3.16,1.05,0.282,71.40%,,,,4.19,4.4,,15.5
,Cubs,90,73,56,612,163,1477.1,7.35,3.5,1.1,0.302,71.60%,,,,4.5,4.35,,14.7
,Mets,88,74,46,561,162,1458,6.97,3.28,0.94,0.287,75.60%,,,,3.77,4.18,,14.6
,Twins,70,92,42,594,162,1447.2,5.92,2.84,1.12,0.308,69.70%,,,,4.76,4.48,,14.3
,Tigers,65,97,32,608,162,1446.1,5.89,3.7,1.15,0.3,68.70%,,,,4.93,4.81,,12.8
,Reds,77,85,42,528,162,1441.1,6.86,3.58,1.06,0.285,70.80%,,,,4.44,4.45,,12.8
,Cardinals,83,79,44,591,163,1469.2,5.95,3.42,0.92,0.292,70.20%,,,,4.32,4.4,,12.5
,Expos,65,97,39,605,162,1427,6.41,3.36,0.98,0.291,69.00%,,,,4.39,4.38,,12.2
,Giants,89,74,44,596,163,1477,6.64,3.42,1.04,0.287,72.70%,,,,4.19,4.42,,12
,Athletics,74,88,39,570,162,1434,5.79,3.32,1.12,0.298,67.40%,,,,4.83,4.7,,11.9
,Phillies,75,87,32,547,162,1463,7.23,3.35,1.16,0.294,69.90%,,,,4.64,4.43,,11.8
,Royals,72,89,46,549,161,1436.1,6.26,3.56,1.23,0.307,67.90%,,,,5.16,4.83,,11.3
,Devil Rays,63,99,28,572,162,1443,6.29,4.01,1.07,0.287,73.20%,,,,4.35,4.79,,10.8
,Diamondbacks,65,97,37,530,162,1432.1,5.71,3.07,1.18,0.282,68.30%,,,,4.64,4.69,,8.9
,Brewers,74,88,39,577,162,1451,6.59,3.41,1.17,0.302,70.90%,,,,4.63,4.62,,8.5
,White Sox,80,82,42,568,163,1438.2,5.7,3.63,1.32,0.294,66.70%,,,,5.24,5.1,,5.5
,Marlins,54,108,24,582,162,1449.2,6.31,4.44,1.13,0.313,68.70%,,,,5.2,4.97,,1.5
1997,Braves,101,61,37,536,162,1465.2,7.34,2.76,0.68,0.283,74.10%,,,,3.18,3.45,,28.5
,Yankees,96,66,51,530,162,1467.2,7.14,3.26,0.88,0.3,73.50%,,,,3.84,3.98,,23.5
,Blue Jays,76,86,34,498,162,1442.2,7.17,3.1,1.04,0.299,73.80%,,,,3.93,4.13,,21.9
,Cardinals,73,89,39,561,162,1455.2,6.99,3.31,0.77,0.297,71.00%,,,,3.88,3.89,,20.6
,Orioles,98,64,59,562,162,1461,7.02,3.47,1.01,0.287,74.50%,,,,3.91,4.23,,20.2
,Astros,84,78,37,516,162,1459,7.02,3.15,0.83,0.287,73.10%,,,,3.67,3.9,,16.5
,Tigers,79,83,42,579,162,1445.2,6.11,3.44,1.11,0.289,70.30%,,,,4.56,4.59,,15.9
,Mariners,90,72,38,554,162,1447.2,7.5,3.72,1.19,0.304,70.20%,,,,4.79,4.54,,15.2
,Marlins,92,70,39,566,162,1446.2,7.39,3.98,0.81,0.291,74.10%,,,,3.83,4.1,,15.2
,Rangers,77,85,33,544,162,1429.2,5.82,3.41,1.06,0.308,69.80%,,,,4.7,4.57,,15
,Dodgers,88,74,45,574,162,1459.1,7.6,3.37,1.01,0.276,75.30%,,,,3.63,4.09,,14.7
,Expos,78,84,37,552,162,1447,7.08,3.46,0.93,0.284,70.10%,,,,4.14,4.16,,14.6
,Pirates,79,83,41,613,162,1436,6.77,3.51,0.9,0.306,70.90%,,,,4.28,4.2,,14.3
,Brewers,78,83,44,528,161,1427.1,6.41,3.42,1.12,0.287,72.10%,,,,4.23,4.57,,14.2
,Royals,67,94,29,554,161,1443,5.99,3.31,1.16,0.296,69.80%,,,,4.71,4.67,,13.8
,Red Sox,78,84,40,579,162,1451.2,6.12,3.79,0.92,0.307,68.20%,,,,4.85,4.49,,12.9
,Reds,76,86,49,585,162,1449,7.2,3.47,1.07,0.287,71.00%,,,,4.42,4.38,,12.7
,Phillies,68,94,35,571,162,1420.1,7.66,3.9,1.08,0.304,68.00%,,,,4.87,4.4,,12.2
,Mets,88,74,49,538,162,1459.1,6.06,3.11,0.99,0.286,72.70%,,,,3.95,4.32,,11.8
,Indians,86,75,39,589,161,1425.2,6.54,3.63,1.14,0.305,70.50%,,,,4.73,4.62,,11.8
,Twins,68,94,30,552,162,1434,5.7,3.11,1.17,0.305,67.80%,,,,5.02,4.64,,11.7
,White Sox,80,81,52,550,161,1422.1,6.08,3.64,1.11,0.294,68.50%,,,,4.74,4.64,,11.1
,Angels,84,78,39,562,162,1454.2,6.5,3.74,1.25,0.293,72.80%,,,,4.52,4.83,,10.8
,Rockies,83,79,38,588,162,1432.2,5.47,3.56,1.23,0.318,69.20%,,,,5.25,5,,10.4
,Giants,90,72,45,643,162,1446,6.5,3.6,1,0.299,69.80%,,,,4.43,4.38,,10.3
,Cubs,68,94,37,603,162,1429,6.75,3.72,1.17,0.292,72.60%,,,,4.44,4.62,,9.3
,Padres,76,86,43,588,162,1450,6.57,3.7,1.07,0.31,67.40%,,,,4.98,4.55,,7.1
,Athletics,65,97,38,642,162,1445.1,5.93,4,1.23,0.324,69.00%,,,,5.49,5.03,,4.8
1996,Braves,96,66,46,570,162,1469,7.63,2.76,0.74,0.291,71.30%,,,,3.54,3.5,,29.5
,Yankees,92,70,52,573,162,1440,7.12,3.81,0.89,0.305,69.60%,,,,4.65,4.25,,23
