,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,WAR
,Rangers,78,84,33,661,162,1438,8.63,3.65,1.51,0.312,70.50%,41.80%,15.40%,88.8,5.09,4.84,4.82,14.2
,Diamondbacks,85,77,45,719,162,1465,8.77,3.17,1.35,0.295,74.00%,43.10%,15.20%,89,4.25,4.4,4.42,13.9
,Brewers,89,73,50,750,162,1459.1,9.23,3.52,1.39,0.292,73.10%,42.20%,15.60%,87.9,4.4,4.46,4.42,12.9
,Braves,97,65,44,737,162,1450.2,8.64,3.4,1.26,0.302,73.80%,45.20%,15.00%,88.9,4.2,4.39,4.42,12.3
,White Sox,72,89,33,697,161,1412.2,8.36,3.71,1.52,0.302,71.30%,43.20%,15.90%,88.8,4.91,4.89,4.81,12.3
,Tigers,47,114,31,738,161,1433,8.59,3.37,1.57,0.317,68.80%,42.70%,15.90%,89.7,5.26,4.84,4.75,11.2
,Blue Jays,67,95,33,753,162,1440.1,8.32,3.77,1.42,0.3,71.80%,43.10%,14.90%,88.9,4.79,4.82,4.88,9.1
,Pirates,69,93,31,712,162,1440,9.02,3.65,1.51,0.315,68.90%,42.20%,15.70%,88.8,5.19,4.78,4.72,8.8
,Phillies,81,81,36,726,162,1453.2,8.62,3.38,1.6,0.298,74.70%,43.10%,17.90%,88.6,4.53,4.88,4.55,8.4
,Royals,59,103,37,682,162,1425,7.77,3.68,1.4,0.311,70.20%,43.90%,14.70%,89.8,5.2,4.9,4.98,7.7
,Giants,77,85,41,749,162,1469,8.38,3.18,1.39,0.286,72.60%,42.20%,15.10%,89.4,4.38,4.55,4.58,7.6
,Rockies,71,91,28,752,162,1448.2,7.85,3.66,1.68,0.308,68.50%,46.10%,19.00%,89.9,5.58,5.23,4.75,6.7
,Marlins,57,105,27,701,162,1444.1,8.59,3.83,1.47,0.281,72.10%,38.30%,14.20%,88.6,4.74,4.89,5.06,5.9
,Mariners,68,94,34,700,162,1439.1,7.75,3.16,1.63,0.291,68.40%,43.40%,16.40%,89.5,5,5,4.85,5.8
,Angels,72,90,32,751,162,1442.2,8.76,3.59,1.67,0.29,70.90%,40.40%,17.00%,89,5.12,5.04,4.8,5.8
,Orioles,54,108,27,695,162,1443,7.78,3.5,1.9,0.295,68.50%,40.50%,17.40%,89.5,5.67,5.56,5.23,5.5
2018,Astros,103,59,46,672,162,1455,10.44,2.69,0.94,0.283,77.90%,44.00%,11.60%,87.8,3.11,3.23,3.36,29.1
,Yankees,100,62,49,670,162,1456.1,10.1,3.05,1.09,0.3,73.90%,42.90%,12.90%,87.9,3.78,3.63,3.61,24.2
,Indians,91,71,41,670,162,1457.1,9.54,2.51,1.24,0.298,76.00%,42.50%,13.70%,88.3,3.77,3.79,3.66,22.1
,Phillies,80,82,44,758,162,1445.2,9.12,3.11,1.06,0.303,71.00%,45.40%,12.40%,88,4.15,3.83,3.87,19.2
,Dodgers,92,71,48,756,163,1476,9.54,2.57,1.09,0.284,76.20%,44.90%,13.40%,87.6,3.4,3.6,3.52,18.6
,Red Sox,108,54,46,697,162,1458.2,9.61,3.16,1.09,0.294,75.80%,42.40%,11.90%,88.5,3.75,3.82,3.92,18.3
,Mets,77,85,41,663,162,1460.2,8.91,2.98,1.14,0.295,73.00%,42.10%,12.20%,87.7,4.07,3.97,4.03,17.7
,Rays,90,72,52,715,162,1448.1,8.83,3.11,1.02,0.278,73.30%,43.90%,11.50%,88.3,3.75,3.82,3.98,17.5
,Rockies,91,72,51,681,163,1452.1,8.73,3.25,1.14,0.299,71.30%,45.20%,13.50%,88.5,4.33,4.06,3.96,17.3
,Nationals,82,80,40,724,162,1446,8.82,3.03,1.23,0.287,74.80%,41.20%,12.80%,87.9,4.04,4.15,4.13,16.7
,Mariners,89,73,60,699,162,1448.2,8.25,2.49,1.21,0.295,72.50%,42.50%,12.70%,88.8,4.13,4.05,4.06,16
,Brewers,96,67,49,722,163,1461,8.8,3.41,1.07,0.279,74.40%,43.20%,12.50%,88.1,3.73,4.01,4.04,15.2
,Pirates,82,79,40,641,161,1434,8.38,3.12,1.09,0.296,73.60%,43.40%,12.10%,88.8,4,4.06,4.14,15.1
,Cubs,95,68,46,763,163,1476.1,8.13,3.79,0.96,0.284,76.20%,45.00%,11.50%,88.2,3.65,4.14,4.29,15.1
,Braves,90,72,40,715,162,1456.2,8.79,3.92,0.95,0.278,74.10%,43.30%,11.20%,88.2,3.75,3.99,4.17,14.9
,Cardinals,88,74,43,727,162,1455.1,8.27,3.67,0.89,0.293,73.00%,44.60%,10.50%,87.6,3.85,3.97,4.24,14.1
