"","League","Team","Yr","G","W","L","D","G_h1","PA_h1","AB_h1","R_h1","H_h1","X2B_h1","X3B_h1","HR_h1","SB_h1","CS_h1","BBHBP_h1","AVG_h1","OBP_h1","SLG_h1","wOBA_h1","WPA_h1","BABIP_h1","wRC_h1","IP_p1","R_p1","ER_p1","H_p1","X2B_p1","X3B_p1","HR_p1","BBHBP_p1","SO_p1","ERA_p1","FIP_p1","WPA_p1","BABIP_p1","AVG_p1","OBP_p1","SLG_p1","bwRCplus_h","bWAR_h","bFIPplus_p","bWAR_p"
"253","NPB","Taiyo Wh",1959,130,49,77,4,130,4639,4233,352,906,140,28,73,81,57,NA,0.214,0.267,0.312,NA,NA,NA,NA,1157,514,446,1063,NA,NA,110,393,742,3.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","NPB","Toei Fly",1959,135,67,63,5,135,5022,4629,490,1120,182,54,78,88,36,NA,0.242,0.284,0.355,NA,NA,NA,NA,1225.1,483,406,1131,NA,NA,76,306,687,2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","NPB","Yomiuri ",1959,130,77,48,5,130,4839,4310,551,1055,137,49,117,119,49,NA,0.245,0.313,0.381,NA,NA,NA,NA,1170,382,330,916,NA,NA,75,382,723,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","NPB","Chunichi",1960,130,63,67,0,130,4665,4209,436,966,161,35,87,160,73,354,0.23,0.287,0.346,NA,NA,NA,NA,1159,454,397,1017,NA,NA,95,343,688,3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","NPB","Daimai O",1960,133,82,48,3,133,5003,4522,547,1183,193,39,100,88,38,392,0.262,0.319,0.388,NA,NA,NA,NA,1199.2,433,354,1034,NA,NA,79,334,743,2.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","NPB","Hankyu B",1960,136,65,65,6,136,4978,4580,447,1112,185,39,64,105,65,303,0.243,0.289,0.342,NA,NA,NA,NA,1220.1,473,406,1132,NA,NA,81,354,776,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","NPB","Hiroshim",1960,130,62,61,7,130,4778,4289,426,985,152,36,84,97,46,363,0.23,0.288,0.341,NA,NA,NA,NA,1165.1,403,350,1012,NA,NA,65,394,612,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","NPB","Kokutets",1960,130,54,72,4,130,4715,4315,388,1000,161,27,73,107,39,288,0.232,0.279,0.332,NA,NA,NA,NA,1157.1,461,397,1027,NA,NA,94,327,756,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","NPB","Nankai H",1960,136,78,52,6,136,5002,4564,519,1128,190,26,103,89,45,353,0.247,0.299,0.368,NA,NA,NA,NA,1226.1,459,392,1091,NA,NA,92,357,871,2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","NPB","Nishitet",1960,136,70,60,6,136,5016,4537,537,1138,179,41,97,80,42,376,0.251,0.306,0.372,NA,NA,NA,NA,1212.1,467,411,1077,NA,NA,87,344,889,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","NPB","Osaka Ki",1960,131,43,87,1,131,4775,4372,408,1031,194,29,69,51,40,316,0.236,0.286,0.341,NA,NA,NA,NA,1161.1,570,466,1121,NA,NA,90,390,739,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","NPB","Osaka Ti",1960,130,64,62,4,130,4724,4250,436,1028,179,47,87,115,59,359,0.242,0.3,0.368,NA,NA,NA,NA,1159.2,403,338,955,NA,NA,78,301,717,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","NPB","Taiyo Wh",1960,130,70,56,4,130,4614,4156,411,957,169,35,60,149,70,335,0.23,0.286,0.331,NA,NA,NA,NA,1165.1,361,301,884,NA,NA,66,394,836,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","NPB","Toei Fly",1960,132,52,78,2,132,4833,4428,436,1043,147,30,80,114,58,304,0.236,0.284,0.336,NA,NA,NA,NA,1189,492,386,1180,NA,NA,84,265,671,2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","NPB","Yomiuri ",1960,130,66,61,3,130,4745,4218,444,967,153,34,106,99,43,429,0.229,0.299,0.357,NA,NA,NA,NA,1160.1,459,398,1008,NA,NA,99,369,693,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","NPB","Chunichi",1961,130,72,56,2,130,4746,4251,427,1024,156,30,79,88,73,353,0.241,0.297,0.347,NA,NA,NA,NA,1179,385,325,976,NA,NA,66,323,747,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","NPB","Daimai O",1961,140,72,66,2,140,5217,4776,601,1234,228,36,103,84,26,339,0.258,0.305,0.386,NA,NA,NA,NA,1243.1,529,447,1123,NA,NA,97,453,794,3.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","NPB","Hankyu B",1961,140,53,84,3,140,5063,4588,421,1033,190,32,65,93,65,402,0.225,0.287,0.323,NA,NA,NA,NA,1233.1,574,488,1240,NA,NA,110,355,736,3.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","NPB","Hanshin ",1961,130,60,67,3,130,4728,4322,405,1053,164,30,80,103,63,307,0.244,0.292,0.351,NA,NA,NA,NA,1178.2,411,340,1030,NA,NA,80,315,712,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","NPB","Hiroshim",1961,130,58,67,5,130,4794,4298,417,1026,174,25,74,49,49,377,0.239,0.298,0.342,NA,NA,NA,NA,1162,464,402,1054,NA,NA,89,366,602,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","NPB","Kokutets",1961,130,67,60,3,130,4804,4304,387,979,151,23,58,67,50,381,0.227,0.289,0.314,NA,NA,NA,NA,1183,361,301,968,NA,NA,75,293,638,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","NPB","Nankai H",1961,140,85,49,6,140,5206,4734,613,1239,210,24,117,113,50,383,0.262,0.315,0.39,NA,NA,NA,NA,1253.2,484,413,1112,NA,NA,99,338,900,2.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","NPB","Nishitet",1961,140,81,56,3,140,5121,4624,545,1151,175,29,110,107,53,409,0.249,0.308,0.371,NA,NA,NA,NA,1244.2,485,392,1119,NA,NA,84,385,943,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","NPB","Osaka Ki",1961,140,36,103,1,140,5147,4726,411,1080,198,21,68,38,50,327,0.229,0.277,0.322,NA,NA,NA,NA,1244.2,691,548,1337,NA,NA,112,437,733,3.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","NPB","Taiyo Wh",1961,130,50,75,5,130,4760,4295,418,1012,151,23,76,119,72,351,0.236,0.292,0.335,NA,NA,NA,NA,1167.2,485,402,1056,NA,NA,78,456,713,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","NPB","Toei Fly",1961,140,83,52,5,140,5324,4812,614,1271,247,56,108,133,62,397,0.264,0.319,0.406,NA,NA,NA,NA,1270.2,442,338,1077,NA,NA,69,289,785,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","NPB","Yomiuri ",1961,130,71,53,6,130,4770,4228,435,958,165,30,89,78,60,433,0.227,0.297,0.343,NA,NA,NA,NA,1183,383,329,968,NA,NA,68,449,675,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","NPB","Chunichi",1962,133,70,60,3,133,4952,4504,469,1123,158,26,107,68,55,333,0.249,0.299,0.367,NA,NA,NA,NA,1210.1,407,360,1027,NA,NA,81,248,645,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","NPB","Daimai O",1962,132,60,70,2,132,4979,4580,552,1228,203,31,92,75,37,315,0.268,0.313,0.386,NA,NA,NA,NA,1173.2,571,484,1070,NA,NA,93,482,725,3.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","NPB","Hankyu B",1962,131,60,70,1,131,4719,4266,451,976,173,41,60,107,61,347,0.229,0.285,0.331,NA,NA,NA,NA,1169,517,436,1131,NA,NA,73,341,797,3.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","NPB","Hanshin ",1962,133,75,55,3,133,4793,4359,386,970,155,26,64,68,52,347,0.223,0.279,0.314,NA,NA,NA,NA,1221.2,330,275,980,NA,NA,68,276,825,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","NPB","Hiroshim",1962,134,56,74,4,134,4927,4477,436,1068,154,28,75,66,54,349,0.239,0.292,0.336,NA,NA,NA,NA,1201,493,441,1131,NA,NA,108,366,634,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","NPB","Kokutets",1962,134,51,79,4,134,4811,4409,313,886,138,18,60,54,45,310,0.201,0.253,0.281,NA,NA,NA,NA,1226.1,421,356,1056,NA,NA,91,322,737,2.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","NPB","Nankai H",1962,133,73,57,3,133,4997,4525,580,1143,188,24,119,137,58,366,0.253,0.306,0.384,NA,NA,NA,NA,1200.2,510,437,1160,NA,NA,88,344,707,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","NPB","Nishitet",1962,136,62,68,6,136,5007,4501,483,1103,161,36,92,89,30,391,0.245,0.303,0.358,NA,NA,NA,NA,1221.1,489,407,1106,NA,NA,99,355,864,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","NPB","Osaka Ki",1962,131,57,73,1,131,4794,4417,464,1115,180,36,70,64,50,299,0.252,0.299,0.357,NA,NA,NA,NA,1157.2,566,437,1172,NA,NA,91,370,715,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","NPB","Taiyo Wh",1962,134,71,59,4,134,4841,4466,428,1079,173,18,100,61,46,285,0.242,0.286,0.356,NA,NA,NA,NA,1213.1,438,368,989,NA,NA,80,439,915,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","NPB","Toei Fly",1962,133,78,52,3,133,4981,4400,539,1109,173,39,85,149,26,427,0.252,0.316,0.367,NA,NA,NA,NA,1191.2,416,321,1035,NA,NA,74,253,762,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","NPB","Yomiuri ",1962,134,67,63,4,134,5005,4521,452,1050,188,30,102,85,47,393,0.232,0.293,0.355,NA,NA,NA,NA,1235.2,395,339,993,NA,NA,80,366,754,2.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","NPB","Chunichi",1963,140,80,57,3,140,5175,4666,529,1149,177,18,120,116,67,416,0.246,0.307,0.369,NA,NA,NA,NA,1260,461,398,1074,NA,NA,98,380,519,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","NPB","Daimai O",1963,150,64,85,1,150,5415,4946,510,1218,195,19,117,85,62,349,0.246,0.294,0.364,NA,NA,NA,NA,1320,535,448,1109,NA,NA,106,469,837,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","NPB","Hankyu B",1963,150,57,92,1,150,5408,4968,459,1132,180,26,86,85,70,381,0.228,0.282,0.326,NA,NA,NA,NA,1335.2,639,548,1329,NA,NA,136,423,768,3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","NPB","Hanshin ",1963,140,69,70,1,140,5087,4614,472,1103,180,25,95,79,63,392,0.239,0.297,0.351,NA,NA,NA,NA,1253,521,445,1164,NA,NA,115,401,595,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","NPB","Hiroshim",1963,140,58,80,2,140,5263,4755,515,1205,187,20,92,76,38,388,0.253,0.308,0.359,NA,NA,NA,NA,1262.2,604,537,1226,NA,NA,145,427,568,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","NPB","Kokutets",1963,140,65,73,2,140,5114,4620,472,1113,168,24,95,101,66,384,0.241,0.297,0.349,NA,NA,NA,NA,1264,489,442,1088,NA,NA,113,440,727,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","NPB","Nankai H",1963,150,85,61,4,150,5666,5105,626,1308,174,32,184,100,55,422,0.256,0.311,0.411,NA,NA,NA,NA,1365,485,410,1188,NA,NA,111,371,713,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","NPB","Nishitet",1963,150,86,60,4,150,5576,5013,584,1222,175,19,146,102,77,444,0.244,0.304,0.374,NA,NA,NA,NA,1375,477,411,1194,NA,NA,105,449,811,2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","NPB","Osaka Ki",1963,150,74,73,3,150,5482,4992,562,1279,232,31,98,84,64,389,0.256,0.308,0.374,NA,NA,NA,NA,1332,614,509,1260,NA,NA,150,394,704,3.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","NPB","Taiyo Wh",1963,140,59,79,2,140,5062,4532,448,1072,170,11,110,73,56,388,0.237,0.295,0.352,NA,NA,NA,NA,1241.1,540,454,1196,NA,NA,104,523,649,3.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","NPB","Toei Fly",1963,150,76,71,3,150,5521,4959,543,1168,176,36,114,124,51,428,0.236,0.295,0.355,NA,NA,NA,NA,1345,534,452,1247,NA,NA,137,307,708,3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","NPB","Yomiuri ",1963,140,83,55,2,140,5264,4616,611,1140,161,31,143,153,63,541,0.247,0.324,0.388,NA,NA,NA,NA,1252.2,432,358,1034,NA,NA,80,338,614,2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","NPB","Chunichi",1964,140,57,83,0,140,5212,4749,492,1204,199,25,114,111,55,347,0.254,0.302,0.378,NA,NA,NA,NA,1257.2,596,507,1191,NA,NA,140,458,561,3.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","NPB","Hankyu B",1964,150,79,65,6,150,5591,5048,590,1235,221,27,141,68,39,419,0.245,0.3,0.383,NA,NA,NA,NA,1366.1,547,457,1265,NA,NA,102,347,745,3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","NPB","Hanshin ",1964,140,80,56,4,140,5079,4579,492,1101,174,19,114,97,47,385,0.24,0.297,0.361,NA,NA,NA,NA,1266.1,434,387,1061,NA,NA,103,362,663,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","NPB","Hiroshim",1964,140,64,73,3,140,5212,4676,465,1132,159,20,98,90,31,415,0.242,0.302,0.348,NA,NA,NA,NA,1257.1,508,461,1157,NA,NA,137,401,580,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","NPB","Kokutets",1964,140,61,74,5,140,5202,4694,486,1138,167,15,117,101,57,404,0.242,0.301,0.359,NA,NA,NA,NA,1276,545,487,1180,NA,NA,128,429,676,3.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","NPB","Nankai H",1964,150,84,63,3,150,5662,5083,653,1315,196,21,144,171,56,467,0.259,0.319,0.391,NA,NA,NA,NA,1344.2,562,466,1230,NA,NA,130,407,820,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","NPB","Nishitet",1964,150,63,81,6,150,5564,5045,549,1220,191,25,116,78,77,397,0.242,0.296,0.359,NA,NA,NA,NA,1347,617,534,1300,NA,NA,125,525,622,3.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","NPB","Osaka Ki",1964,150,55,91,4,150,5608,5095,546,1295,225,32,112,71,51,393,0.254,0.305,0.377,NA,NA,NA,NA,1339.2,660,541,1393,NA,NA,122,415,648,3.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","NPB","Taiyo Wh",1964,140,80,58,2,140,5222,4718,556,1204,197,16,134,71,58,369,0.255,0.308,0.389,NA,NA,NA,NA,1281.2,496,431,1142,NA,NA,104,452,690,3.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","NPB","Toei Fly",1964,150,78,68,4,150,5663,5096,555,1273,188,36,100,119,53,435,0.25,0.307,0.36,NA,NA,NA,NA,1368,530,448,1222,NA,NA,104,400,718,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","NPB","Tokyo Or",1964,150,77,68,5,150,5604,5060,535,1262,179,29,93,121,60,411,0.249,0.304,0.351,NA,NA,NA,NA,1361.2,512,433,1190,NA,NA,123,428,795,2.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","NPB","Yomiuri ",1964,140,71,69,0,140,5201,4576,560,1077,161,22,147,128,50,534,0.235,0.314,0.377,NA,NA,NA,NA,1242.1,472,416,1125,NA,NA,112,352,614,3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","NPB","Chunichi",1965,140,77,59,4,140,5163,4682,510,1158,161,31,100,130,63,353,0.247,0.298,0.359,NA,NA,NA,NA,1271,431,367,1085,NA,NA,90,395,702,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","NPB","Hankyu B",1965,140,67,71,2,140,5121,4648,500,1089,187,17,130,68,48,387,0.234,0.291,0.366,NA,NA,NA,NA,1258.1,549,466,1247,NA,NA,122,330,718,3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","NPB","Hanshin ",1965,140,71,66,3,140,4939,4488,393,989,168,25,94,86,46,330,0.22,0.272,0.332,NA,NA,NA,NA,1252.1,394,344,1021,NA,NA,68,334,669,2.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","NPB","Hiroshim",1965,140,59,77,4,140,5083,4586,394,1057,142,21,72,85,65,377,0.23,0.287,0.318,NA,NA,NA,NA,1259.1,451,397,1096,NA,NA,115,358,610,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","NPB","Nankai H",1965,140,88,49,3,140,5228,4771,614,1217,197,27,153,91,49,372,0.255,0.307,0.404,NA,NA,NA,NA,1266.2,449,394,1052,NA,NA,128,377,785,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","NPB","Nishitet",1965,140,72,64,4,140,5159,4676,506,1148,186,14,112,81,56,372,0.246,0.299,0.363,NA,NA,NA,NA,1255.2,476,418,1047,NA,NA,110,371,757,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","NPB","Osaka Ki",1965,140,46,92,2,140,4989,4620,397,1087,163,11,91,61,48,300,0.235,0.281,0.334,NA,NA,NA,NA,1230,574,493,1170,NA,NA,125,408,552,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","NPB","Sankei S",1965,140,44,91,5,140,5036,4571,332,1010,139,20,64,53,62,374,0.221,0.279,0.302,NA,NA,NA,NA,1255,533,477,1188,NA,NA,110,408,590,3.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","NPB","Taiyo Wh",1965,140,68,70,2,140,5083,4612,518,1127,186,17,136,85,59,343,0.244,0.295,0.381,NA,NA,NA,NA,1254.1,470,392,1066,NA,NA,89,462,729,2.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","NPB","Toei Fly",1965,140,76,61,3,140,5139,4606,501,1104,161,27,107,98,61,414,0.24,0.3,0.356,NA,NA,NA,NA,1258,474,403,1075,NA,NA,97,322,724,2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","NPB","Tokyo Or",1965,140,62,74,4,140,5111,4664,476,1083,178,24,117,110,61,342,0.232,0.283,0.356,NA,NA,NA,NA,1260,472,406,1137,NA,NA,128,379,693,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","NPB","Yomiuri ",1965,140,91,47,2,140,5207,4598,536,1133,143,24,106,109,59,492,0.246,0.318,0.357,NA,NA,NA,NA,1263.1,404,357,1018,NA,NA,100,312,719,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","NPB","Chunichi",1966,132,76,54,2,132,4847,4435,521,1124,177,26,123,80,55,310,0.253,0.301,0.388,NA,NA,NA,NA,1181.2,400,333,971,NA,NA,94,354,639,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","NPB","Hankyu B",1966,134,57,73,4,134,4793,4350,447,997,179,27,89,102,55,338,0.229,0.283,0.344,NA,NA,NA,NA,1184,491,435,1118,NA,NA,114,365,672,3.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","NPB","Hanshin ",1966,135,64,66,5,135,4832,4401,386,1024,157,20,81,48,45,335,0.233,0.286,0.333,NA,NA,NA,NA,1200,399,336,1014,NA,NA,70,344,672,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","NPB","Hiroshim",1966,136,57,73,6,136,4952,4465,420,1044,136,20,78,44,52,400,0.234,0.296,0.326,NA,NA,NA,NA,1208,512,463,1116,NA,NA,105,321,636,3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","NPB","Nankai H",1966,133,79,51,3,133,4858,4374,477,1073,155,20,108,85,36,387,0.245,0.305,0.364,NA,NA,NA,NA,1181.1,394,340,1020,NA,NA,103,317,650,2.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","NPB","Nishitet",1966,138,75,55,8,138,4974,4497,426,1038,175,25,125,82,58,336,0.231,0.283,0.364,NA,NA,NA,NA,1245,354,295,942,NA,NA,69,287,767,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","NPB","Osaka Ki",1966,133,48,82,3,133,4706,4365,388,997,179,17,100,68,48,273,0.228,0.273,0.346,NA,NA,NA,NA,1175.1,538,470,1107,NA,NA,101,425,656,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","NPB","Sankei A",1966,135,52,78,5,135,4803,4359,364,935,132,31,86,52,52,326,0.214,0.268,0.318,NA,NA,NA,NA,1208,475,424,1079,NA,NA,111,373,549,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","NPB","Taiyo Wh",1966,130,52,78,0,130,4704,4347,428,1072,177,17,116,59,43,256,0.247,0.287,0.375,NA,NA,NA,NA,1151.2,557,479,1118,NA,NA,127,404,583,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","NPB","Toei Fly",1966,136,70,60,6,136,4985,4521,480,1157,166,33,91,69,37,343,0.256,0.307,0.368,NA,NA,NA,NA,1209.1,443,370,1051,NA,NA,101,292,659,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","NPB","Tokyo Or",1966,134,61,69,4,134,4841,4424,462,1061,159,21,112,75,48,324,0.24,0.29,0.361,NA,NA,NA,NA,1183.2,460,386,1085,NA,NA,137,315,653,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","NPB","Yomiuri ",1966,134,89,41,4,134,4985,4352,559,1058,152,27,114,148,74,501,0.243,0.319,0.369,NA,NA,NA,NA,1211,335,301,959,NA,NA,91,332,638,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","NPB","Chunichi",1967,134,72,58,4,134,4943,4495,541,1115,197,24,148,67,59,323,0.248,0.296,0.401,NA,NA,NA,NA,1205.1,521,443,1169,NA,NA,131,352,666,3.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","NPB","Hankyu B",1967,135,76,55,4,135,4868,4413,518,1109,163,24,143,87,57,356,0.251,0.304,0.396,NA,NA,NA,NA,1190,435,369,1037,NA,NA,77,389,695,2.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","NPB","Hanshin ",1967,136,70,60,6,136,4855,4476,429,1095,158,29,101,41,40,297,0.245,0.29,0.361,NA,NA,NA,NA,1200,421,347,927,NA,NA,102,409,862,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","NPB","Hiroshim",1967,138,47,83,8,138,5025,4596,422,1035,148,17,82,66,45,351,0.225,0.279,0.318,NA,NA,NA,NA,1234.1,536,468,1182,NA,NA,133,342,682,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","NPB","Nankai H",1967,133,64,66,3,133,4815,4385,450,1030,152,21,108,90,43,342,0.235,0.289,0.353,NA,NA,NA,NA,1186,438,400,1068,NA,NA,108,326,650,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","NPB","Nishitet",1967,140,66,64,10,140,5008,4569,407,1014,154,20,98,99,61,352,0.222,0.276,0.329,NA,NA,NA,NA,1260,418,350,1088,NA,NA,81,395,764,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","NPB","Osaka Ki",1967,132,59,71,2,132,4762,4373,465,1098,143,18,104,73,55,291,0.251,0.296,0.363,NA,NA,NA,NA,1162.1,567,494,1124,NA,NA,136,350,717,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","NPB","Sankei A",1967,135,58,72,5,135,4957,4500,503,1082,177,28,120,46,60,375,0.24,0.297,0.372,NA,NA,NA,NA,1201.2,548,492,1153,NA,NA,146,359,630,3.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","NPB","Taiyo Wh",1967,135,59,71,5,135,4879,4429,477,1085,194,11,130,51,58,345,0.245,0.299,0.382,NA,NA,NA,NA,1189.2,511,434,1131,NA,NA,114,387,725,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","NPB","Toei Fly",1967,134,65,65,4,134,4984,4469,510,1164,171,28,97,95,43,385,0.26,0.317,0.376,NA,NA,NA,NA,1184.2,472,420,1114,NA,NA,103,306,731,3.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","NPB","Tokyo Or",1967,137,61,69,7,137,5053,4556,463,1093,167,25,87,115,56,371,0.24,0.296,0.345,NA,NA,NA,NA,1228,483,411,1077,NA,NA,132,331,736,3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","NPB","Yomiuri ",1967,134,84,46,4,134,5035,4434,595,1175,165,23,162,125,56,497,0.265,0.338,0.422,NA,NA,NA,NA,1186.2,430,379,1025,NA,NA,117,339,726,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","NPB","Chunichi",1968,134,50,80,4,134,5034,4610,499,1134,187,16,142,57,48,331,0.246,0.295,0.386,NA,NA,NA,NA,1217,579,503,1128,NA,NA,169,431,805,3.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","NPB","Hankyu B",1968,134,80,50,4,134,4936,4389,538,1062,177,16,154,122,55,447,0.242,0.309,0.395,NA,NA,NA,NA,1198,439,389,1070,NA,NA,110,405,763,2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","NPB","Hanshin ",1968,133,72,58,3,133,4878,4419,447,1014,174,22,119,34,27,370,0.229,0.288,0.36,NA,NA,NA,NA,1209.1,419,358,968,NA,NA,117,341,987,2.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","NPB","Hiroshim",1968,134,68,62,4,134,4809,4318,420,966,151,11,112,104,61,406,0.224,0.289,0.342,NA,NA,NA,NA,1204.1,449,389,1004,NA,NA,121,321,841,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","NPB","Nankai H",1968,136,79,51,6,136,5073,4491,548,1090,161,33,127,109,39,450,0.243,0.309,0.378,NA,NA,NA,NA,1220.1,445,396,1079,NA,NA,123,356,591,2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
