,Yr,Team,RA/G,W,L,WP,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
0,2007,Yakult S,4.33,60,84,.417,4.07,4.46,144,144,134,10,8,26,1257.2,1254,623,569,149,368,42,960,68,5,41,5383,1.290,9.0,1.1,2.6,6.9,2.61
0,2007,Yokohama,4.33,71,72,.497,4.01,4.43,144,144,135,9,13,35,1264.2,1318,623,564,133,468,18,1014,62,5,42,5533,1.412,9.4,0.9,3.3,7.2,2.17
0,2007,Hiroshim,4.67,60,82,.423,4.22,4.73,144,144,134,10,8,31,1280.1,1354,673,600,172,427,28,868,51,6,43,5538,1.391,9.5,1.2,3.0,6.1,2.03
0,2006,Chunichi,3.40,87,54,.617,3.12,3.39,146,146,127,19,16,45,1317.0,1223,496,456,111,336,25,1052,46,3,36,5440,1.184,8.4,0.8,2.3,7.2,3.13
0,2006,Hanshin ,3.48,84,58,.592,3.14,3.51,146,146,128,18,12,39,1301.1,1219,508,454,91,409,12,1109,61,3,53,5457,1.251,8.4,0.6,2.8,7.7,2.71
0,2006,Yomiuri ,4.05,65,79,.451,3.68,4.14,146,146,131,15,12,29,1288.0,1295,592,527,135,335,29,1027,43,6,42,5429,1.266,9.0,0.9,2.3,7.2,3.07
0,2006,Yakult S,4.40,70,73,.490,3.93,4.45,146,146,141,5,5,33,1297.0,1346,642,567,126,373,30,1020,51,5,56,5587,1.325,9.3,0.9,2.6,7.1,2.73
0,2006,Hiroshim,4.44,62,79,.440,3.96,4.54,146,146,136,10,11,36,1284.2,1304,648,565,171,382,41,957,46,1,37,5473,1.312,9.1,1.2,2.7,6.7,2.51
0,2006,Yokohama,4.53,58,84,.408,4.25,4.63,146,146,133,13,5,31,1286.2,1372,662,607,156,422,15,976,37,4,25,5565,1.394,9.6,1.1,3.0,6.8,2.31
0,2005,Hanshin ,3.65,87,54,.617,3.24,3.62,146,146,135,11,13,29,1326.1,1283,533,478,140,385,10,1208,49,1,47,5557,1.258,8.7,0.9,2.6,8.2,3.14
0,2005,Yakult S,4.08,71,73,.493,4.00,4.15,146,146,136,10,10,41,1293.0,1293,596,575,151,363,18,974,42,3,41,5445,1.281,9.0,1.1,2.5,6.8,2.68
0,2005,Yokohama,4.08,69,70,.496,3.68,4.07,146,146,126,20,8,30,1317.1,1280,596,539,159,429,13,1043,42,2,26,5571,1.297,8.7,1.1,2.9,7.1,2.43
0,2005,Chunichi,4.30,79,66,.545,4.13,4.35,146,146,140,6,9,50,1298.0,1388,628,595,134,409,26,1028,60,6,43,5602,1.384,9.6,0.9,2.8,7.1,2.51
0,2005,Yomiuri ,5.05,62,80,.437,4.80,5.10,146,146,133,13,12,30,1301.2,1427,737,694,182,410,34,1106,44,3,48,5679,1.411,9.9,1.3,2.8,7.6,2.70
0,2005,Hiroshim,5.34,58,84,.408,4.80,5.45,146,146,140,6,6,27,1286.2,1379,779,686,171,539,18,1041,60,9,57,5746,1.491,9.6,1.2,3.8,7.3,1.93
0,2004,Chunichi,4.04,79,56,.585,3.86,4.04,138,138,130,8,14,38,1241.2,1265,558,533,151,370,25,1019,41,4,35,5258,1.317,9.2,1.1,2.7,7.4,2.75
0,2004,Hanshin ,4.42,66,70,.485,4.08,4.45,138,138,128,10,8,30,1232.1,1279,610,559,149,401,4,1112,64,4,58,5323,1.363,9.3,1.1,2.9,8.1,2.77
0,2004,Yokohama,4.83,59,76,.437,4.47,4.93,138,138,135,3,5,31,1215.0,1328,666,603,184,363,13,951,57,3,45,5276,1.392,9.8,1.4,2.7,7.0,2.62
0,2004,Yomiuri ,4.91,71,64,.526,4.50,4.93,138,138,128,10,5,28,1235.1,1338,677,618,193,373,20,1105,56,1,34,5360,1.385,9.7,1.4,2.7,8.1,2.96
0,2004,Yakult S,5.01,72,64,.529,4.70,5.08,138,138,134,4,3,42,1224.1,1346,691,640,203,407,21,973,46,4,65,5374,1.432,9.9,1.5,3.0,7.2,2.39
0,2004,Hiroshim,5.19,60,77,.438,4.75,5.22,138,138,125,13,5,26,1233.1,1355,716,651,194,444,12,1086,51,2,31,5433,1.459,9.9,1.4,3.2,7.9,2.45
0,2003,Hanshin ,3.84,87,51,.630,3.53,3.87,140,140,125,15,12,31,1252.0,1206,538,491,135,375,17,1108,60,2,35,5266,1.263,8.7,1.0,2.7,8.0,2.95
0,2003,Chunichi,4.13,73,66,.525,3.80,4.18,140,140,134,6,11,38,1244.2,1231,578,525,137,356,35,1035,59,5,32,5266,1.275,8.9,1.0,2.6,7.5,2.91
0,2003,Yakult S,4.48,71,66,.518,4.12,4.51,140,140,135,5,5,35,1251.0,1287,627,573,176,389,39,918,51,9,53,5350,1.340,9.3,1.3,2.8,6.6,2.36
0,2003,Hiroshim,4.66,67,71,.486,4.23,4.71,140,140,122,18,4,33,1247.1,1321,653,586,186,379,25,908,54,15,41,5367,1.363,9.5,1.3,2.7,6.6,2.40
0,2003,Yomiuri ,4.86,71,66,.518,4.43,4.91,140,140,114,26,8,18,1248.1,1331,681,614,168,335,30,1123,56,11,45,5369,1.335,9.6,1.2,2.4,8.1,3.35
0,2003,Yokohama,5.18,45,94,.324,4.80,5.34,140,140,132,8,3,23,1221.0,1324,725,651,185,340,14,909,67,5,35,5304,1.363,9.8,1.4,2.5,6.7,2.67
0,2002,Yomiuri ,3.46,86,52,.623,3.04,3.44,140,140,125,15,9,31,1270.1,1179,485,429,137,280,30,1087,35,6,29,5207,1.149,8.4,1.0,2.0,7.7,3.88
0,2002,Chunichi,3.59,69,66,.511,3.19,3.56,140,140,127,13,14,35,1269.2,1213,502,450,119,346,38,1002,53,1,35,5302,1.228,8.6,0.8,2.5,7.1,2.90
0,2002,Hanshin ,3.74,66,70,.485,3.41,3.74,140,140,119,21,15,24,1260.1,1158,524,477,112,374,17,964,70,8,50,5250,1.216,8.3,0.8,2.7,6.9,2.58
0,2002,Yakult S,3.77,74,62,.544,3.39,3.75,140,140,132,8,6,41,1267.1,1158,528,477,142,327,17,1035,47,9,56,5248,1.172,8.2,1.0,2.3,7.4,3.17
0,2002,Yokohama,4.43,49,86,.363,4.09,4.47,140,140,121,19,10,25,1249.2,1276,620,568,152,383,43,973,59,3,30,5367,1.328,9.2,1.1,2.8,7.0,2.54
0,2002,Hiroshim,4.81,64,72,.471,4.36,4.84,140,140,118,22,8,32,1253.2,1379,674,608,164,363,31,1056,32,5,37,5426,1.390,9.9,1.2,2.6,7.6,2.91
0,2001,Chunichi,3.66,62,74,.456,3.48,3.71,140,140,122,18,14,32,1245.2,1210,513,481,91,382,24,1012,29,2,36,5231,1.278,8.7,0.7,2.8,7.3,2.65
0,2001,Yakult S,3.79,76,58,.567,3.41,3.80,140,140,134,6,13,40,1257.1,1142,531,477,142,467,29,896,37,3,42,5269,1.280,8.2,1.0,3.3,6.4,1.92
0,2001,Yokohama,4.04,69,67,.507,3.75,4.10,140,140,127,13,13,30,1241.2,1193,565,517,120,433,33,814,50,0,27,5237,1.310,8.6,0.9,3.1,5.9,1.88
0,2001,Hiroshim,4.26,68,65,.511,3.82,4.28,140,140,112,28,7,29,1252.0,1250,596,532,146,472,32,968,46,1,42,5407,1.375,9.0,1.0,3.4,7.0,2.05
0,2001,Hanshin ,4.27,57,80,.416,3.75,4.34,140,140,133,7,12,23,1241.0,1237,598,517,114,562,37,866,68,6,43,5445,1.450,9.0,0.8,4.1,6.3,1.54
0,2001,Yomiuri ,4.71,75,63,.543,4.45,4.79,140,140,126,14,6,36,1239.1,1321,659,613,168,469,46,981,35,3,40,5437,1.444,9.6,1.2,3.4,7.1,2.09
0,2000,Yomiuri ,3.68,78,57,.578,3.34,3.70,135,135,118,17,14,27,1207.2,1125,497,448,126,311,21,1039,31,2,41,5008,1.189,8.4,0.9,2.3,7.7,3.34
0,2000,Yakult S,3.79,66,69,.489,3.62,3.82,136,136,129,7,12,32,1213.1,1144,515,488,137,417,24,978,42,5,54,5097,1.287,8.5,1.0,3.1,7.3,2.35
0,2000,Yokohama,4.11,69,66,.511,3.92,4.14,136,136,125,11,10,33,1215.2,1206,559,530,152,324,20,897,22,6,37,5060,1.259,8.9,1.1,2.4,6.6,2.77
0,2000,Hanshin ,4.35,57,78,.422,3.90,4.37,136,136,127,9,13,31,1217.0,1255,591,528,122,425,42,883,57,4,41,5280,1.380,9.3,0.9,3.1,6.5,2.08
0,2000,Chunichi,4.57,70,65,.519,4.19,4.58,135,135,123,12,4,37,1212.2,1188,617,564,135,448,37,932,36,1,40,5206,1.349,8.8,1.0,3.3,6.9,2.08
0,2000,Hiroshim,4.96,65,70,.481,4.48,5.00,136,136,119,17,4,30,1215.1,1300,675,605,146,491,35,844,36,6,38,5348,1.474,9.6,1.1,3.6,6.3,1.72
0,1999,Chunichi,3.61,81,54,.600,3.39,3.65,135,135,117,18,13,36,1203.1,1180,488,453,115,386,28,845,35,2,32,5099,1.301,8.8,0.9,2.9,6.3,2.19
0,1999,Yomiuri ,4.10,75,60,.556,3.84,4.14,135,135,114,21,8,31,1201.2,1158,553,513,137,389,26,899,39,6,34,5086,1.287,8.7,1.0,2.9,6.7,2.31
0,1999,Hanshin ,4.33,55,80,.407,4.04,4.41,135,135,130,5,6,23,1193.1,1234,585,536,122,438,42,806,56,10,26,5149,1.401,9.3,0.9,3.3,6.1,1.84
0,1999,Yakult S,4.52,66,69,.489,4.23,4.55,135,135,120,15,12,34,1206.1,1214,610,567,131,492,20,909,37,3,45,5234,1.414,9.1,1.0,3.7,6.8,1.85
0,1999,Yokohama,4.73,71,64,.526,4.44,4.80,135,135,120,15,12,31,1199.0,1276,639,591,165,358,11,868,28,2,36,5139,1.363,9.6,1.2,2.7,6.5,2.42
0,1999,Hiroshim,5.27,57,78,.422,4.78,5.40,135,135,109,26,11,24,1187.1,1269,712,631,162,501,26,869,42,3,47,5277,1.491,9.6,1.2,3.8,6.6,1.73
0,1998,Chunichi,3.37,75,60,.556,3.14,3.38,136,136,117,19,14,36,1219.0,1126,458,425,84,422,17,904,32,2,36,5116,1.270,8.3,0.6,3.1,6.7,2.14
0,1998,Yokohama,3.85,79,56,.585,3.49,3.85,136,136,128,8,16,48,1225.0,1183,524,475,121,386,12,861,29,6,31,5127,1.281,8.7,0.9,2.8,6.3,2.23
0,1998,Yakult S,4.06,66,69,.489,3.69,4.07,135,135,111,24,7,18,1211.2,1117,548,497,121,529,28,942,49,8,65,5220,1.358,8.3,0.9,3.9,7.0,1.78
0,1998,Yomiuri ,4.08,73,62,.541,3.74,4.14,135,135,109,26,9,32,1198.0,1158,551,498,111,426,20,902,46,16,26,5087,1.322,8.7,0.8,3.2,6.8,2.12
0,1998,Hanshin ,4.36,52,83,.385,3.95,4.42,135,135,126,9,12,27,1198.2,1246,589,526,94,489,38,749,57,10,33,5261,1.447,9.4,0.7,3.7,5.6,1.53
0,1998,Hiroshim,4.54,60,75,.444,4.01,4.57,135,135,122,13,9,27,1206.0,1222,613,538,131,451,18,860,34,8,50,5201,1.387,9.1,1.0,3.4,6.4,1.91
0,1997,Yakult S,3.67,83,52,.615,3.26,3.61,137,137,119,18,12,38,1254.2,1124,503,455,134,442,37,870,44,5,34,5233,1.248,8.1,1.0,3.2,6.2,1.97
0,1997,Yomiuri ,3.97,63,72,.467,3.69,4.02,135,135,118,17,6,28,1201.1,1100,536,492,121,434,25,899,41,5,33,5041,1.277,8.2,0.9,3.3,6.7,2.07
0,1997,Yokohama,4.06,72,63,.533,3.70,4.10,135,135,128,7,11,43,1203.0,1103,548,495,137,450,28,1015,46,7,30,5088,1.291,8.3,1.0,3.4,7.6,2.26
0,1997,Hanshin ,4.23,62,73,.459,3.70,4.25,136,136,123,13,7,31,1216.2,1235,575,500,114,489,59,787,42,7,39,5259,1.417,9.1,0.8,3.6,5.8,1.61
0,1997,Chunichi,4.74,59,76,.437,4.33,4.78,136,136,127,9,6,40,1212.2,1212,644,583,123,519,25,925,67,10,31,5323,1.427,9.0,0.9,3.9,6.9,1.78
0,1997,Hiroshim,4.84,66,69,.489,4.44,4.86,135,135,123,12,5,22,1208.2,1272,653,596,146,484,20,837,43,4,49,5322,1.453,9.5,1.1,3.6,6.2,1.73
0,1996,Yomiuri ,3.68,77,53,.592,3.47,3.63,130,130,100,30,13,32,1185.0,1098,478,457,121,453,34,866,39,2,40,5017,1.309,8.3,0.9,3.4,6.6,1.91
0,1996,Yakult S,4.31,61,69,.469,4.00,4.35,130,130,110,20,11,26,1159.2,1108,560,515,146,470,29,836,41,2,45,4989,1.361,8.6,1.1,3.6,6.5,1.78
0,1996,Hanshin ,4.45,54,76,.415,4.12,4.48,130,130,114,16,7,23,1164.1,1227,579,533,107,415,35,841,46,7,39,5067,1.410,9.5,0.8,3.2,6.5,2.03
0,1996,Chunichi,4.53,72,58,.554,4.01,4.57,130,130,100,30,13,20,1160.0,1156,589,517,116,458,28,934,27,2,53,5020,1.391,9.0,0.9,3.6,7.2,2.04
0,1996,Hiroshim,4.59,71,59,.546,4.08,4.60,130,130,109,21,11,27,1168.1,1177,597,529,120,393,15,784,33,5,27,4994,1.344,9.1,0.9,3.0,6.0,1.99
0,1996,Yokohama,5.08,55,75,.423,4.67,5.12,130,130,105,25,3,27,1160.0,1253,660,602,155,479,14,929,45,3,42,5105,1.493,9.7,1.2,3.7,7.2,1.94
0,1995,Yomiuri ,3.77,72,58,.554,3.40,3.80,131,131,93,38,18,22,1170.0,1053,494,442,115,430,38,941,36,2,36,4906,1.268,8.1,0.9,3.3,7.2,2.19
0,1995,Yakult S,3.81,82,48,.631,3.60,3.87,130,130,106,24,14,37,1152.0,1029,495,461,113,458,15,889,34,3,46,4855,1.291,8.0,0.9,3.6,6.9,1.94
0,1995,Hiroshim,3.89,74,56,.569,3.57,3.89,131,131,102,29,13,28,1178.2,1059,510,467,138,479,20,857,27,4,27,4960,1.305,8.1,1.1,3.7,6.5,1.79
0,1995,Hanshin ,4.12,46,84,.354,3.83,4.20,130,130,113,17,6,21,1148.0,1126,536,489,128,439,42,839,56,4,37,4956,1.363,8.8,1.0,3.4,6.6,1.91
0,1995,Yokohama,4.52,66,64,.508,4.37,4.61,130,130,121,9,8,40,1147.0,1144,588,557,126,478,27,840,46,3,42,4944,1.414,9.0,1.0,3.8,6.6,1.76
0,1995,Chunichi,5.01,50,80,.385,4.75,5.09,130,130,108,22,5,19,1151.2,1205,651,608,170,467,34,840,37,1,45,5020,1.452,9.4,1.3,3.6,6.6,1.80
0,1994,Chunichi,3.70,69,61,.531,3.45,3.72,130,130,90,40,7,20,1165.0,1095,481,447,105,424,25,841,19,1,38,4873,1.304,8.5,0.8,3.3,6.5,1.98
0,1994,Yomiuri ,3.72,70,60,.538,3.41,3.75,130,130,99,31,15,26,1159.0,1099,483,439,98,374,25,885,28,5,24,4857,1.271,8.5,0.8,2.9,6.9,2.37
0,1994,Hanshin ,3.85,62,68,.477,3.43,3.79,130,130,114,16,10,32,1186.2,1150,500,452,94,438,46,817,32,3,28,5061,1.338,8.7,0.7,3.3,6.2,1.87
0,1994,Yokohama,4.12,61,69,.469,3.76,4.14,130,130,117,13,11,30,1161.2,1182,535,485,98,488,18,855,30,2,45,5039,1.438,9.2,0.8,3.8,6.6,1.75
0,1994,Hiroshim,4.49,66,64,.508,4.18,4.45,130,130,111,19,7,32,1180.2,1175,584,548,162,457,14,795,29,0,25,5067,1.382,9.0,1.2,3.5,6.1,1.74
0,1994,Yakult S,4.50,62,68,.477,4.05,4.48,130,130,105,25,12,21,1174.1,1143,585,529,128,497,32,797,43,4,40,5084,1.397,8.8,1.0,3.8,6.1,1.60
0,1993,Chunichi,3.43,73,57,.562,3.12,3.42,132,132,101,31,14,26,1192.0,1033,453,413,125,427,27,930,31,0,26,4929,1.225,7.8,0.9,3.2,7.0,2.18
0,1993,Yomiuri ,3.55,64,66,.492,3.22,3.59,131,131,110,21,11,35,1167.1,1039,465,417,103,404,18,1006,33,2,37,4852,1.236,8.0,0.8,3.1,7.8,2.49
0,1993,Yakult S,3.60,80,50,.615,3.20,3.54,132,132,102,30,12,27,1206.0,1101,475,429,122,402,26,940,32,1,42,5051,1.246,8.2,0.9,3.0,7.0,2.34
0,1993,Hanshin ,4.11,63,67,.485,3.88,4.16,132,132,119,13,5,39,1171.1,1172,542,505,114,466,41,881,35,1,32,5055,1.398,9.0,0.9,3.6,6.8,1.89
0,1993,Yokohama,4.18,57,73,.438,3.83,4.23,130,130,115,15,13,30,1157.1,1075,544,493,119,495,23,904,35,3,34,4942,1.357,8.4,0.9,3.8,7.0,1.83
0,1993,Hiroshim,4.67,53,77,.408,4.29,4.76,131,131,113,18,4,27,1156.2,1201,612,551,148,487,19,825,34,1,32,5074,1.459,9.3,1.2,3.8,6.4,1.69
0,1992,Hanshin ,3.37,67,63,.515,2.90,3.35,132,132,96,36,15,25,1196.1,1051,445,386,108,472,48,905,31,1,32,5041,1.273,7.9,0.8,3.6,6.8,1.92
0,1992,Yomiuri ,4.02,67,63,.515,3.69,4.07,130,130,89,41,14,22,1155.2,1130,522,474,118,449,22,967,24,5,39,4967,1.366,8.8,0.9,3.5,7.5,2.15
0,1992,Hiroshim,4.09,66,64,.508,3.60,4.04,130,130,106,24,8,32,1185.2,1150,532,474,111,420,28,890,26,2,37,5019,1.324,8.7,0.8,3.2,6.8,2.12
0,1992,Yokohama,4.22,61,69,.469,3.75,4.22,131,131,116,15,8,25,1180.1,1114,553,492,125,468,33,878,36,1,33,5046,1.340,8.5,1.0,3.6,6.7,1.88
0,1992,Yakult S,4.32,69,61,.531,3.79,4.31,131,131,100,31,8,20,1180.2,1131,566,497,133,473,35,835,44,3,47,5072,1.359,8.6,1.0,3.6,6.4,1.77
0,1992,Chunichi,4.32,60,70,.462,3.91,4.36,130,130,111,19,6,33,1160.0,1190,562,504,130,406,32,807,28,4,32,4995,1.376,9.2,1.0,3.2,6.3,1.99
0,1991,Hiroshim,3.53,74,56,.569,3.23,3.54,132,132,103,29,10,34,1185.2,1047,466,426,124,435,31,992,37,0,35,4922,1.250,7.9,0.9,3.3,7.5,2.28
0,1991,Chunichi,3.98,71,59,.546,3.59,3.96,131,131,104,27,14,22,1184.2,1159,521,473,99,432,34,848,30,1,30,5062,1.343,8.8,0.8,3.3,6.4,1.96
0,1991,Yomiuri ,4.07,66,64,.508,3.72,4.08,130,130,73,57,8,11,1166.2,1075,529,482,116,387,13,881,29,5,30,4896,1.253,8.3,0.9,3.0,6.8,2.28
0,1991,Yokohama,4.08,64,66,.492,3.74,4.08,131,131,113,18,12,26,1180.2,1122,535,490,137,428,24,819,35,2,34,4983,1.313,8.6,1.0,3.3,6.2,1.91
0,1991,Yakult S,4.17,67,63,.515,3.93,4.23,132,132,91,41,12,16,1172.1,1163,551,512,116,425,30,795,41,0,36,4985,1.355,8.9,0.9,3.3,6.1,1.87
0,1991,Hanshin ,4.74,48,82,.369,4.37,4.87,130,130,102,28,5,13,1138.0,1095,616,552,119,487,39,808,37,2,40,4932,1.390,8.7,0.9,3.9,6.4,1.66
0,1990,Yomiuri ,3.07,88,42,.677,2.83,3.05,130,130,60,70,13,23,1176.0,976,399,370,94,347,13,932,24,2,29,4744,1.125,7.5,0.7,2.7,7.1,2.69
0,1990,Hiroshim,4.00,66,64,.508,3.57,4.02,132,132,97,35,11,25,1182.2,1097,528,469,128,444,36,922,26,0,26,5014,1.303,8.3,1.0,3.4,7.0,2.08
0,1990,Yokohama,4.23,64,66,.492,3.94,4.25,133,133,107,26,6,27,1193.1,1151,563,522,140,411,28,813,36,3,27,5043,1.309,8.7,1.1,3.1,6.1,1.98
0,1990,Chunichi,4.60,62,68,.477,4.26,4.67,131,131,105,26,5,32,1163.0,1245,603,551,129,432,34,733,54,1,30,5077,1.442,9.6,1.0,3.3,5.7,1.70
0,1990,Yakult S,4.68,58,72,.446,4.24,4.68,130,130,93,37,9,13,1170.1,1214,609,551,155,437,35,812,42,5,22,5066,1.411,9.3,1.2,3.4,6.2,1.86
0,1990,Hanshin ,4.92,52,78,.400,4.58,5.11,133,133,114,19,6,19,1153.2,1224,655,587,138,533,40,842,32,2,38,5122,1.523,9.5,1.1,4.2,6.6,1.58
0,1989,Yomiuri ,2.75,84,44,.656,2.56,2.75,130,130,61,69,22,19,1171.1,959,358,333,88,308,20,926,30,2,29,4680,1.082,7.4,0.7,2.4,7.1,3.01
0,1989,Hiroshim,3.32,73,51,.589,3.01,3.31,130,130,102,28,14,35,1172.1,974,431,392,111,352,41,1006,32,1,38,4775,1.131,7.5,0.9,2.7,7.7,2.86
0,1989,Chunichi,4.03,68,59,.535,3.68,4.04,130,130,105,25,10,27,1168.0,1191,524,478,119,379,40,709,41,0,19,4963,1.344,9.2,0.9,2.9,5.5,1.87
0,1989,Yakult S,4.30,55,72,.433,3.97,4.36,130,130,100,30,8,19,1152.2,1197,559,508,135,393,32,663,30,1,34,4916,1.379,9.3,1.1,3.1,5.2,1.69
0,1989,Hanshin ,4.46,54,75,.419,4.15,4.55,130,130,105,25,7,17,1146.0,1165,580,529,105,400,44,763,35,3,40,4919,1.366,9.1,0.8,3.1,6.0,1.91
0,1989,Yokohama,4.57,47,80,.370,4.07,4.61,130,130,111,19,6,24,1159.2,1244,594,524,149,438,38,789,29,2,20,5043,1.450,9.7,1.2,3.4,6.1,1.80
0,1988,Yomiuri ,3.40,68,59,.535,3.09,3.42,130,130,94,36,10,23,1163.2,1018,442,399,98,309,57,853,30,1,26,4755,1.140,7.9,0.8,2.4,6.6,2.76
0,1988,Hiroshim,3.40,65,62,.512,3.06,3.40,130,130,88,42,10,23,1168.2,1052,442,397,114,346,30,964,30,2,26,4841,1.196,8.1,0.9,2.7,7.4,2.79
0,1988,Chunichi,3.72,79,46,.632,3.20,3.70,130,130,112,18,16,39,1174.1,1105,483,417,123,370,31,784,37,2,23,4910,1.256,8.5,0.9,2.8,6.0,2.12
0,1988,Hanshin ,4.04,51,77,.398,3.82,4.14,130,130,103,27,9,16,1140.1,1138,525,484,128,408,26,667,35,3,26,4861,1.356,9.0,1.0,3.2,5.3,1.63
0,1988,Yakult S,4.11,58,69,.457,3.79,4.13,130,130,103,27,5,17,1163.1,1145,534,490,115,382,37,585,19,1,41,4901,1.313,8.9,0.9,3.0,4.5,1.53
0,1988,Yokohama,4.17,59,67,.468,3.93,4.24,130,130,110,20,4,29,1151.1,1147,542,503,106,384,39,734,30,4,34,4871,1.330,9.0,0.8,3.0,5.7,1.91
0,1987,Yomiuri ,3.44,76,43,.639,3.06,3.49,130,130,99,31,11,28,1153.2,1047,447,392,135,290,28,842,28,2,20,4726,1.159,8.2,1.1,2.3,6.6,2.90
0,1987,Hiroshim,3.46,65,55,.542,3.14,3.50,130,130,98,32,7,22,1156.2,1064,450,403,129,314,42,918,19,3,14,4782,1.191,8.3,1.0,2.4,7.1,2.92
0,1987,Chunichi,3.78,68,51,.571,3.64,3.85,130,130,106,24,17,29,1148.2,1113,492,465,133,349,32,782,34,1,40,4817,1.273,8.7,1.0,2.7,6.1,2.24
0,1987,Yokohama,4.62,56,68,.452,4.26,4.73,130,130,96,34,13,18,1142.2,1162,601,541,150,352,30,716,26,3,38,4872,1.325,9.2,1.2,2.8,5.6,2.03
0,1987,Hanshin ,4.67,41,83,.331,4.36,4.86,130,130,115,15,4,24,1124.2,1194,607,545,176,342,39,760,26,2,34,4825,1.366,9.6,1.4,2.7,6.1,2.22
0,1987,Yakult S,4.90,58,64,.475,4.51,5.01,130,130,105,25,4,22,1144.1,1247,637,573,159,336,46,657,32,1,27,4921,1.383,9.8,1.3,2.6,5.2,1.96
0,1986,Hiroshim,3.23,73,46,.613,2.89,3.25,130,130,92,38,10,29,1162.2,1042,420,373,114,293,42,929,36,0,23,4752,1.148,8.1,0.9,2.3,7.2,3.17
0,1986,Yomiuri ,3.36,75,48,.610,3.12,3.40,130,130,104,26,8,28,1155.2,1025,437,401,125,331,51,892,33,2,18,4762,1.173,8.0,1.0,2.6,6.9,2.69
0,1986,Chunichi,3.99,54,67,.446,3.70,4.04,130,130,99,31,9,16,1157.0,1105,519,476,152,336,30,766,20,3,25,4805,1.245,8.6,1.2,2.6,6.0,2.28
0,1986,Hanshin ,4.12,60,60,.500,3.69,4.22,130,130,112,18,9,22,1142.1,1136,536,468,127,319,37,762,27,2,20,4826,1.274,9.0,1.0,2.5,6.0,2.39
0,1986,Yokohama,4.21,56,69,.448,3.81,4.31,130,130,108,22,3,30,1142.2,1178,547,484,142,277,27,720,15,1,29,4811,1.273,9.3,1.1,2.2,5.7,2.60
0,1986,Yakult S,4.77,49,77,.389,4.27,4.87,130,130,100,30,5,10,1145.1,1254,620,544,150,350,24,622,37,1,23,4944,1.400,9.9,1.2,2.8,4.9,1.78
0,1985,Yomiuri ,4.32,61,60,.504,3.96,4.41,130,130,104,26,9,24,1147.0,1084,562,505,160,470,34,804,18,6,10,4886,1.355,8.5,1.3,3.7,6.3,1.71
0,1985,Hiroshim,4.38,68,57,.544,4.13,4.44,130,130,93,37,8,20,1154.1,1178,570,530,147,476,22,701,31,0,19,4990,1.433,9.2,1.1,3.7,5.5,1.47
0,1985,Hanshin ,4.56,74,49,.602,4.16,4.62,130,130,115,15,8,31,1154.1,1190,593,533,169,426,22,686,23,1,27,4975,1.400,9.3,1.3,3.3,5.3,1.61
0,1985,Chunichi,4.58,56,61,.479,4.08,4.63,130,130,85,45,5,14,1158.1,1231,596,525,152,418,38,718,30,1,12,5048,1.424,9.6,1.2,3.2,5.6,1.72
0,1985,Yokohama,5.02,57,61,.483,4.59,5.09,130,130,110,20,4,20,1155.2,1208,653,589,171,423,39,622,19,1,23,5023,1.411,9.4,1.3,3.3,4.8,1.47
0,1985,Yakult S,5.11,46,74,.383,4.75,5.23,130,130,102,28,3,11,1142.0,1239,664,603,148,470,20,622,41,4,26,5037,1.496,9.8,1.2,3.7,4.9,1.32
0,1984,Hiroshim,3.80,75,45,.625,3.37,3.87,130,130,89,41,9,17,1149.2,1099,494,430,127,397,19,742,29,0,20,4850,1.301,8.6,1.0,3.1,5.8,1.87
0,1984,Yomiuri ,3.98,67,54,.554,3.66,4.03,130,130,91,39,8,21,1153.1,1073,517,469,136,437,36,725,27,2,18,4866,1.309,8.4,1.1,3.4,5.7,1.66
0,1984,Chunichi,4.24,73,49,.598,3.82,4.32,130,130,94,36,7,34,1147.1,1158,551,487,161,396,31,728,27,0,9,4915,1.354,9.1,1.3,3.1,5.7,1.84
0,1984,Hanshin ,4.90,53,69,.434,4.46,5.07,130,130,119,11,6,27,1131.1,1206,637,561,164,411,35,603,30,4,22,4904,1.429,9.6,1.3,3.3,4.8,1.47
0,1984,Yokohama,4.91,46,77,.374,4.55,5.05,130,130,98,32,6,10,1137.2,1223,638,575,145,381,46,716,25,3,19,4945,1.410,9.7,1.1,3.0,5.7,1.88
0,1984,Yakult S,5.02,51,71,.418,4.76,5.18,130,130,110,20,5,22,1133.2,1216,653,599,177,445,38,619,41,1,27,4929,1.465,9.7,1.4,3.5,4.9,1.39
0,1983,Hiroshim,4.05,65,55,.542,3.65,4.08,130,130,81,49,8,13,1162.1,1101,527,471,143,411,17,688,36,3,11,4897,1.301,8.5,1.1,3.2,5.3,1.67
0,1983,Yomiuri ,4.17,72,50,.590,3.77,4.21,130,130,93,37,9,25,1159.0,1159,542,485,139,369,29,721,30,3,8,4923,1.318,9.0,1.1,2.9,5.6,1.95
0,1983,Chunichi,4.64,54,69,.439,4.11,4.70,130,130,104,26,7,19,1155.1,1248,603,527,154,337,41,714,24,2,13,4955,1.372,9.7,1.2,2.6,5.6,2.12
